,school_name,link,Tourney,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_pace,opp_off_rtg,opp_fta_per_fga_pct,opp_fg3a_per_fga_pct,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_tov_pct,opp_orb_pct,opp_ft_rate
0,Abilene Christian,/cbb/schools/abilene-christian/men/2021.html,True,29,24,5,.828,6.27,-6.37,13,2,13,0,5,4,2196,1753,72.0,105.2,.339,.367,.540,51.5,65.3,13.5,8.9,.512,16.2,31.3,.230,72.0,84.0,.385,.349,.498,48.5,49.8,9.1,9.9,.458,24.7,26.8,.262
1,Air Force,/cbb/schools/air-force/men/2021.html,False,25,5,20,.200,-12.98,0.22,3,17,3,8,1,10,1468,1798,63.9,91.9,.309,.450,.547,40.1,59.0,11.1,8.0,.521,21.2,15.3,.214,63.9,112.5,.328,.405,.594,59.9,56.3,9.4,8.2,.574,18.7,35.4,.226
2,Akron,/cbb/schools/akron/men/2021.html,False,23,15,8,.652,1.85,-1.96,12,6,9,1,5,5,1798,1660,70.1,110.2,.303,.461,.555,51.7,48.6,6.9,8.9,.520,14.3,31.0,.230,70.1,101.8,.261,.339,.515,48.3,44.9,7.9,6.7,.485,14.5,28.6,.186
3,Alabama,/cbb/schools/alabama/men/2021.html,True,33,26,7,.788,19.58,10.01,16,2,12,1,7,3,2629,2313,74.7,106.3,.288,.465,.544,51.7,50.2,11.3,10.6,.517,15.9,31.8,.204,74.7,93.5,.307,.343,.492,48.3,44.0,10.6,14.2,.458,17.7,28.8,.211
4,Alabama A&M,/cbb/schools/alabama-am/men/2021.html,False,15,6,9,.400,-18.86,-14.99,4,9,5,2,1,7,950,1008,70.1,88.9,.318,.329,.475,49.8,47.3,7.7,9.1,.448,18.6,28.1,.199,70.1,94.3,.374,.333,.480,50.2,53.7,11.3,6.9,.440,15.5,29.2,.251
5,Alabama State,/cbb/schools/alabama-state/men/2021.html,False,18,4,14,.222,-24.28,-16.95,4,14,3,6,1,8,1156,1288,72.4,88.8,.427,.347,.476,49.1,45.7,8.4,6.1,.435,19.3,29.5,.277,72.4,98.9,.369,.319,.526,50.9,49.8,10.7,11.4,.489,18.0,29.6,.257
6,Albany (NY),/cbb/schools/albany-ny/men/2021.html,False,16,7,9,.438,-4.53,-5.22,6,6,4,5,2,4,1110,1099,69.7,99.6,.341,.343,.541,47.9,47.3,8.8,5.1,.505,16.4,22.3,.247,69.7,98.6,.293,.369,.540,52.1,48.8,8.1,11.0,.513,18.6,27.3,.202
7,Alcorn State,/cbb/schools/alcorn-state/men/2021.html,False,19,6,13,.316,-19.58,-10.06,6,7,4,3,2,9,1256,1437,71.3,92.8,.340,.340,.488,47.8,40.7,10.6,5.0,.444,17.7,29.7,.247,71.3,106.1,.501,.390,.585,52.2,58.0,9.5,10.8,.554,19.6,30.3,.340
8,American,/cbb/schools/american/men/2021.html,False,10,4,6,.400,-6.32,-1.82,4,5,2,2,2,4,691,736,67.5,97.5,.268,.427,.550,48.2,51.6,10.3,11.4,.526,20.1,24.1,.189,67.5,103.9,.384,.295,.533,51.8,43.7,12.0,7.8,.502,15.3,29.9,.257
9,Appalachian State,/cbb/schools/appalachian-state/men/2021.html,True,29,17,12,.586,-5.84,-5.72,7,8,9,4,4,7,2039,1860,66.8,103.1,.340,.437,.520,50.8,49.9,11.6,10.4,.478,14.9,29.8,.252,66.8,94.0,.239,.377,.507,49.2,50.2,8.3,13.1,.479,18.1,26.8,.170
10,Arizona,/cbb/schools/arizona/men/2021.html,False,26,17,9,.654,15.02,8.18,11,9,12,4,5,5,1961,1783,68.4,109.2,.418,.314,.548,55.1,60.4,8.5,11.2,.505,14.7,34.0,.304,68.4,99.3,.324,.367,.525,44.9,46.3,7.8,7.0,.492,16.0,24.1,.229
11,Arizona State,/cbb/schools/arizona-state/men/2021.html,False,25,11,14,.440,7.48,10.24,7,10,7,6,2,6,1858,1927,72.6,101.4,.333,.354,.530,44.6,49.8,9.9,8.8,.492,13.5,21.1,.242,72.6,105.1,.361,.363,.563,55.4,55.6,7.6,8.2,.525,18.2,30.0,.269
