,school_name,link,Tourney,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_pace,opp_off_rtg,opp_fta_per_fga_pct,opp_fg3a_per_fga_pct,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_tov_pct,opp_orb_pct,opp_ft_rate
0,Abilene Christian,/cbb/schools/abilene-christian/men/2023.html,False,30,13,17,.433,-2.79,0.90,5,11,9,5,4,8,2249,2133,70.9,104.9,.318,.341,.543,49.1,58.0,12.3,7.0,.510,15.5,28.6,.230,70.9,99.5,.450,.339,.576,50.9,51.4,7.8,8.3,.538,22.2,26.5,.322
1,Air Force,/cbb/schools/air-force/men/2023.html,False,32,14,18,.438,2.00,2.12,5,13,10,9,4,9,2142,2146,63.6,104.0,.312,.448,.570,47.7,64.9,8.9,11.0,.542,17.2,22.3,.226,63.6,104.2,.352,.329,.535,52.3,42.3,8.9,11.0,.493,14.9,28.6,.263
2,Akron,/cbb/schools/akron/men/2023.html,False,33,22,11,.667,4.19,-1.65,13,5,15,1,5,6,2463,2209,67.2,110.3,.339,.445,.559,52.1,52.5,8.9,7.2,.524,14.4,29.9,.250,67.2,98.9,.273,.357,.522,47.9,46.1,8.5,9.4,.489,16.1,26.0,.201
3,Alabama,/cbb/schools/alabama/men/2023.html,True,37,31,6,.838,23.19,9.65,16,2,15,0,9,3,3027,2526,72.6,110.4,.366,.472,.557,54.4,54.3,8.2,11.3,.521,15.9,34.2,.266,72.6,92.1,.326,.300,.458,45.6,41.1,9.8,11.6,.413,13.6,27.9,.232
4,Alabama A&M,/cbb/schools/alabama-am/men/2023.html,False,33,15,18,.455,-10.78,-7.71,10,8,9,8,5,8,2297,2340,69.9,98.9,.347,.327,.528,47.8,50.9,11.4,12.0,.501,18.6,30.0,.228,69.9,100.7,.403,.399,.533,52.2,53.8,11.1,9.1,.492,18.9,34.9,.286
5,Alabama State,/cbb/schools/alabama-state/men/2023.html,False,31,8,23,.258,-16.33,-6.29,6,12,5,5,2,18,1963,2252,68.6,92.0,.321,.332,.468,48.5,45.2,8.5,9.1,.426,16.5,32.4,.226,68.6,105.5,.344,.345,.526,51.5,45.8,10.2,12.6,.494,15.1,33.9,.236
6,Albany (NY),/cbb/schools/albany-ny/men/2023.html,False,31,8,23,.258,-14.36,-4.53,3,13,5,6,2,16,2086,2332,67.9,98.8,.313,.413,.517,49.8,50.0,8.4,4.5,.481,17.0,28.8,.226,67.9,110.4,.370,.335,.582,50.2,53.8,9.6,10.8,.550,15.4,26.3,.269
7,Alcorn State,/cbb/schools/alcorn-state/men/2023.html,False,32,18,14,.563,-8.74,-5.81,15,3,7,2,10,10,2165,2259,67.8,98.2,.353,.297,.496,50.2,41.4,11.7,7.7,.452,15.6,33.7,.254,67.8,102.5,.392,.406,.547,49.8,58.9,8.3,8.3,.514,18.3,31.4,.270
8,American,/cbb/schools/american/men/2023.html,False,32,17,15,.531,-8.26,-7.73,7,11,8,6,9,9,2093,2110,62.6,102.9,.279,.361,.567,51.0,55.5,11.7,11.4,.544,19.5,28.3,.196,62.6,103.7,.321,.337,.550,49.0,52.3,13.0,7.2,.518,16.9,27.9,.232
9,Appalachian State,/cbb/schools/appalachian-state/men/2023.html,False,32,16,16,.500,-1.50,-0.98,9,9,10,7,6,7,2248,2067,67.3,103.6,.293,.392,.532,49.8,50.9,9.4,12.8,.507,14.3,25.8,.198,67.3,95.3,.244,.390,.495,50.2,50.2,8.8,6.7,.466,16.1,27.4,.174
