,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,overtimes,wins,losses,game_streak,arena,homeLink
13,/cbb/boxscores/2022-12-22-19-fairleigh-dickinson.html,"Thu, Dec 22, 2022",7:00p,REG,,/cbb/schools/queens-nc/men/2023.html,Queens (NC),/cbb/conferences/atlantic-sun/men/2023.html,A-Sun,-4.16,L,73,82,,6,8,L 2,Rothman Center,/cbb/schools/fairleigh-dickinson/men/2023.html
14,/cbb/boxscores/2022-12-29-00-fairleigh-dickinson.html,"Thu, Dec 29, 2022",7:00p,REG,,/cbb/schools/merrimack/men/2023.html,Merrimack,/cbb/conferences/northeast/men/2023.html,NEC,-11.18,W,71,63,,7,8,W 1,Rothman Center,/cbb/schools/fairleigh-dickinson/men/2023.html
15,/cbb/boxscores/2022-12-31-12-fairleigh-dickinson.html,"Sat, Dec 31, 2022",12:00p,REG,,,Centenary (NJ),,,,W,99,50,,8,8,W 2,Rothman Center,/cbb/schools/fairleigh-dickinson/men/2023.html
16,/cbb/boxscores/2023-01-05-00-st-francis-ny.html,"Thu, Jan 5, 2023",1:00p,REG,@,/cbb/schools/st-francis-ny/men/2023.html,St. Francis (NY),/cbb/conferences/northeast/men/2023.html,NEC,-16.49,W,76,57,,9,8,W 3,Pratt Institute Activities Resource Center,/cbb/schools/fairleigh-dickinson/men/2023.html
17,/cbb/boxscores/2023-01-07-00-fairleigh-dickinson.html,"Sat, Jan 7, 2023",1:00p,REG,,/cbb/schools/long-island-university/men/2023.html,Long Island University,/cbb/conferences/northeast/men/2023.html,NEC,-24.46,W,101,89,,10,8,W 4,Rothman Center,/cbb/schools/fairleigh-dickinson/men/2023.html
18,/cbb/boxscores/2023-01-14-13-central-connecticut-state.html,"Sat, Jan 14, 2023",1:00p,REG,@,/cbb/schools/central-connecticut-state/men/2023.html,Central Connecticut State,/cbb/conferences/northeast/men/2023.html,NEC,-13.68,W,88,80,,11,8,W 5,Detrick Gymnasium,/cbb/schools/fairleigh-dickinson/men/2023.html
19,/cbb/boxscores/2023-01-16-00-stonehill.html,"Mon, Jan 16, 2023",7:00p,REG,@,/cbb/schools/stonehill/men/2023.html,Stonehill,/cbb/conferences/northeast/men/2023.html,NEC,-12.86,W,65,57,,12,8,W 6,Merkert Gymnasium,/cbb/schools/fairleigh-dickinson/men/2023.html
20,/cbb/boxscores/2023-01-20-00-fairleigh-dickinson.html,"Fri, Jan 20, 2023",7:00p,REG,,/cbb/schools/sacred-heart/men/2023.html,Sacred Heart,/cbb/conferences/northeast/men/2023.html,NEC,-12.78,L,85,92,,12,9,L 1,Rothman Center,/cbb/schools/fairleigh-dickinson/men/2023.html
21,/cbb/boxscores/2023-01-22-00-fairleigh-dickinson.html,"Sun, Jan 22, 2023",6:00p,REG,,/cbb/schools/stonehill/men/2023.html,Stonehill,/cbb/conferences/northeast/men/2023.html,NEC,-12.86,L,59,70,,12,10,L 2,Rothman Center,/cbb/schools/fairleigh-dickinson/men/2023.html
22,/cbb/boxscores/2023-01-26-00-fairleigh-dickinson.html,"Thu, Jan 26, 2023",7:00p,REG,,/cbb/schools/saint-francis-pa/men/2023.html,Saint Francis (PA),/cbb/conferences/northeast/men/2023.html,NEC,-13.41,W,87,82,,13,10,W 1,Rothman Center,/cbb/schools/fairleigh-dickinson/men/2023.html
23,/cbb/boxscores/2023-01-28-15-merrimack.html,"Sat, Jan 28, 2023",3:00p,REG,@,/cbb/schools/merrimack/men/2023.html,Merrimack,/cbb/conferences/northeast/men/2023.html,NEC,-11.18,W,78,71,,14,10,W 2,Hammel Court,/cbb/schools/fairleigh-dickinson/men/2023.html
24,/cbb/boxscores/2023-02-04-00-fairleigh-dickinson.html,"Sat, Feb 4, 2023",1:00p,REG,,/cbb/schools/wagner/men/2023.html,Wagner,/cbb/conferences/northeast/men/2023.html,NEC,-11.81,L,79,83,,14,11,L 1,Rothman Center,/cbb/schools/fairleigh-dickinson/men/2023.html
25,/cbb/boxscores/2023-02-09-19-long-island-university.html,"Thu, Feb 9, 2023",7:00p,REG,@,/cbb/schools/long-island-university/men/2023.html,Long Island University,/cbb/conferences/northeast/men/2023.html,NEC,-24.46,W,80,79,,15,11,W 1,Wellness Center,/cbb/schools/fairleigh-dickinson/men/2023.html
26,/cbb/boxscores/2023-02-11-00-fairleigh-dickinson.html,"Sat, Feb 11, 2023",5:00p,REG,,/cbb/schools/central-connecticut-state/men/2023.html,Central Connecticut State,/cbb/conferences/northeast/men/2023.html,NEC,-13.68,L,73,77,,15,12,L 1,Rothman Center,/cbb/schools/fairleigh-dickinson/men/2023.html
27,/cbb/boxscores/2023-02-16-19-sacred-heart.html,"Thu, Feb 16, 2023",7:00p,REG,@,/cbb/schools/sacred-heart/men/2023.html,Sacred Heart,/cbb/conferences/northeast/men/2023.html,NEC,-12.78,L,86,94,OT,15,13,L 2,William H. Pitt Center,/cbb/schools/fairleigh-dickinson/men/2023.html
28,/cbb/boxscores/2023-02-18-16-wagner.html,"Sat, Feb 18, 2023",4:00p,REG,@,/cbb/schools/wagner/men/2023.html,Wagner,/cbb/conferences/northeast/men/2023.html,NEC,-11.81,W,66,48,,16,13,W 1,Spiro Sports Center,/cbb/schools/fairleigh-dickinson/men/2023.html
29,/cbb/boxscores/2023-02-23-19-saint-francis-pa.html,"Thu, Feb 23, 2023",7:00p,REG,@,/cbb/schools/saint-francis-pa/men/2023.html,Saint Francis (PA),/cbb/conferences/northeast/men/2023.html,NEC,-13.41,L,72,82,,16,14,L 1,DeGol Arena,/cbb/schools/fairleigh-dickinson/men/2023.html
30,/cbb/boxscores/2023-02-25-00-fairleigh-dickinson.html,"Sat, Feb 25, 2023",1:00p,REG,,/cbb/schools/st-francis-ny/men/2023.html,St. Francis (NY),/cbb/conferences/northeast/men/2023.html,NEC,-16.49,W,86,69,,17,14,W 1,Rothman Center,/cbb/schools/fairleigh-dickinson/men/2023.html
31,/cbb/boxscores/2023-03-01-19-fairleigh-dickinson.html,"Wed, Mar 1, 2023",7:00p,CTOURN,,/cbb/schools/st-francis-ny/men/2023.html,St. Francis (NY),/cbb/conferences/northeast/men/2023.html,NEC,-16.49,W,83,75,,18,14,W 2,Rothman Center,/cbb/schools/fairleigh-dickinson/men/2023.html
32,/cbb/boxscores/2023-03-04-20-fairleigh-dickinson.html,"Sat, Mar 4, 2023",8:00p,CTOURN,,/cbb/schools/saint-francis-pa/men/2023.html,Saint Francis (PA),/cbb/conferences/northeast/men/2023.html,NEC,-13.41,W,70,50,,19,14,W 3,Rothman Center,/cbb/schools/fairleigh-dickinson/men/2023.html
33,/cbb/boxscores/2023-03-07-19-merrimack.html,"Tue, Mar 7, 2023",7:00p,CTOURN,@,/cbb/schools/merrimack/men/2023.html,Merrimack,/cbb/conferences/northeast/men/2023.html,NEC,-11.18,L,66,67,,19,15,L 1,Hammel Court,/cbb/schools/fairleigh-dickinson/men/2023.html
34,/cbb/boxscores/2023-03-15-18-texas-southern.html,"Wed, Mar 15, 2023",6:40p,NCAA,N,/cbb/schools/texas-southern/men/2023.html,Texas Southern,/cbb/conferences/swac/men/2023.html,SWAC,-10.56,W,84,61,,20,15,W 1,University of Dayton Arena,/cbb/schools/fairleigh-dickinson/men/2023.html
35,/cbb/boxscores/2023-03-17-18-purdue.html,"Fri, Mar 17, 2023",6:50p,NCAA,N,/cbb/schools/purdue/men/2023.html,Purdue,/cbb/conferences/big-ten/men/2023.html,Big Ten,18.23,W,63,58,,21,15,W 2,Nationwide Arena,/cbb/schools/fairleigh-dickinson/men/2023.html
36,/cbb/boxscores/2023-03-19-19-florida-atlantic.html,"Sun, Mar 19, 2023",7:45p,NCAA,N,/cbb/schools/florida-atlantic/men/2023.html,Florida Atlantic,/cbb/conferences/cusa/men/2023.html,CUSA,13.92,L,70,78,,21,16,L 1,Nationwide Arena,/cbb/schools/fairleigh-dickinson/men/2023.html
