,boxScorelink,date,time_game,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,oppLink,confLink,srs,game_location
13,/cbb/boxscores/2018-01-04-20-murray-state.html,"Thu, Jan 4, 2018",8:00p,REG,Southeast Missouri State,OVC,W,89,73,11,3,W 4,CFSB Center,/cbb/schools/murray-state/men/2018.html,/cbb/schools/southeast-missouri-state/men/2018.html,/cbb/conferences/ovc/men/2018.html,-8.12,
14,/cbb/boxscores/2018-01-06-20-murray-state.html,"Sat, Jan 6, 2018",8:00p,REG,Tennessee-Martin,OVC,W,82,68,12,3,W 5,CFSB Center,/cbb/schools/murray-state/men/2018.html,/cbb/schools/tennessee-martin/men/2018.html,/cbb/conferences/ovc/men/2018.html,-10.52,
15,/cbb/boxscores/2018-01-11-20-jacksonville-state.html,"Thu, Jan 11, 2018",8:30p,REG,Jacksonville State,OVC,L,71,76,12,4,L 1,Pete Mathews Coliseum,/cbb/schools/murray-state/men/2018.html,/cbb/schools/jacksonville-state/men/2018.html,/cbb/conferences/ovc/men/2018.html,-0.30,@
16,/cbb/boxscores/2018-01-13-20-tennessee-tech.html,"Sat, Jan 13, 2018",8:30p,REG,Tennessee Tech,OVC,W,71,45,13,4,W 1,Eblen Center,/cbb/schools/murray-state/men/2018.html,/cbb/schools/tennessee-tech/men/2018.html,/cbb/conferences/ovc/men/2018.html,-5.83,@
17,/cbb/boxscores/2018-01-18-19-belmont.html,"Thu, Jan 18, 2018",7:00p,REG,Belmont,OVC,L,72,79,13,5,L 1,Curb Event Center,/cbb/schools/murray-state/men/2018.html,/cbb/schools/belmont/men/2018.html,/cbb/conferences/ovc/men/2018.html,5.54,@
18,/cbb/boxscores/2018-01-20-20-tennessee-state.html,"Sat, Jan 20, 2018",8:30p,REG,Tennessee State,OVC,W,76,57,14,5,W 1,Gentry Center Complex,/cbb/schools/murray-state/men/2018.html,/cbb/schools/tennessee-state/men/2018.html,/cbb/conferences/ovc/men/2018.html,-5.34,@
19,/cbb/boxscores/2018-01-25-19-murray-state.html,"Thu, Jan 25, 2018",7:00p,REG,Morehead State,OVC,W,87,81,15,5,W 2,CFSB Center,/cbb/schools/murray-state/men/2018.html,/cbb/schools/morehead-state/men/2018.html,/cbb/conferences/ovc/men/2018.html,-10.65,
20,/cbb/boxscores/2018-01-27-20-murray-state.html,"Sat, Jan 27, 2018",8:00p,REG,Eastern Kentucky,OVC,W,88,73,16,5,W 3,CFSB Center,/cbb/schools/murray-state/men/2018.html,/cbb/schools/eastern-kentucky/men/2018.html,/cbb/conferences/ovc/men/2018.html,-10.57,
21,/cbb/boxscores/2018-02-01-20-southeast-missouri-state.html,"Thu, Feb 1, 2018",8:30p,REG,Southeast Missouri State,OVC,W,87,75,17,5,W 4,Show Me Center,/cbb/schools/murray-state/men/2018.html,/cbb/schools/southeast-missouri-state/men/2018.html,/cbb/conferences/ovc/men/2018.html,-8.12,@
22,/cbb/boxscores/2018-02-03-19-tennessee-martin.html,"Sat, Feb 3, 2018",7:00p,REG,Tennessee-Martin,OVC,W,66,53,18,5,W 5,Skyhawk Arena,/cbb/schools/murray-state/men/2018.html,/cbb/schools/tennessee-martin/men/2018.html,/cbb/conferences/ovc/men/2018.html,-10.52,@
23,/cbb/boxscores/2018-02-08-19-murray-state.html,"Thu, Feb 8, 2018",7:00p,REG,Austin Peay,OVC,W,84,63,19,5,W 6,CFSB Center,/cbb/schools/murray-state/men/2018.html,/cbb/schools/austin-peay/men/2018.html,/cbb/conferences/ovc/men/2018.html,-3.28,
24,/cbb/boxscores/2018-02-10-14-southern-illinois-edwardsville.html,"Sat, Feb 10, 2018",2:00p,REG,Southern Illinois-Edwardsville,OVC,W,75,66,20,5,W 7,Vadalabene Center,/cbb/schools/murray-state/men/2018.html,/cbb/schools/southern-illinois-edwardsville/men/2018.html,/cbb/conferences/ovc/men/2018.html,-12.43,@
25,/cbb/boxscores/2018-02-15-20-murray-state.html,"Thu, Feb 15, 2018",8:00p,REG,Jacksonville State,OVC,W,68,60,21,5,W 8,CFSB Center,/cbb/schools/murray-state/men/2018.html,/cbb/schools/jacksonville-state/men/2018.html,/cbb/conferences/ovc/men/2018.html,-0.30,
26,/cbb/boxscores/2018-02-17-20-murray-state.html,"Sat, Feb 17, 2018",8:00p,REG,Tennessee Tech,OVC,W,75,65,22,5,W 9,CFSB Center,/cbb/schools/murray-state/men/2018.html,/cbb/schools/tennessee-tech/men/2018.html,/cbb/conferences/ovc/men/2018.html,-5.83,
27,/cbb/boxscores/2018-02-22-20-eastern-illinois.html,"Thu, Feb 22, 2018",8:30p,REG,Eastern Illinois,OVC,W,76,66,23,5,W 10,Lantz Arena,/cbb/schools/murray-state/men/2018.html,/cbb/schools/eastern-illinois/men/2018.html,/cbb/conferences/ovc/men/2018.html,-8.33,@
28,/cbb/boxscores/2018-02-24-20-austin-peay.html,"Sat, Feb 24, 2018",8:00p,REG,Austin Peay,OVC,W,73,64,24,5,W 11,Winfield Dunn Center,/cbb/schools/murray-state/men/2018.html,/cbb/schools/austin-peay/men/2018.html,/cbb/conferences/ovc/men/2018.html,-3.28,@
29,/cbb/boxscores/2018-03-02-20-murray-state.html,"Fri, Mar 2, 2018",8:00p,CTOURN,Jacksonville State,OVC,W,70,63,25,5,W 12,Ford Center,/cbb/schools/murray-state/men/2018.html,/cbb/schools/jacksonville-state/men/2018.html,/cbb/conferences/ovc/men/2018.html,-0.30,N
30,/cbb/boxscores/2018-03-03-20-murray-state.html,"Sat, Mar 3, 2018",8:00p,CTOURN,Belmont,OVC,W,68,51,26,5,W 13,Ford Center,/cbb/schools/murray-state/men/2018.html,/cbb/schools/belmont/men/2018.html,/cbb/conferences/ovc/men/2018.html,5.54,N
31,/cbb/boxscores/2018-03-16-16-west-virginia.html,"Fri, Mar 16, 2018",4:00p,NCAA,West Virginia,Big 12,L,68,85,26,6,L 1,Viejas Arena,/cbb/schools/murray-state/men/2018.html,/cbb/schools/west-virginia/men/2018.html,/cbb/conferences/big-12/men/2018.html,19.89,N
