,school_name,link,Tourney,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_pace,opp_off_rtg,opp_fta_per_fga_pct,opp_fg3a_per_fga_pct,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_tov_pct,opp_orb_pct,opp_ft_rate
0,Abilene Christian,/cbb/schools/abilene-christian/men/2018.html,False,32,16,16,.500,-9.14,-6.82,8,10,9,6,6,9,2359,2279,71.5,102.3,.309,.350,.549,49.7,55.4,11.3,11.6,.521,17.7,28.0,.217,71.5,98.8,.422,.374,.540,50.3,48.1,8.9,7.5,.499,19.5,28.5,.298
1,Air Force,/cbb/schools/air-force/men/2018.html,False,31,12,19,.387,-4.31,1.72,6,12,9,7,3,10,2124,2244,67.7,100.8,.318,.431,.527,48.7,60.7,9.5,8.1,.490,16.3,27.5,.233,67.7,106.5,.328,.431,.576,51.3,57.2,8.3,10.6,.549,18.3,27.8,.234
2,Akron,/cbb/schools/akron/men/2018.html,False,32,14,18,.438,-6.82,-1.92,6,12,12,4,2,10,2296,2411,69.0,102.7,.319,.467,.547,49.2,52.7,8.5,7.5,.518,17.3,27.5,.222,69.0,107.9,.383,.401,.567,50.8,51.1,9.0,11.7,.532,16.2,28.0,.277
3,Alabama,/cbb/schools/alabama/men/2018.html,True,36,20,16,.556,12.34,10.64,8,10,12,4,2,8,2604,2543,70.2,103.0,.419,.355,.550,50.3,50.3,9.0,14.7,.519,17.8,29.4,.281,70.2,100.6,.365,.379,.514,49.7,48.7,9.4,10.5,.478,16.0,30.8,.250
4,Alabama A&M,/cbb/schools/alabama-am/men/2018.html,False,31,3,28,.097,-23.97,-8.04,3,15,2,9,1,18,1873,2367,68.2,88.2,.314,.354,.480,48.2,50.5,5.8,3.9,.450,20.9,29.9,.203,68.2,111.5,.298,.323,.562,51.8,52.2,11.2,13.8,.540,14.4,32.4,.204
5,Alabama State,/cbb/schools/alabama-state/men/2018.html,False,31,8,23,.258,-18.56,-8.62,8,10,4,8,4,13,2129,2437,70.5,97.0,.352,.347,.496,47.9,41.7,7.7,11.2,.465,16.9,31.9,.227,70.5,111.0,.466,.352,.556,52.1,51.4,9.4,9.9,.519,15.5,34.7,.319
6,Albany (NY),/cbb/schools/albany-ny/men/2018.html,False,32,22,10,.688,0.02,-5.40,10,6,14,3,8,7,2375,2182,67.3,110.3,.370,.273,.550,55.2,48.3,7.0,7.9,.507,14.7,34.9,.279,67.3,101.3,.278,.362,.533,44.8,53.7,8.2,10.1,.506,15.2,24.3,.195
7,Alcorn State,/cbb/schools/alcorn-state/men/2018.html,False,32,11,21,.344,-18.07,-8.60,7,11,9,5,2,16,2244,2388,70.4,99.2,.328,.382,.532,48.4,53.0,8.8,7.7,.499,17.9,27.2,.232,70.4,105.5,.384,.410,.541,51.6,57.6,8.9,8.8,.505,16.0,31.2,.270
8,American,/cbb/schools/american/men/2018.html,False,30,6,24,.200,-14.63,-6.16,3,15,4,8,2,16,1961,2215,67.3,96.7,.304,.439,.531,45.1,52.6,10.7,9.1,.506,18.3,23.7,.202,67.3,109.3,.408,.325,.582,54.9,53.1,10.3,11.9,.549,17.8,31.0,.291
9,Appalachian State,/cbb/schools/appalachian-state/men/2018.html,False,33,15,18,.455,-4.83,-2.67,9,9,9,4,4,11,2520,2448,72.0,104.6,.378,.433,.539,52.3,47.6,8.2,8.9,.509,16.3,30.8,.252,72.0,101.6,.361,.328,.535,47.7,47.5,9.1,9.3,.497,15.8,25.2,.260
10,Arizona,/cbb/schools/arizona/men/2018.html,True,35,27,8,.771,15.67,6.84,14,4,15,1,8,3,2818,2509,68.6,115.6,.370,.321,.598,55.6,52.6,7.1,12.0,.563,15.3,33.3,.281,68.6,103.0,.312,.356,.534,44.4,49.8,8.8,6.8,.499,14.7,25.1,.229
11,Arizona State,/cbb/schools/arizona-state/men/2018.html,True,32,20,12,.625,14.37,6.55,8,10,13,4,4,6,2645,2395,72.2,113.5,.413,.413,.576,49.0,51.6,9.0,9.9,.538,13.0,27.9,.303,72.2,102.8,.327,.399,.540,51.0,57.0,7.4,9.8,.507,17.6,30.6,.235
12,Arkansas,/cbb/schools/arkansas/men/2018.html,True,35,23,12,.657,14.76,9.85,10,8,15,2,3,7,2819,2647,71.3,111.8,.374,.321,.565,48.9,49.9,8.6,13.8,.538,13.2,28.7,.255,71.3,105.0,.408,.416,.547,51.1,54.7,6.6,8.7,.504,16.8,31.5,.297
13,Arkansas State,/cbb/schools/arkansas-state/men/2018.html,False,32,11,21,.344,-9.65,-3.02,6,12,7,7,4,13,2369,2523,70.4,104.3,.329,.364,.536,48.6,40.9,9.5,7.9,.502,15.9,30.6,.236,70.4,111.1,.346,.347,.585,51.4,51.7,8.0,9.3,.558,16.8,30.8,.246
14,Arkansas-Pine Bluff,/cbb/schools/arkansas-pine-bluff/men/2018.html,False,35,14,21,.400,-14.84,-9.36,12,6,7,3,6,13,2307,2499,68.4,95.7,.366,.354,.528,43.6,52.4,11.4,11.7,.496,18.6,24.0,.247,68.4,103.7,.447,.360,.537,56.4,58.8,11.4,5.7,.492,18.6,37.4,.318
15,Army,/cbb/schools/army/men/2018.html,False,30,13,17,.433,-8.62,-7.17,6,12,6,5,4,12,2230,2223,71.7,103.3,.243,.418,.542,49.6,61.1,7.9,8.2,.524,16.4,27.1,.160,71.7,103.0,.374,.409,.552,50.4,53.6,9.3,10.1,.516,17.5,26.7,.268
16,Auburn,/cbb/schools/auburn/men/2018.html,True,34,26,8,.765,15.97,7.29,13,5,15,1,7,4,2783,2488,73.4,111.5,.398,.432,.557,51.7,53.1,10.1,15.2,.508,14.1,32.0,.308,73.4,99.6,.381,.396,.537,48.3,52.4,8.3,9.3,.497,18.2,27.9,.275
17,Austin Peay,/cbb/schools/austin-peay/men/2018.html,False,34,19,15,.559,-3.28,-2.50,12,6,13,5,5,9,2512,2446,70.1,104.7,.366,.294,.532,52.2,49.5,9.4,8.9,.505,16.8,35.7,.239,70.1,101.9,.396,.363,.565,47.8,48.3,8.3,9.2,.530,20.2,28.8,.283
18,Ball State,/cbb/schools/ball-state/men/2018.html,False,32,19,13,.594,-1.22,-2.00,10,8,14,2,5,10,2410,2362,71.1,104.7,.339,.384,.548,51.1,52.9,7.4,8.9,.516,16.1,27.9,.239,71.1,102.6,.293,.362,.524,48.9,49.8,9.6,9.7,.491,14.6,27.3,.213
19,Baylor,/cbb/schools/baylor/men/2018.html,False,34,19,15,.559,14.60,9.17,8,10,15,5,2,9,2571,2369,68.5,109.1,.319,.303,.556,54.2,54.8,7.9,12.2,.523,16.7,35.6,.234,68.5,100.5,.302,.384,.514,45.8,59.7,8.4,10.2,.479,14.8,29.2,.216
20,Belmont,/cbb/schools/belmont/men/2018.html,False,33,24,9,.727,5.54,-2.88,15,3,14,2,9,6,2562,2284,68.5,113.3,.279,.542,.610,51.5,58.7,7.1,6.5,.588,16.3,25.2,.206,68.5,101.0,.268,.350,.521,48.5,45.5,8.9,10.6,.489,14.8,25.7,.198
21,Bethune-Cookman,/cbb/schools/bethune-cookman/men/2018.html,False,32,18,14,.563,-12.19,-12.46,12,4,10,3,8,10,2621,2543,77.7,104.6,.402,.372,.540,52.1,55.5,8.1,8.9,.502,17.3,33.5,.282,77.7,101.5,.375,.337,.519,47.9,55.3,8.5,8.9,.480,15.3,30.0,.263
22,Binghamton,/cbb/schools/binghamton/men/2018.html,False,31,11,20,.355,-10.27,-6.34,2,14,7,7,3,12,2147,2181,67.9,101.6,.297,.378,.530,49.6,47.8,8.0,11.6,.510,15.8,26.0,.190,67.9,103.2,.311,.352,.543,50.4,55.1,8.4,7.5,.513,15.6,26.2,.221
23,Boise State,/cbb/schools/boise-state/men/2018.html,False,32,23,9,.719,11.21,3.05,13,5,15,1,6,6,2502,2210,70.7,108.9,.313,.425,.572,55.9,48.6,8.0,5.9,.542,16.5,29.4,.231,70.7,96.2,.296,.366,.521,44.1,51.3,8.4,9.0,.487,15.2,18.2,.215
24,Boston College,/cbb/schools/boston-college/men/2018.html,False,35,19,16,.543,9.00,7.20,7,11,14,3,2,11,2673,2610,70.1,107.7,.307,.395,.554,51.6,51.9,7.1,8.8,.521,15.5,29.6,.228,70.1,105.2,.271,.405,.548,48.4,51.5,7.9,8.5,.518,15.5,26.7,.202
25,Boston University,/cbb/schools/boston-university/men/2018.html,False,31,15,16,.484,-8.33,-5.83,10,8,6,7,9,9,2186,2226,68.7,102.6,.323,.355,.548,50.1,52.5,10.7,9.8,.529,17.6,29.0,.206,68.7,104.5,.302,.404,.552,49.9,51.8,9.3,8.3,.522,17.5,29.0,.220
26,Bowling Green State,/cbb/schools/bowling-green-state/men/2018.html,False,32,16,16,.500,-6.38,-2.88,7,11,9,6,6,9,2429,2490,71.9,103.6,.372,.352,.526,51.2,51.4,8.1,6.6,.483,15.0,30.0,.272,71.9,106.2,.315,.364,.556,48.8,51.2,8.5,9.0,.525,15.3,26.1,.227
27,Bradley,/cbb/schools/bradley/men/2018.html,False,33,20,13,.606,2.07,0.35,9,9,13,2,4,9,2223,2136,66.3,101.7,.372,.343,.528,51.8,58.2,9.8,12.9,.490,17.3,31.9,.263,66.3,97.7,.355,.417,.517,48.2,60.1,9.6,7.4,.474,17.8,28.5,.261
28,Brigham Young,/cbb/schools/brigham-young/men/2018.html,False,35,24,11,.686,8.05,1.53,11,7,13,3,7,6,2600,2372,67.9,108.2,.376,.341,.579,51.0,58.0,9.3,11.0,.541,15.2,22.4,.282,67.9,98.7,.284,.382,.534,49.0,51.7,8.8,8.0,.513,16.7,22.5,.187
29,Brown,/cbb/schools/brown/men/2018.html,False,27,11,16,.407,-7.78,-4.67,4,10,8,5,3,11,2080,2133,72.7,104.0,.409,.361,.534,50.7,48.6,8.7,8.1,.483,15.7,30.3,.309,72.7,106.6,.405,.358,.574,49.3,49.4,9.1,12.1,.541,17.3,26.7,.286
30,Bryant,/cbb/schools/bryant/men/2018.html,False,31,3,28,.097,-18.75,-5.42,2,16,1,11,2,17,2169,2582,71.0,98.2,.278,.401,.509,44.7,54.1,8.6,3.9,.479,15.9,26.1,.196,71.0,116.9,.330,.407,.598,55.3,54.3,9.1,11.7,.576,15.4,34.0,.231
31,Bucknell,/cbb/schools/bucknell/men/2018.html,True,35,25,10,.714,4.49,-3.46,16,2,15,1,10,8,2837,2559,72.4,110.3,.425,.392,.576,50.8,52.3,7.5,10.4,.539,15.1,27.0,.306,72.4,99.5,.345,.317,.514,49.2,49.2,9.0,9.3,.478,15.0,27.4,.240
32,Buffalo,/cbb/schools/buffalo/men/2018.html,True,36,27,9,.750,7.99,0.25,15,3,14,1,8,5,3047,2742,73.9,113.4,.298,.406,.572,51.4,54.0,8.4,10.1,.549,14.3,31.8,.208,73.9,102.0,.395,.334,.530,48.6,44.3,7.7,9.7,.484,16.1,28.9,.290
33,Butler,/cbb/schools/butler/men/2018.html,True,35,21,14,.600,16.92,10.55,9,9,14,3,3,7,2763,2540,69.6,111.0,.261,.374,.570,51.3,47.9,9.3,8.2,.540,13.9,27.4,.202,69.6,102.1,.353,.376,.557,48.7,50.2,7.2,8.9,.519,17.5,24.1,.262
34,Cal Poly,/cbb/schools/cal-poly/men/2018.html,False,31,9,22,.290,-11.56,-1.83,4,12,7,6,1,13,2082,2302,66.6,98.4,.263,.411,.509,47.5,51.6,7.3,10.2,.470,15.2,25.8,.205,66.6,108.8,.331,.332,.556,52.5,54.9,8.6,10.4,.520,14.3,29.2,.247
35,Cal State Bakersfield,/cbb/schools/cal-state-bakersfield/men/2018.html,False,30,12,18,.400,-6.58,-0.73,5,9,8,4,3,12,1981,2068,67.4,97.9,.346,.367,.509,51.4,55.5,9.0,9.6,.473,17.6,32.3,.241,67.4,102.2,.416,.434,.541,48.6,57.7,8.9,7.8,.502,17.5,28.6,.292
36,Cal State Fullerton,/cbb/schools/cal-state-fullerton/men/2018.html,True,32,20,12,.625,-0.93,-1.03,10,6,9,4,7,7,2318,2245,69.9,102.8,.433,.291,.559,51.1,50.1,8.9,8.6,.516,18.0,27.1,.316,69.9,99.5,.348,.341,.518,48.9,51.6,8.0,9.3,.472,16.0,27.5,.263
37,Cal State Northridge,/cbb/schools/cal-state-northridge/men/2018.html,False,30,6,24,.200,-13.50,-3.53,3,13,4,9,2,13,1983,2206,66.5,98.2,.280,.304,.518,46.0,50.1,7.4,6.3,.488,16.0,24.0,.198,66.5,109.3,.329,.315,.553,54.0,53.4,8.7,9.4,.520,14.3,31.8,.238
38,California,/cbb/schools/california/men/2018.html,False,32,8,24,.250,-3.40,6.05,2,16,5,12,3,8,2166,2483,70.6,95.6,.380,.275,.486,50.5,40.8,9.7,14.0,.446,17.4,34.7,.256,70.6,109.6,.381,.391,.582,49.5,60.3,8.5,9.3,.550,17.2,30.7,.275
39,Campbell,/cbb/schools/campbell/men/2018.html,False,34,18,16,.529,-5.68,-6.68,10,8,14,4,4,11,2581,2412,68.6,109.8,.347,.432,.593,48.5,54.1,9.7,11.1,.561,15.6,21.5,.260,68.6,102.6,.327,.359,.540,51.5,49.4,8.9,8.7,.506,16.0,26.5,.235
40,Canisius,/cbb/schools/canisius/men/2018.html,False,33,21,12,.636,0.44,-4.80,15,3,11,3,8,8,2519,2346,69.9,108.8,.299,.450,.568,49.5,61.4,10.0,8.1,.542,16.2,29.9,.213,69.9,101.4,.376,.353,.545,50.5,47.2,7.5,7.9,.505,18.9,30.4,.276
41,Central Arkansas,/cbb/schools/central-arkansas/men/2018.html,False,35,18,17,.514,-5.83,-5.97,10,8,9,5,8,11,2819,2766,74.3,106.4,.361,.372,.557,47.5,57.8,8.8,12.1,.519,15.9,27.2,.265,74.3,104.4,.382,.321,.536,52.5,51.3,9.5,7.9,.504,16.5,32.8,.258
42,Central Connecticut State,/cbb/schools/central-connecticut-state/men/2018.html,False,32,14,18,.438,-11.62,-7.59,7,11,8,4,6,14,2171,2300,66.3,100.3,.326,.345,.540,52.3,50.4,7.4,9.7,.510,19.1,31.1,.228,66.3,106.3,.301,.408,.541,47.7,52.1,10.1,6.8,.513,14.5,28.3,.211
43,Central Michigan,/cbb/schools/central-michigan/men/2018.html,False,36,21,15,.583,-1.39,-3.24,7,11,12,5,6,9,2835,2661,69.1,112.0,.325,.474,.561,50.7,51.6,9.0,9.4,.517,14.2,31.4,.262,69.1,105.1,.261,.420,.545,49.3,50.7,8.0,11.3,.518,16.0,29.6,.189
44,Charleston Southern,/cbb/schools/charleston-southern/men/2018.html,False,31,15,16,.484,-8.16,-6.16,9,9,9,6,6,10,2232,2133,67.5,105.0,.324,.352,.539,51.2,45.9,10.5,11.8,.505,16.5,31.6,.234,67.5,100.3,.340,.451,.559,48.8,57.4,8.7,8.4,.521,20.2,27.3,.256
45,Charlotte,/cbb/schools/charlotte/men/2018.html,False,29,6,23,.207,-10.13,0.27,2,16,4,11,2,12,2066,2317,72.2,98.2,.390,.345,.533,48.7,45.2,7.8,5.7,.493,18.1,26.3,.279,72.2,110.2,.321,.355,.570,51.3,48.9,10.6,9.6,.543,15.4,28.6,.228
46,Chattanooga,/cbb/schools/chattanooga/men/2018.html,False,33,10,23,.303,-11.09,-4.05,3,15,8,8,1,14,2289,2424,67.4,101.0,.347,.430,.545,49.2,53.7,7.3,5.6,.511,18.0,27.2,.247,67.4,107.0,.279,.345,.569,50.8,49.0,10.4,11.2,.540,16.8,27.0,.209
47,Chicago State,/cbb/schools/chicago-state/men/2018.html,False,32,3,29,.094,-21.53,1.17,1,13,3,8,0,19,2171,2756,74.0,91.7,.330,.289,.494,45.5,47.4,9.8,7.0,.452,18.0,26.7,.239,74.0,116.4,.418,.389,.603,54.5,61.4,8.8,10.7,.575,16.6,33.5,.295
48,Cincinnati,/cbb/schools/cincinnati/men/2018.html,True,36,31,5,.861,20.25,3.53,16,2,15,1,9,2,2673,2071,66.1,112.3,.360,.353,.543,55.6,60.4,10.8,15.8,.512,14.1,38.5,.249,66.1,87.0,.268,.378,.465,44.4,48.8,7.5,7.8,.433,18.8,27.9,.183
49,Clemson,/cbb/schools/clemson/men/2018.html,True,35,25,10,.714,17.16,9.25,11,7,15,1,4,6,2584,2307,67.5,108.5,.335,.399,.566,51.7,51.5,8.3,13.3,.529,15.3,27.1,.253,67.5,96.9,.272,.374,.503,48.3,48.5,8.4,10.6,.472,15.2,26.0,.190
50,Cleveland State,/cbb/schools/cleveland-state/men/2018.html,False,35,12,23,.343,-10.82,-3.64,6,12,7,7,2,15,2402,2613,69.2,98.5,.291,.439,.537,44.3,53.5,9.5,7.3,.509,17.0,22.2,.205,69.2,107.1,.308,.396,.555,55.7,56.4,7.5,10.4,.527,17.2,33.0,.220
51,Coastal Carolina,/cbb/schools/coastal-carolina/men/2018.html,False,32,14,18,.438,-3.94,-2.42,8,10,7,9,5,7,2298,2241,69.0,103.3,.387,.364,.535,54.2,53.1,7.7,11.5,.494,18.2,34.5,.279,69.0,100.8,.374,.445,.523,45.8,56.9,10.1,6.0,.480,15.2,26.9,.271
52,Colgate,/cbb/schools/colgate/men/2018.html,False,33,19,14,.576,-4.85,-5.72,12,6,13,3,6,11,2394,2315,67.5,107.5,.291,.451,.554,49.0,51.4,9.0,10.0,.518,14.4,26.2,.225,67.5,104.0,.283,.400,.556,51.0,52.6,7.6,9.7,.526,17.1,26.7,.209
53,College of Charleston,/cbb/schools/college-of-charleston/men/2018.html,True,34,26,8,.765,1.83,-3.29,14,4,14,0,7,6,2536,2331,65.9,111.1,.367,.378,.567,49.6,44.2,7.8,9.8,.527,13.2,25.7,.277,65.9,102.1,.316,.364,.531,50.4,49.8,6.1,9.3,.495,15.5,27.6,.233
