,boxScorelink,date,time_game,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,oppLink,confLink,srs
0,/cbb/boxscores/2016-11-11-northern-kentucky.html,"Fri, Nov 11, 2016",7:00p,REG,Earlham,,W,96,56,1,0,W 1,BB&T Arena,/cbb/schools/northern-kentucky/men/2017.html,,,,
1,/cbb/boxscores/2016-11-13-illinois.html,"Sun, Nov 13, 2016",6:00p,REG,Illinois,Big Ten,L,64,79,1,1,L 1,State Farm Center,/cbb/schools/northern-kentucky/men/2017.html,@,/cbb/schools/illinois/men/2017.html,/cbb/conferences/big-ten/men/2017.html,10.54
2,/cbb/boxscores/2016-11-18-northern-kentucky.html,"Fri, Nov 18, 2016",5:00p,REG,Austin Peay,OVC,L,69,77,1,2,L 2,Millett Hall,/cbb/schools/northern-kentucky/men/2017.html,N,/cbb/schools/austin-peay/men/2017.html,/cbb/conferences/ovc/men/2017.html,-11.00
3,/cbb/boxscores/2016-11-19-delaware.html,"Sat, Nov 19, 2016",1:30p,REG,Delaware,CAA,W,74,53,2,2,W 1,Millett Hall,/cbb/schools/northern-kentucky/men/2017.html,N,/cbb/schools/delaware/men/2017.html,/cbb/conferences/colonial/men/2017.html,-9.97
4,/cbb/boxscores/2016-11-20-miami-oh.html,"Sun, Nov 20, 2016",2:00p,REG,Miami (OH),MAC,W,79,70,3,2,W 2,Millett Hall,/cbb/schools/northern-kentucky/men/2017.html,@,/cbb/schools/miami-oh/men/2017.html,/cbb/conferences/mac/men/2017.html,-8.16
5,/cbb/boxscores/2016-11-26-northern-kentucky.html,"Sat, Nov 26, 2016",7:00p,REG,North Carolina Central,MEAC,L,74,82,3,3,L 1,BB&T Arena,/cbb/schools/northern-kentucky/men/2017.html,,/cbb/schools/north-carolina-central/men/2017.html,/cbb/conferences/meac/men/2017.html,-3.18
6,/cbb/boxscores/2016-11-30-morehead-state.html,"Wed, Nov 30, 2016",7:00p,REG,Morehead State,OVC,W,84,79,4,3,W 1,Ellis T. Johnson Arena,/cbb/schools/northern-kentucky/men/2017.html,@,/cbb/schools/morehead-state/men/2017.html,/cbb/conferences/ovc/men/2017.html,-3.60
7,/cbb/boxscores/2016-12-03-norfolk-state.html,"Sat, Dec 3, 2016",6:00p,REG,Norfolk State,MEAC,W,72,61,5,3,W 2,Echols Memorial Hall,/cbb/schools/northern-kentucky/men/2017.html,@,/cbb/schools/norfolk-state/men/2017.html,/cbb/conferences/meac/men/2017.html,-12.07
8,/cbb/boxscores/2016-12-07-northern-kentucky.html,"Wed, Dec 7, 2016",7:00p,REG,Eastern Illinois,OVC,W,80,70,6,3,W 3,BB&T Arena,/cbb/schools/northern-kentucky/men/2017.html,,/cbb/schools/eastern-illinois/men/2017.html,/cbb/conferences/ovc/men/2017.html,-5.35
9,/cbb/boxscores/2016-12-10-southeast-missouri-state.html,"Sat, Dec 10, 2016",3:00p,REG,Southeast Missouri State,OVC,W,80,66,7,3,W 4,Show Me Center,/cbb/schools/northern-kentucky/men/2017.html,@,/cbb/schools/southeast-missouri-state/men/2017.html,/cbb/conferences/ovc/men/2017.html,-5.89
10,/cbb/boxscores/2016-12-18-northern-kentucky.html,"Sun, Dec 18, 2016",1:00p,REG,Eastern Washington,Big Sky,W,70,48,8,3,W 5,BB&T Arena,/cbb/schools/northern-kentucky/men/2017.html,,/cbb/schools/eastern-washington/men/2017.html,/cbb/conferences/big-sky/men/2017.html,-2.77
11,/cbb/boxscores/2016-12-21-northern-kentucky.html,"Wed, Dec 21, 2016",7:00p,REG,Brescia,,W,97,73,9,3,W 6,BB&T Arena,/cbb/schools/northern-kentucky/men/2017.html,,,,
12,/cbb/boxscores/2016-12-23-west-virginia.html,"Fri, Dec 23, 2016",4:00p,REG,West Virginia,Big 12,L,61,92,9,4,L 1,WVU Coliseum,/cbb/schools/northern-kentucky/men/2017.html,@,/cbb/schools/west-virginia/men/2017.html,/cbb/conferences/big-12/men/2017.html,24.45
13,/cbb/boxscores/2016-12-29-detroit-mercy.html,"Thu, Dec 29, 2016",7:30p,REG,Detroit Mercy,Horizon,W,81,70,10,4,W 1,Calihan Hall,/cbb/schools/northern-kentucky/men/2017.html,@,/cbb/schools/detroit-mercy/men/2017.html,/cbb/conferences/horizon/men/2017.html,-10.72
14,/cbb/boxscores/2016-12-31-oakland.html,"Sat, Dec 31, 2016",3:00p,REG,Oakland,Horizon,L,65,76,10,5,L 1,Athletics Center O''rena,/cbb/schools/northern-kentucky/men/2017.html,@,/cbb/schools/oakland/men/2017.html,/cbb/conferences/horizon/men/2017.html,4.22
