,school_name,link,Tourney,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_pace,opp_off_rtg,opp_fta_per_fga_pct,opp_fg3a_per_fga_pct,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_tov_pct,opp_orb_pct,opp_ft_rate
0,Abilene Christian,/cbb/schools/abilene-christian/men/2017.html,False,29,13,16,.448,-11.86,-7.10,7,11,9,5,4,11,2009,2073,68.0,100.2,.349,.354,.554,47.1,56.6,10.5,8.5,.530,18.5,23.5,.232,68.0,103.3,.431,.373,.553,52.9,55.5,8.9,8.8,.522,18.5,30.1,.287
1,Air Force,/cbb/schools/air-force/men/2017.html,False,33,12,21,.364,-3.06,1.00,4,14,11,7,0,11,2411,2477,68.9,104.8,.381,.388,.544,50.3,60.5,8.6,5.7,.506,15.0,26.5,.273,68.9,107.7,.326,.467,.570,49.7,59.7,8.6,9.8,.542,15.8,24.7,.231
2,Akron,/cbb/schools/akron/men/2017.html,False,36,27,9,.750,3.59,-1.21,14,4,13,2,7,6,2772,2550,68.0,113.2,.366,.484,.580,51.2,54.5,8.1,8.6,.556,15.0,29.8,.250,68.0,104.1,.327,.332,.536,48.8,45.0,8.6,6.9,.504,14.9,28.1,.231
3,Alabama,/cbb/schools/alabama/men/2017.html,False,34,19,15,.559,11.29,7.47,10,8,11,6,5,6,2330,2200,67.4,100.2,.391,.372,.515,53.8,48.2,8.6,11.6,.483,17.3,34.1,.255,67.4,94.6,.399,.340,.500,46.2,43.4,9.2,8.3,.461,17.3,26.6,.268
4,Alabama A&M,/cbb/schools/alabama-am/men/2017.html,False,29,2,27,.069,-26.99,-11.09,2,16,1,9,1,18,1794,2255,65.4,93.4,.396,.289,.487,46.4,51.9,5.2,4.4,.446,17.3,30.0,.265,65.4,117.4,.340,.341,.563,53.6,49.9,10.4,9.1,.538,11.8,36.7,.231
5,Alabama State,/cbb/schools/alabama-state/men/2017.html,False,31,8,23,.258,-19.75,-10.75,6,12,6,5,1,17,2042,2305,69.6,93.1,.346,.368,.478,50.4,41.7,6.8,8.0,.447,18.6,34.6,.220,69.6,105.1,.420,.318,.534,49.6,49.1,10.5,8.0,.498,15.4,32.3,.285
6,Albany (NY),/cbb/schools/albany-ny/men/2017.html,False,35,21,14,.600,-0.16,-4.69,10,6,11,5,9,8,2496,2301,65.3,109.2,.333,.266,.555,55.5,49.0,7.8,5.6,.517,15.6,33.7,.252,65.3,100.7,.309,.432,.536,44.5,54.7,8.6,10.1,.505,15.7,23.0,.218
7,Alcorn State,/cbb/schools/alcorn-state/men/2017.html,False,32,18,14,.563,-12.33,-10.95,13,5,11,2,6,11,2221,2175,69.2,100.0,.328,.359,.515,51.4,53.1,9.4,9.2,.488,17.3,32.5,.214,69.2,97.9,.385,.322,.500,48.6,55.2,9.9,6.9,.467,16.1,30.2,.249
8,American,/cbb/schools/american/men/2017.html,False,30,8,22,.267,-10.30,-3.50,5,13,4,11,4,11,1845,2049,65.2,94.0,.307,.343,.522,46.6,49.0,10.6,6.9,.503,18.3,21.7,.190,65.2,104.4,.414,.306,.560,53.4,53.6,10.1,8.3,.525,17.8,28.0,.291
9,Appalachian State,/cbb/schools/appalachian-state/men/2017.html,False,30,9,21,.300,-8.67,-1.60,4,14,8,6,1,14,2208,2279,72.1,101.6,.378,.417,.525,50.7,55.3,7.7,7.6,.491,16.5,29.4,.258,72.1,104.9,.432,.300,.550,49.3,50.0,8.3,10.1,.515,15.6,26.5,.296
10,Arizona,/cbb/schools/arizona/men/2017.html,True,37,32,5,.865,18.25,7.63,16,2,15,1,9,1,2833,2440,67.3,113.8,.405,.305,.580,55.1,51.3,8.1,8.8,.537,14.5,33.1,.310,67.3,98.0,.286,.364,.506,44.9,53.4,7.0,7.7,.477,15.2,25.7,.196
11,Arizona State,/cbb/schools/arizona-state/men/2017.html,False,33,15,18,.455,4.02,7.11,7,11,9,7,4,6,2593,2695,72.5,108.0,.319,.438,.550,45.1,48.4,8.1,8.8,.514,12.7,24.4,.239,72.5,112.3,.300,.409,.578,54.9,63.5,7.1,11.3,.554,15.9,32.2,.213
12,Arkansas,/cbb/schools/arkansas/men/2017.html,True,36,26,10,.722,14.04,8.60,12,6,15,3,6,5,2855,2659,71.7,110.7,.381,.295,.558,49.5,49.8,10.8,12.4,.514,14.3,31.7,.290,71.7,103.1,.390,.367,.519,50.5,50.4,7.2,7.7,.478,15.7,33.9,.275
13,Arkansas State,/cbb/schools/arkansas-state/men/2017.html,False,32,20,12,.625,0.87,-2.10,11,7,12,1,7,9,2346,2211,68.8,106.1,.415,.323,.547,52.1,48.1,7.8,7.3,.522,16.2,31.4,.265,68.8,100.0,.413,.352,.527,47.9,54.1,8.2,10.3,.489,16.7,27.2,.283
14,Arkansas-Pine Bluff,/cbb/schools/arkansas-pine-bluff/men/2017.html,False,32,7,25,.219,-22.81,-10.28,6,12,6,6,1,19,1977,2320,68.7,88.2,.337,.360,.494,46.8,48.1,12.4,9.5,.463,22.4,29.8,.220,68.7,103.5,.564,.399,.561,53.2,59.1,13.6,8.4,.512,20.6,34.9,.399
15,Army,/cbb/schools/army/men/2017.html,False,32,13,19,.406,-5.84,-4.10,6,12,9,8,4,10,2324,2340,72.0,99.6,.280,.433,.538,51.8,61.8,7.6,4.9,.518,18.3,27.1,.183,72.0,100.3,.336,.349,.529,48.2,51.7,10.2,11.4,.498,15.4,23.5,.232
16,Auburn,/cbb/schools/auburn/men/2017.html,False,32,18,14,.563,8.17,7.33,7,11,10,5,6,6,2573,2546,75.2,106.1,.425,.401,.544,48.4,48.3,9.6,13.4,.511,15.5,30.3,.285,75.2,105.0,.388,.388,.545,51.6,50.5,8.1,7.9,.506,17.1,33.2,.279
17,Austin Peay,/cbb/schools/austin-peay/men/2017.html,False,30,11,19,.367,-11.00,-2.32,7,9,5,8,4,11,2331,2515,71.8,106.9,.405,.373,.569,44.9,40.2,7.8,6.3,.535,15.4,24.4,.286,71.8,115.3,.297,.380,.587,55.1,51.3,7.7,7.9,.562,16.0,35.3,.217
18,Ball State,/cbb/schools/ball-state/men/2017.html,False,34,21,13,.618,-1.45,-3.57,11,7,11,5,7,7,2677,2567,72.7,106.7,.346,.418,.571,51.2,56.9,8.1,8.8,.540,17.5,28.3,.248,72.7,102.3,.352,.358,.524,48.8,46.9,9.8,9.5,.486,15.1,28.2,.253
19,Baylor,/cbb/schools/baylor/men/2017.html,True,35,27,8,.771,19.75,11.87,12,6,15,2,6,4,2550,2228,65.3,111.5,.338,.328,.562,56.5,59.1,7.9,13.0,.530,17.1,40.2,.244,65.3,97.5,.299,.351,.498,43.5,58.2,8.3,9.6,.462,15.1,28.6,.213
20,Belmont,/cbb/schools/belmont/men/2017.html,False,30,23,7,.767,4.28,-1.69,15,1,12,1,11,4,2302,2078,69.0,110.7,.306,.526,.590,52.1,60.3,6.3,6.8,.558,16.3,26.3,.235,69.0,100.0,.321,.321,.518,47.9,45.8,8.2,10.8,.478,14.5,24.7,.239
21,Bethune-Cookman,/cbb/schools/bethune-cookman/men/2017.html,False,32,10,22,.313,-19.44,-11.21,6,10,7,7,2,13,2275,2490,70.1,98.8,.274,.352,.498,47.0,53.3,10.6,7.9,.472,15.3,31.1,.182,70.1,108.1,.388,.356,.557,53.0,59.6,8.1,9.4,.529,17.3,35.0,.261
22,Binghamton,/cbb/schools/binghamton/men/2017.html,False,32,12,20,.375,-11.99,-5.79,3,13,7,7,4,13,2175,2270,67.4,100.4,.316,.390,.538,48.6,53.4,7.7,6.9,.508,16.4,23.4,.223,67.4,104.8,.317,.379,.544,51.4,55.0,8.6,9.0,.518,15.2,26.8,.216
23,Boise State,/cbb/schools/boise-state/men/2017.html,False,32,20,12,.625,5.52,2.72,12,6,11,3,8,7,2404,2278,70.4,106.7,.412,.403,.558,51.3,47.7,7.0,6.1,.520,16.0,28.2,.294,70.4,101.1,.412,.300,.525,48.7,48.8,8.5,13.7,.477,14.8,26.3,.300
24,Boston College,/cbb/schools/boston-college/men/2017.html,False,32,9,23,.281,2.20,8.08,2,16,8,10,0,9,2320,2508,72.5,100.0,.296,.364,.541,50.2,56.1,7.7,7.3,.516,17.9,25.7,.201,72.5,108.1,.396,.352,.574,49.8,58.0,10.6,10.0,.532,15.4,24.1,.299
25,Boston University,/cbb/schools/boston-university/men/2017.html,False,32,18,14,.563,-2.43,-3.66,12,6,11,5,6,9,2339,2264,69.8,103.1,.336,.419,.547,50.1,55.0,11.7,7.7,.517,17.2,28.2,.234,69.8,99.8,.365,.417,.533,49.9,57.3,9.9,9.7,.501,18.2,28.1,.250
26,Bowling Green State,/cbb/schools/bowling-green-state/men/2017.html,False,32,13,19,.406,-6.00,-2.00,7,11,10,7,3,12,2355,2453,72.7,100.1,.361,.329,.514,48.8,46.9,9.4,7.1,.481,15.1,28.2,.241,72.7,104.3,.337,.357,.559,51.2,47.8,8.5,9.6,.525,17.7,28.0,.245
