,oppLink,pts,opp_pts,homeLink,team1_srs,team1_sos,team1_pace,team1_off_rtg,team1_fta_per_fga_pct,team1_fg3a_per_fga_pct,team1_ts_pct,team1_trb_pct,team1_ast_pct,team1_stl_pct,team1_blk_pct,team1_efg_pct,team1_tov_pct,team1_orb_pct,team1_ft_rate,team1_opp_pace,team1_opp_off_rtg,team1_opp_fta_per_fga_pct,team1_opp_fg3a_per_fga_pct,team1_opp_ts_pct,team1_opp_trb_pct,team1_opp_ast_pct,team1_opp_stl_pct,team1_opp_blk_pct,team1_opp_efg_pct,team1_opp_tov_pct,team1_opp_orb_pct,team1_opp_ft_rate,team2_srs,team2_sos,team2_pace,team2_off_rtg,team2_fta_per_fga_pct,team2_fg3a_per_fga_pct,team2_ts_pct,team2_trb_pct,team2_ast_pct,team2_stl_pct,team2_blk_pct,team2_efg_pct,team2_tov_pct,team2_orb_pct,team2_ft_rate,team2_opp_pace,team2_opp_off_rtg,team2_opp_fta_per_fga_pct,team2_opp_fg3a_per_fga_pct,team2_opp_ts_pct,team2_opp_trb_pct,team2_opp_ast_pct,team2_opp_stl_pct,team2_opp_blk_pct,team2_opp_efg_pct,team2_opp_tov_pct,team2_opp_orb_pct,team2_opp_ft_rate,pts_diff
29,/cbb/schools/north-carolina/men/2017.html,65,71,/cbb/schools/gonzaga/men/2017.html,25.26,4.13,70.9,116.5,0.39,0.329,0.596,54.7,51.8,9.6,11.2,0.567,14.2,29.8,0.28,70.9,86.7,0.269,0.321,0.443,45.3,43.2,7.6,7.8,0.411,14.9,25.8,0.177,24.84,11.76,72.6,116.0,0.348,0.303,0.55,58.2,58.9,9.7,9.7,0.519,13.4,41.3,0.244,72.6,97.0,0.314,0.395,0.517,41.8,46.6,8.6,9.6,0.48,16.6,24.5,0.228,-6
30,/cbb/schools/oregon/men/2017.html,77,93,/cbb/schools/iona/men/2017.html,1.08,-2.47,72.3,109.9,0.31,0.4,0.569,48.2,55.3,9.3,7.7,0.534,14.6,26.9,0.238,72.3,105.1,0.334,0.355,0.532,51.8,53.0,6.6,7.8,0.5,15.4,32.0,0.232,20.8,8.38,68.8,114.2,0.347,0.388,0.582,52.9,56.3,9.4,17.2,0.554,14.7,32.2,0.247,68.8,95.2,0.257,0.378,0.494,47.1,48.9,6.9,9.6,0.462,16.6,28.6,0.185,-16
31,/cbb/schools/nevada/men/2017.html,84,73,/cbb/schools/iowa-state/men/2017.html,20.51,11.94,70.6,112.5,0.276,0.393,0.572,47.7,53.6,10.8,8.9,0.55,12.6,25.6,0.194,70.6,100.6,0.256,0.359,0.518,52.3,51.9,6.6,9.1,0.49,16.7,31.6,0.18,10.49,2.03,70.9,112.1,0.413,0.402,0.561,52.4,59.9,7.6,11.0,0.525,13.4,30.3,0.291,70.9,100.2,0.282,0.355,0.512,47.6,52.0,7.7,6.3,0.483,14.0,26.1,0.195,11
32,/cbb/schools/purdue/men/2017.html,76,80,/cbb/schools/iowa-state/men/2017.html,20.51,11.94,70.6,112.5,0.276,0.393,0.572,47.7,53.6,10.8,8.9,0.55,12.6,25.6,0.194,70.6,100.6,0.256,0.359,0.518,52.3,51.9,6.6,9.1,0.49,16.7,31.6,0.18,20.13,8.79,70.0,112.6,0.333,0.383,0.589,54.9,65.3,7.3,6.1,0.557,16.1,30.7,0.252,70.0,96.6,0.229,0.339,0.503,45.1,50.0,9.2,8.6,0.477,14.7,24.2,0.162,-4
33,/cbb/schools/louisville/men/2017.html,63,78,/cbb/schools/jacksonville-state/men/2017.html,-2.85,-3.24,65.3,105.7,0.346,0.367,0.559,52.7,57.5,6.8,10.8,0.528,18.0,31.5,0.247,65.3,103.3,0.339,0.366,0.524,47.3,49.0,9.1,9.0,0.486,14.4,27.8,0.245,22.47,11.15,68.5,112.0,0.34,0.321,0.543,54.1,48.4,9.7,15.2,0.514,13.4,36.6,0.233,68.5,95.6,0.388,0.356,0.5,45.9,48.3,7.2,8.3,0.457,17.0,28.2,0.269,-15
34,/cbb/schools/california-davis/men/2017.html,100,62,/cbb/schools/kansas/men/2017.html,23.53,12.23,71.4,115.4,0.36,0.359,0.583,53.0,54.5,9.6,11.2,0.561,15.1,33.9,0.244,71.4,99.7,0.3,0.342,0.515,47.0,49.9,9.4,9.4,0.481,16.1,29.4,0.215,-5.21,-4.68,70.2,98.9,0.412,0.316,0.526,50.8,52.8,7.9,9.0,0.49,17.6,28.9,0.278,70.2,98.1,0.319,0.368,0.522,49.2,53.9,9.7,8.9,0.487,17.3,27.5,0.228,38
35,/cbb/schools/michigan-state/men/2017.html,90,70,/cbb/schools/kansas/men/2017.html,23.53,12.23,71.4,115.4,0.36,0.359,0.583,53.0,54.5,9.6,11.2,0.561,15.1,33.9,0.244,71.4,99.7,0.3,0.342,0.515,47.0,49.9,9.4,9.4,0.481,16.1,29.4,0.215,13.67,10.5,68.2,105.0,0.335,0.38,0.563,52.6,65.3,6.3,11.9,0.54,18.0,29.1,0.224,68.2,100.4,0.347,0.327,0.509,47.4,53.6,8.8,8.8,0.467,13.9,26.9,0.252,20
36,/cbb/schools/purdue/men/2017.html,98,66,/cbb/schools/kansas/men/2017.html,23.53,12.23,71.4,115.4,0.36,0.359,0.583,53.0,54.5,9.6,11.2,0.561,15.1,33.9,0.244,71.4,99.7,0.3,0.342,0.515,47.0,49.9,9.4,9.4,0.481,16.1,29.4,0.215,20.13,8.79,70.0,112.6,0.333,0.383,0.589,54.9,65.3,7.3,6.1,0.557,16.1,30.7,0.252,70.0,96.6,0.229,0.339,0.503,45.1,50.0,9.2,8.6,0.477,14.7,24.2,0.162,32
37,/cbb/schools/oregon/men/2017.html,60,74,/cbb/schools/kansas/men/2017.html,23.53,12.23,71.4,115.4,0.36,0.359,0.583,53.0,54.5,9.6,11.2,0.561,15.1,33.9,0.244,71.4,99.7,0.3,0.342,0.515,47.0,49.9,9.4,9.4,0.481,16.1,29.4,0.215,20.8,8.38,68.8,114.2,0.347,0.388,0.582,52.9,56.3,9.4,17.2,0.554,14.7,32.2,0.247,68.8,95.2,0.257,0.378,0.494,47.1,48.9,6.9,9.6,0.462,16.6,28.6,0.185,-14
38,/cbb/schools/wake-forest/men/2017.html,95,88,/cbb/schools/kansas-state/men/2017.html,14.8,10.48,67.5,106.4,0.412,0.363,0.56,49.2,60.0,11.4,10.3,0.527,16.8,29.5,0.286,67.5,100.0,0.334,0.34,0.533,50.8,55.5,9.3,9.5,0.496,19.1,32.3,0.244,14.19,9.8,71.7,115.5,0.407,0.357,0.586,51.9,55.5,7.7,10.1,0.541,14.3,30.7,0.317,71.7,109.3,0.38,0.388,0.563,48.1,52.7,8.4,9.9,0.527,14.3,27.5,0.275,7
