,school_name,link,Tourney,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_pace,opp_off_rtg,opp_fta_per_fga_pct,opp_fg3a_per_fga_pct,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_tov_pct,opp_orb_pct,opp_ft_rate
0,Abilene Christian,/cbb/schools/abilene-christian/men/2019.html,True,34,27,7,.794,-1.91,-7.34,14,4,13,2,10,4,2502,2161,67.2,108.7,.336,.345,.565,50.3,58.5,12.9,8.0,.535,15.5,28.8,.239,67.2,93.8,.370,.333,.529,49.7,47.3,8.3,7.4,.488,21.5,27.3,.267
1,Air Force,/cbb/schools/air-force/men/2019.html,False,32,14,18,.438,-4.28,0.24,8,10,9,6,3,9,2179,2294,67.4,99.5,.283,.400,.541,50.1,54.1,7.0,5.8,.517,17.4,23.7,.192,67.4,104.8,.286,.462,.555,49.9,54.0,10.5,8.2,.533,15.7,23.8,.194
2,Akron,/cbb/schools/akron/men/2019.html,False,33,17,16,.515,4.86,1.09,8,10,14,3,1,10,2271,2107,68.5,100.1,.277,.477,.515,48.2,50.1,8.2,8.9,.485,15.0,25.3,.195,68.5,92.9,.297,.382,.481,51.8,45.1,8.2,8.7,.452,16.6,29.3,.194
3,Alabama,/cbb/schools/alabama/men/2019.html,False,34,18,16,.529,9.45,9.01,8,10,10,6,4,8,2448,2433,69.8,102.8,.380,.369,.533,52.0,48.8,6.6,11.6,.503,16.8,31.5,.253,69.8,102.2,.296,.327,.521,48.0,43.1,9.3,11.7,.489,14.7,28.0,.210
4,Alabama A&M,/cbb/schools/alabama-am/men/2019.html,False,32,5,27,.156,-19.23,-8.38,4,14,4,7,0,18,1938,2285,67.5,88.7,.250,.320,.479,47.1,52.3,10.7,4.7,.457,19.4,27.6,.157,67.5,104.5,.388,.384,.558,52.9,53.5,11.3,8.9,.537,18.3,31.7,.247
5,Alabama State,/cbb/schools/alabama-state/men/2019.html,False,31,12,19,.387,-15.60,-7.84,9,9,8,3,3,13,2086,2235,69.6,95.9,.388,.382,.499,49.0,44.0,9.3,9.3,.465,17.8,30.9,.253,69.6,102.8,.361,.368,.551,51.0,54.1,10.3,9.4,.518,18.8,30.8,.255
6,Albany (NY),/cbb/schools/albany-ny/men/2019.html,False,32,12,20,.375,-9.38,-6.70,7,9,6,8,6,10,2150,2216,66.7,99.2,.322,.451,.533,49.7,55.2,9.0,7.1,.494,18.4,27.1,.240,66.7,102.3,.297,.391,.540,50.3,57.2,9.5,12.3,.519,16.5,27.7,.194
7,Alcorn State,/cbb/schools/alcorn-state/men/2019.html,False,31,10,21,.323,-22.08,-8.97,6,12,10,3,0,17,1995,2194,68.8,93.2,.316,.375,.504,49.9,55.1,10.7,9.8,.473,19.9,30.1,.213,68.8,102.5,.355,.377,.538,50.1,62.5,11.4,7.7,.507,16.9,29.1,.244
8,American,/cbb/schools/american/men/2019.html,False,30,15,15,.500,-4.19,-7.23,9,9,8,7,6,8,2161,2070,67.7,104.6,.358,.355,.561,50.4,51.5,10.7,11.0,.532,16.7,26.1,.250,67.7,100.2,.348,.304,.520,49.6,50.2,9.2,9.2,.482,15.5,27.3,.248
9,Appalachian State,/cbb/schools/appalachian-state/men/2019.html,False,32,11,21,.344,-3.73,0.10,6,12,9,5,2,12,2557,2539,73.7,107.6,.364,.420,.562,48.6,46.1,7.2,6.9,.529,15.5,26.5,.261,73.7,106.8,.336,.336,.559,51.4,45.6,9.5,8.9,.529,15.8,28.7,.237
10,Arizona,/cbb/schools/arizona/men/2019.html,False,32,17,15,.531,8.32,6.32,8,10,12,5,4,7,2269,2205,68.6,102.6,.333,.376,.526,50.5,50.1,7.5,6.6,.490,14.7,28.4,.240,68.6,99.7,.350,.369,.538,49.5,47.8,7.8,10.6,.509,18.0,25.9,.238
