,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink
19,/cbb/boxscores/2012-01-16-san-diego.html,"Mon, Jan 16, 2012",REG,@,/cbb/schools/san-diego/men/2012.html,San Diego,/cbb/conferences/wcc/men/2012.html,WCC,-3.76,W,82,63,16,4,W 5,Jenny Craig Pavilion,/cbb/schools/brigham-young/men/2012.html
20,/cbb/boxscores/2012-01-19-brigham-young.html,"Thu, Jan 19, 2012",REG,,/cbb/schools/loyola-marymount/men/2012.html,Loyola Marymount,/cbb/conferences/wcc/men/2012.html,WCC,2.20,L,68,82,16,5,L 1,Marriott Center,/cbb/schools/brigham-young/men/2012.html
21,/cbb/boxscores/2012-01-21-pepperdine.html,"Sat, Jan 21, 2012",REG,@,/cbb/schools/pepperdine/men/2012.html,Pepperdine,/cbb/conferences/wcc/men/2012.html,WCC,-7.40,W,77,64,17,5,W 1,Firestone Fieldhouse,/cbb/schools/brigham-young/men/2012.html
22,/cbb/boxscores/2012-01-25-virginia-tech.html,"Wed, Jan 25, 2012",REG,@,/cbb/schools/virginia-tech/men/2012.html,Virginia Tech,/cbb/conferences/acc/men/2012.html,ACC,8.93,W,70,68,18,5,W 2,Cassell Coliseum,/cbb/schools/brigham-young/men/2012.html
23,/cbb/boxscores/2012-01-28-brigham-young.html,"Sat, Jan 28, 2012",REG,,/cbb/schools/saint-marys-ca/men/2012.html,Saint Mary's (CA),/cbb/conferences/wcc/men/2012.html,WCC,11.26,L,66,80,18,6,L 1,Marriott Center,/cbb/schools/brigham-young/men/2012.html
24,/cbb/boxscores/2012-02-02-brigham-young.html,"Thu, Feb 2, 2012",REG,,/cbb/schools/gonzaga/men/2012.html,Gonzaga,/cbb/conferences/wcc/men/2012.html,WCC,13.86,W,83,73,19,6,W 1,Marriott Center,/cbb/schools/brigham-young/men/2012.html
25,/cbb/boxscores/2012-02-04-portland.html,"Sat, Feb 4, 2012",REG,@,/cbb/schools/portland/men/2012.html,Portland,/cbb/conferences/wcc/men/2012.html,WCC,-7.88,W,79,60,20,6,W 2,Chiles Center,/cbb/schools/brigham-young/men/2012.html
26,/cbb/boxscores/2012-02-11-brigham-young.html,"Sat, Feb 11, 2012",REG,,/cbb/schools/pepperdine/men/2012.html,Pepperdine,/cbb/conferences/wcc/men/2012.html,WCC,-7.40,W,86,48,21,6,W 3,Marriott Center,/cbb/schools/brigham-young/men/2012.html
27,/cbb/boxscores/2012-02-16-san-francisco.html,"Thu, Feb 16, 2012",REG,@,/cbb/schools/san-francisco/men/2012.html,San Francisco,/cbb/conferences/wcc/men/2012.html,WCC,1.90,W,85,84,22,6,W 4,War Memorial Gymnasium,/cbb/schools/brigham-young/men/2012.html
28,/cbb/boxscores/2012-02-18-santa-clara.html,"Sat, Feb 18, 2012",REG,@,/cbb/schools/santa-clara/men/2012.html,Santa Clara,/cbb/conferences/wcc/men/2012.html,WCC,-6.79,W,82,67,23,6,W 5,Leavey Center,/cbb/schools/brigham-young/men/2012.html
29,/cbb/boxscores/2012-02-23-gonzaga.html,"Thu, Feb 23, 2012",REG,@,/cbb/schools/gonzaga/men/2012.html,Gonzaga,/cbb/conferences/wcc/men/2012.html,WCC,13.86,L,63,74,23,7,L 1,McCarthey Athletic Center,/cbb/schools/brigham-young/men/2012.html
30,/cbb/boxscores/2012-02-25-brigham-young.html,"Sat, Feb 25, 2012",REG,,/cbb/schools/portland/men/2012.html,Portland,/cbb/conferences/wcc/men/2012.html,WCC,-7.88,W,76,66,24,7,W 1,Marriott Center,/cbb/schools/brigham-young/men/2012.html
31,/cbb/boxscores/2012-03-02-brigham-young.html,"Fri, Mar 2, 2012",CTOURN,N,/cbb/schools/san-diego/men/2012.html,San Diego,/cbb/conferences/wcc/men/2012.html,WCC,-3.76,W,73,68,25,7,W 2,Orleans Arena,/cbb/schools/brigham-young/men/2012.html
32,/cbb/boxscores/2012-03-03-brigham-young.html,"Sat, Mar 3, 2012",CTOURN,N,/cbb/schools/gonzaga/men/2012.html,Gonzaga,/cbb/conferences/wcc/men/2012.html,WCC,13.86,L,58,77,25,8,L 1,Orleans Arena,/cbb/schools/brigham-young/men/2012.html
33,/cbb/boxscores/2012-03-13-brigham-young.html,"Tue, Mar 13, 2012",NCAA,N,/cbb/schools/iona/men/2012.html,Iona,/cbb/conferences/maac/men/2012.html,MAAC,8.36,W,78,72,26,8,W 1,University of Dayton Arena,/cbb/schools/brigham-young/men/2012.html
34,/cbb/boxscores/2012-03-15-brigham-young.html,"Thu, Mar 15, 2012",NCAA,N,/cbb/schools/marquette/men/2012.html,Marquette,/cbb/conferences/big-east/men/2012.html,Big East,16.92,L,68,88,26,9,L 1,KFC Yum! Center,/cbb/schools/brigham-young/men/2012.html
