,boxScorelink,date,time_game,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,oppLink,confLink,srs,game_location
0,/cbb/boxscores/2015-11-14-oregon-state.html,"Sat, Nov 14, 2015",7:30p,REG,Bushnell,,W,74,52,1,0,W 1,Gill Coliseum,/cbb/schools/oregon-state/men/2016.html,,,,
1,/cbb/boxscores/2015-11-17-oregon-state.html,"Tue, Nov 17, 2015",10:00p,REG,Iona,MAAC,W,93,73,2,0,W 2,Gill Coliseum,/cbb/schools/oregon-state/men/2016.html,/cbb/schools/iona/men/2016.html,/cbb/conferences/maac/men/2016.html,3.59,
2,/cbb/boxscores/2015-11-19-rice.html,"Thu, Nov 19, 2015",9:00p,REG,Rice,CUSA,W,77,69,3,0,W 3,Tudor Fieldhouse,/cbb/schools/oregon-state/men/2016.html,/cbb/schools/rice/men/2016.html,/cbb/conferences/cusa/men/2016.html,-8.80,@
3,/cbb/boxscores/2015-11-21-california-santa-barbara.html,"Sat, Nov 21, 2015",5:00p,REG,UC Santa Barbara,Big West,W,71,59,4,0,W 4,The Thunderdome,/cbb/schools/oregon-state/men/2016.html,/cbb/schools/california-santa-barbara/men/2016.html,/cbb/conferences/big-west/men/2016.html,3.79,@
4,/cbb/boxscores/2015-11-24-oregon-state.html,"Tue, Nov 24, 2015",9:00p,REG,Valparaiso,Horizon,L,57,63,4,1,L 1,Gill Coliseum,/cbb/schools/oregon-state/men/2016.html,/cbb/schools/valparaiso/men/2016.html,/cbb/conferences/horizon/men/2016.html,10.71,
5,/cbb/boxscores/2015-12-02-oregon-state.html,"Wed, Dec 2, 2015",10:00p,REG,Loyola Marymount,WCC,W,79,70,5,1,W 1,Gill Coliseum,/cbb/schools/oregon-state/men/2016.html,/cbb/schools/loyola-marymount/men/2016.html,/cbb/conferences/wcc/men/2016.html,-3.63,
6,/cbb/boxscores/2015-12-05-oregon-state.html,"Sat, Dec 5, 2015",4:00p,REG,Nevada,MWC,W,66,62,6,1,W 2,Gill Coliseum,/cbb/schools/oregon-state/men/2016.html,/cbb/schools/nevada/men/2016.html,/cbb/conferences/mwc/men/2016.html,2.85,
7,/cbb/boxscores/2015-12-12-kansas.html,"Sat, Dec 12, 2015",8:00p,REG,Kansas,Big 12,L,67,82,6,2,L 1,Sprint Center,/cbb/schools/oregon-state/men/2016.html,/cbb/schools/kansas/men/2016.html,/cbb/conferences/big-12/men/2016.html,23.87,N
8,/cbb/boxscores/2015-12-18-oregon-state.html,"Fri, Dec 18, 2015",11:00p,REG,Cal State Fullerton,Big West,W,82,69,7,2,W 1,Moda Center,/cbb/schools/oregon-state/men/2016.html,/cbb/schools/cal-state-fullerton/men/2016.html,/cbb/conferences/big-west/men/2016.html,-7.12,N
9,/cbb/boxscores/2015-12-19-oregon-state.html,"Sat, Dec 19, 2015",11:00p,REG,Tulsa,AAC,W,76,71,8,2,W 2,Moda Center,/cbb/schools/oregon-state/men/2016.html,/cbb/schools/tulsa/men/2016.html,/cbb/conferences/aac/men/2016.html,9.79,N
10,/cbb/boxscores/2015-12-21-oregon-state.html,"Mon, Dec 21, 2015",9:00p,REG,Quinnipiac,MAAC,W,82,61,9,2,W 3,Gill Coliseum,/cbb/schools/oregon-state/men/2016.html,/cbb/schools/quinnipiac/men/2016.html,/cbb/conferences/maac/men/2016.html,-10.38,
11,/cbb/boxscores/2016-01-03-oregon-state.html,"Sun, Jan 3, 2016",7:00p,REG,Oregon,Pac-12,W,70,57,10,2,W 4,Gill Coliseum,/cbb/schools/oregon-state/men/2016.html,/cbb/schools/oregon/men/2016.html,/cbb/conferences/pac-12/men/2016.html,18.05,
12,/cbb/boxscores/2016-01-06-oregon-state.html,"Wed, Jan 6, 2016",11:00p,REG,Stanford,Pac-12,L,72,78,10,3,L 1,Gill Coliseum,/cbb/schools/oregon-state/men/2016.html,/cbb/schools/stanford/men/2016.html,/cbb/conferences/pac-12/men/2016.html,8.06,
13,/cbb/boxscores/2016-01-09-oregon-state.html,"Sat, Jan 9, 2016",9:30p,REG,California,Pac-12,W,77,71,11,3,W 1,Gill Coliseum,/cbb/schools/oregon-state/men/2016.html,/cbb/schools/california/men/2016.html,/cbb/conferences/pac-12/men/2016.html,15.39,
14,/cbb/boxscores/2016-01-13-colorado.html,"Wed, Jan 13, 2016",11:00p,REG,Colorado,Pac-12,L,54,71,11,4,L 1,CU Events Center,/cbb/schools/oregon-state/men/2016.html,/cbb/schools/colorado/men/2016.html,/cbb/conferences/pac-12/men/2016.html,12.04,@
15,/cbb/boxscores/2016-01-17-utah.html,"Sun, Jan 17, 2016",8:30p,REG,Utah,Pac-12,L,53,59,11,5,L 2,Jon M. Huntsman Center,/cbb/schools/oregon-state/men/2016.html,/cbb/schools/utah/men/2016.html,/cbb/conferences/pac-12/men/2016.html,15.50,@
16,/cbb/boxscores/2016-01-20-oregon-state.html,"Wed, Jan 20, 2016",11:00p,REG,UCLA,Pac-12,L,73,82,11,6,L 3,Gill Coliseum,/cbb/schools/oregon-state/men/2016.html,/cbb/schools/ucla/men/2016.html,/cbb/conferences/pac-12/men/2016.html,10.48,
17,/cbb/boxscores/2016-01-24-oregon-state.html,"Sun, Jan 24, 2016",3:00p,REG,Southern California,Pac-12,W,85,70,12,6,W 1,Gill Coliseum,/cbb/schools/oregon-state/men/2016.html,/cbb/schools/southern-california/men/2016.html,/cbb/conferences/pac-12/men/2016.html,13.52,
18,/cbb/boxscores/2016-01-28-arizona-state.html,"Thu, Jan 28, 2016",8:30p,REG,Arizona State,Pac-12,L,68,86,12,7,L 1,Wells Fargo Arena,/cbb/schools/oregon-state/men/2016.html,/cbb/schools/arizona-state/men/2016.html,/cbb/conferences/pac-12/men/2016.html,8.28,@
19,/cbb/boxscores/2016-01-30-arizona.html,"Sat, Jan 30, 2016",9:30p,REG,Arizona,Pac-12,L,63,80,12,8,L 2,McKale Center,/cbb/schools/oregon-state/men/2016.html,/cbb/schools/arizona/men/2016.html,/cbb/conferences/pac-12/men/2016.html,18.79,@
20,/cbb/boxscores/2016-02-04-oregon-state.html,"Thu, Feb 4, 2016",11:00p,REG,Utah,Pac-12,W,71,69,13,8,W 1,Gill Coliseum,/cbb/schools/oregon-state/men/2016.html,/cbb/schools/utah/men/2016.html,/cbb/conferences/pac-12/men/2016.html,15.50,
21,/cbb/boxscores/2016-02-06-oregon-state.html,"Sat, Feb 6, 2016",8:30p,REG,Colorado,Pac-12,W,60,56,14,8,W 2,Gill Coliseum,/cbb/schools/oregon-state/men/2016.html,/cbb/schools/colorado/men/2016.html,/cbb/conferences/pac-12/men/2016.html,12.04,
22,/cbb/boxscores/2016-02-11-stanford.html,"Thu, Feb 11, 2016",11:00p,REG,Stanford,Pac-12,W,62,50,15,8,W 3,Maples Pavilion,/cbb/schools/oregon-state/men/2016.html,/cbb/schools/stanford/men/2016.html,/cbb/conferences/pac-12/men/2016.html,8.06,@
23,/cbb/boxscores/2016-02-13-california.html,"Sat, Feb 13, 2016",6:30p,REG,California,Pac-12,L,71,83,15,9,L 1,Haas Pavilion,/cbb/schools/oregon-state/men/2016.html,/cbb/schools/california/men/2016.html,/cbb/conferences/pac-12/men/2016.html,15.39,@
24,/cbb/boxscores/2016-02-20-oregon.html,"Sat, Feb 20, 2016",10:00p,REG,Oregon,Pac-12,L,81,91,15,10,L 2,Matthew Knight Arena,/cbb/schools/oregon-state/men/2016.html,/cbb/schools/oregon/men/2016.html,/cbb/conferences/pac-12/men/2016.html,18.05,@
25,/cbb/boxscores/2016-02-24-oregon-state.html,"Wed, Feb 24, 2016",11:00p,REG,Washington,Pac-12,W,82,81,16,10,W 1,Gill Coliseum,/cbb/schools/oregon-state/men/2016.html,/cbb/schools/washington/men/2016.html,/cbb/conferences/pac-12/men/2016.html,11.21,
26,/cbb/boxscores/2016-02-28-oregon-state.html,"Sun, Feb 28, 2016",6:30p,REG,Washington State,Pac-12,W,69,49,17,10,W 2,Gill Coliseum,/cbb/schools/oregon-state/men/2016.html,/cbb/schools/washington-state/men/2016.html,/cbb/conferences/pac-12/men/2016.html,0.50,
27,/cbb/boxscores/2016-03-02-southern-california.html,"Wed, Mar 2, 2016",11:00p,REG,Southern California,Pac-12,L,70,81,17,11,L 1,Galen Center,/cbb/schools/oregon-state/men/2016.html,/cbb/schools/southern-california/men/2016.html,/cbb/conferences/pac-12/men/2016.html,13.52,@
28,/cbb/boxscores/2016-03-05-ucla.html,"Sat, Mar 5, 2016",6:30p,REG,UCLA,Pac-12,W,86,82,18,11,W 1,Pauley Pavilion,/cbb/schools/oregon-state/men/2016.html,/cbb/schools/ucla/men/2016.html,/cbb/conferences/pac-12/men/2016.html,10.48,@
29,/cbb/boxscores/2016-03-09-oregon-state.html,"Wed, Mar 9, 2016",11:30p,CTOURN,Arizona State,Pac-12,W,75,66,19,11,W 2,MGM Grand Garden Arena,/cbb/schools/oregon-state/men/2016.html,/cbb/schools/arizona-state/men/2016.html,/cbb/conferences/pac-12/men/2016.html,8.28,N
30,/cbb/boxscores/2016-03-10-california.html,"Thu, Mar 10, 2016",11:30p,CTOURN,California,Pac-12,L,68,76,19,12,L 1,MGM Grand Garden Arena,/cbb/schools/oregon-state/men/2016.html,/cbb/schools/california/men/2016.html,/cbb/conferences/pac-12/men/2016.html,15.39,N
31,/cbb/boxscores/2016-03-18-oregon-state.html,"Fri, Mar 18, 2016",1:30p,NCAA,Virginia Commonwealth,A-10,L,67,75,19,13,L 2,,/cbb/schools/oregon-state/men/2016.html,/cbb/schools/virginia-commonwealth/men/2016.html,/cbb/conferences/atlantic-10/men/2016.html,13.83,N
