,boxScorelink,date,time_game,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,oppLink,confLink,srs,game_location
0,/cbb/boxscores/2015-11-13-south-dakota-state.html,"Fri, Nov 13, 2015",9:30p,REG,Chadron State,,W,87,52,1,0,W 1,Frost Arena,/cbb/schools/south-dakota-state/men/2016.html,,,,
1,/cbb/boxscores/2015-11-16-south-dakota-state.html,"Mon, Nov 16, 2015",8:00p,REG,Weber State,Big Sky,W,85,68,2,0,W 2,Frost Arena,/cbb/schools/south-dakota-state/men/2016.html,/cbb/schools/weber-state/men/2016.html,/cbb/conferences/big-sky/men/2016.html,0.18,
2,/cbb/boxscores/2015-11-19-illinois-state.html,"Thu, Nov 19, 2015",8:00p,REG,Illinois State,MVC,W,83,67,3,0,W 3,Redbird Arena,/cbb/schools/south-dakota-state/men/2016.html,/cbb/schools/illinois-state/men/2016.html,/cbb/conferences/mvc/men/2016.html,3.40,@
3,/cbb/boxscores/2015-11-21-texas-christian.html,"Sat, Nov 21, 2015",2:00p,REG,TCU,Big 12,W,76,67,4,0,W 4,Ed & Rae Schollmaier Arena,/cbb/schools/south-dakota-state/men/2016.html,/cbb/schools/texas-christian/men/2016.html,/cbb/conferences/big-12/men/2016.html,4.07,@
4,/cbb/boxscores/2015-11-24-houston-baptist.html,"Tue, Nov 24, 2015",3:00p,REG,Houston Christian,Southland,W,92,68,5,0,W 5,Hard Rock Hotel Riviera Maya,/cbb/schools/south-dakota-state/men/2016.html,/cbb/schools/houston-baptist/men/2016.html,/cbb/conferences/southland/men/2016.html,-10.39,N
5,/cbb/boxscores/2015-11-25-south-dakota-state.html,"Wed, Nov 25, 2015",3:00p,REG,Cleveland State,Horizon,W,77,66,6,0,W 6,Hard Rock Hotel Riviera Maya,/cbb/schools/south-dakota-state/men/2016.html,/cbb/schools/cleveland-state/men/2016.html,/cbb/conferences/horizon/men/2016.html,-9.17,N
6,/cbb/boxscores/2015-11-28-missouri-kansas-city.html,"Sat, Nov 28, 2015",1:05p,REG,Kansas City,WAC,L,57,64,6,1,L 1,Municipal Auditorium,/cbb/schools/south-dakota-state/men/2016.html,/cbb/schools/missouri-kansas-city/men/2016.html,/cbb/conferences/wac/men/2016.html,-6.31,@
7,/cbb/boxscores/2015-12-02-south-dakota-state.html,"Wed, Dec 2, 2015",8:00p,REG,Wayne State (NE),,W,80,53,7,1,W 1,Frost Arena,/cbb/schools/south-dakota-state/men/2016.html,,,,
8,/cbb/boxscores/2015-12-08-minnesota.html,"Tue, Dec 8, 2015",8:00p,REG,Minnesota,Big Ten,W,84,70,8,1,W 2,Williams Arena,/cbb/schools/south-dakota-state/men/2016.html,/cbb/schools/minnesota/men/2016.html,/cbb/conferences/big-ten/men/2016.html,0.86,@
9,/cbb/boxscores/2015-12-13-south-dakota-state.html,"Sun, Dec 13, 2015",3:00p,REG,UC Santa Barbara,Big West,W,86,68,9,1,W 3,Frost Arena,/cbb/schools/south-dakota-state/men/2016.html,/cbb/schools/california-santa-barbara/men/2016.html,/cbb/conferences/big-west/men/2016.html,3.79,
