,school_name,link,Tourney,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_pace,opp_off_rtg,opp_fta_per_fga_pct,opp_fg3a_per_fga_pct,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_tov_pct,opp_orb_pct,opp_ft_rate
0,Abilene Christian,/cbb/schools/abilene-christian/men/2016.html,False,31,13,18,.419,-13.93,-7.53,8,10,10,5,2,12,2209,2272,69.7,101.4,.383,.335,.548,49.0,54.7,10.7,6.6,.514,17.2,26.0,.269,69.7,104.3,.442,.292,.565,51.0,47.5,7.3,8.6,.527,18.2,26.9,.313
1,Air Force,/cbb/schools/air-force/men/2016.html,False,32,14,18,.438,-5.51,0.66,5,13,12,5,2,13,2189,2330,68.9,97.7,.402,.339,.523,48.3,55.9,8.7,5.9,.485,16.8,24.9,.275,68.9,104.0,.366,.462,.544,51.7,59.9,9.4,11.4,.510,16.9,28.4,.259
2,Akron,/cbb/schools/akron/men/2016.html,False,35,26,9,.743,5.55,-1.24,13,5,15,0,6,8,2682,2381,69.2,110.4,.312,.506,.553,49.9,55.7,7.8,9.8,.528,13.6,29.0,.214,69.2,98.0,.317,.332,.492,50.1,45.6,8.5,7.7,.459,14.4,30.0,.215
3,Alabama,/cbb/schools/alabama/men/2016.html,False,33,18,15,.545,7.14,8.62,8,10,10,4,5,8,2193,2242,66.1,99.7,.407,.436,.525,47.5,47.0,8.7,14.2,.496,17.3,28.3,.262,66.1,102.0,.391,.342,.503,52.5,48.1,8.6,9.7,.466,15.3,34.6,.263
4,Alabama A&M,/cbb/schools/alabama-am/men/2016.html,False,29,11,18,.379,-13.47,-10.75,6,12,6,5,4,12,1974,2042,65.7,102.3,.393,.367,.510,49.4,53.7,8.5,5.7,.471,14.9,31.5,.269,65.7,105.9,.398,.325,.537,50.6,48.3,8.9,8.1,.507,14.2,31.4,.264
5,Alabama State,/cbb/schools/alabama-state/men/2016.html,False,31,14,17,.452,-13.11,-9.35,9,9,8,3,5,12,2217,2308,69.5,101.3,.325,.337,.501,49.6,47.2,8.3,9.1,.467,14.4,31.6,.222,69.5,105.4,.440,.326,.547,50.4,50.0,8.5,8.3,.519,15.9,29.8,.286
6,Albany (NY),/cbb/schools/albany-ny/men/2016.html,False,33,24,9,.727,0.93,-7.57,13,3,14,1,10,8,2495,2180,67.8,110.3,.440,.317,.558,55.4,48.3,9.5,4.5,.509,15.6,35.1,.330,67.8,96.4,.272,.395,.508,44.6,50.4,7.8,10.4,.482,16.6,25.9,.184
7,Alcorn State,/cbb/schools/alcorn-state/men/2016.html,False,30,15,15,.500,-16.01,-9.94,13,5,9,2,6,9,2014,2164,66.5,98.9,.400,.335,.500,50.8,39.4,6.6,10.3,.460,17.6,35.0,.271,66.5,106.3,.386,.354,.547,49.2,51.3,10.1,8.4,.511,15.3,32.0,.271
8,American,/cbb/schools/american/men/2016.html,False,31,12,19,.387,-14.18,-6.08,9,9,5,7,7,12,1785,2036,62.0,92.2,.317,.385,.522,46.8,55.2,9.1,6.3,.490,20.0,23.5,.221,62.0,105.1,.401,.302,.545,53.2,49.3,11.6,8.2,.516,16.5,30.2,.267
9,Appalachian State,/cbb/schools/appalachian-state/men/2016.html,False,31,9,22,.290,-7.91,-1.10,7,13,6,7,2,12,2187,2398,70.8,99.6,.391,.401,.514,49.7,49.7,5.8,7.5,.472,17.8,32.9,.275,70.8,109.2,.398,.256,.544,50.3,43.6,9.0,10.8,.512,13.7,32.3,.272
10,Arizona,/cbb/schools/arizona/men/2016.html,True,34,25,9,.735,18.79,7.23,12,6,17,1,5,5,2735,2342,69.8,112.8,.438,.294,.575,56.5,51.3,6.8,11.3,.536,15.7,34.9,.316,69.8,96.6,.293,.313,.497,43.5,48.3,7.7,8.4,.462,14.1,24.7,.209
11,Arizona State,/cbb/schools/arizona-state/men/2016.html,False,32,15,17,.469,8.28,8.96,5,13,11,6,3,9,2345,2367,69.8,104.2,.378,.394,.518,50.4,50.9,7.6,7.3,.481,14.5,31.5,.260,69.8,105.1,.381,.349,.553,49.6,58.2,8.3,12.9,.520,16.1,27.8,.267
12,Arkansas,/cbb/schools/arkansas/men/2016.html,False,32,16,16,.500,10.23,6.76,9,9,13,4,3,8,2501,2390,71.3,107.5,.376,.273,.533,50.0,58.7,10.0,13.8,.497,13.2,30.9,.261,71.3,102.7,.428,.349,.538,50.0,55.7,7.1,9.7,.498,17.0,30.0,.300
13,Arkansas State,/cbb/schools/arkansas-state/men/2016.html,False,31,11,20,.355,-7.48,-2.37,7,13,9,6,2,14,2282,2353,72.7,99.7,.413,.307,.514,49.7,49.5,6.9,10.9,.464,15.2,28.1,.303,72.7,102.8,.382,.372,.502,50.3,50.4,8.5,7.3,.464,13.2,30.6,.258
14,Arkansas-Pine Bluff,/cbb/schools/arkansas-pine-bluff/men/2016.html,False,33,8,25,.242,-19.31,-5.52,6,12,3,6,4,17,1867,2322,65.3,86.3,.301,.387,.474,44.6,47.0,10.9,10.8,.450,20.8,27.7,.184,65.3,107.3,.537,.327,.544,55.4,59.0,12.5,9.4,.492,17.0,37.4,.381
15,Army,/cbb/schools/army/men/2016.html,False,33,19,14,.576,-7.32,-8.13,9,9,7,8,11,6,2539,2474,72.2,104.2,.315,.421,.530,52.1,56.0,6.7,8.3,.500,15.8,31.5,.218,72.2,101.6,.318,.279,.521,47.9,45.4,9.6,9.2,.493,14.5,26.9,.213
16,Auburn,/cbb/schools/auburn/men/2016.html,False,31,11,20,.355,0.15,7.54,5,13,8,7,2,11,2192,2421,72.5,97.1,.410,.439,.504,47.2,48.6,7.4,10.4,.473,16.4,27.9,.259,72.5,107.3,.401,.355,.542,52.8,52.8,8.3,11.9,.505,15.2,32.3,.280
