,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,overtimes,wins,losses,game_streak,arena,homeLink
0,/cbb/boxscores/2015-11-13-georgia.html,"Fri, Nov 13, 2015",7:00p,REG,@,/cbb/schools/georgia/men/2016.html,Georgia,/cbb/conferences/sec/men/2016.html,SEC,9.41,W,92,90,OT,1,0,W 1,Stegeman Coliseum,/cbb/schools/chattanooga/men/2016.html
1,/cbb/boxscores/2015-11-16-chattanooga.html,"Mon, Nov 16, 2015",7:00p,REG,,,Hiwassee,,,,W,94,55,,2,0,W 2,McKenzie Arena,/cbb/schools/chattanooga/men/2016.html
2,/cbb/boxscores/2015-11-21-illinois.html,"Sat, Nov 21, 2015",8:30p,REG,N,/cbb/schools/illinois/men/2016.html,Illinois,/cbb/conferences/big-ten/men/2016.html,Big Ten,4.39,W,81,77,,3,0,W 3,Prairie Capital Convention Center,/cbb/schools/chattanooga/men/2016.html
3,/cbb/boxscores/2015-11-23-iowa-state.html,"Mon, Nov 23, 2015",8:00p,REG,@,/cbb/schools/iowa-state/men/2016.html,Iowa State,/cbb/conferences/big-12/men/2016.html,Big 12,16.93,L,63,83,,3,1,L 1,James H. Hilton Coliseum,/cbb/schools/chattanooga/men/2016.html
4,/cbb/boxscores/2015-11-27-alabama-state.html,"Fri, Nov 27, 2015",12:00p,REG,N,/cbb/schools/alabama-state/men/2016.html,Alabama State,/cbb/conferences/swac/men/2016.html,SWAC,-13.11,W,95,58,,4,1,W 1,The Arena at Northwest Florida State College,/cbb/schools/chattanooga/men/2016.html
5,/cbb/boxscores/2015-11-28-chattanooga.html,"Sat, Nov 28, 2015",2:00p,REG,N,/cbb/schools/jacksonville-state/men/2016.html,Jacksonville State,/cbb/conferences/ovc/men/2016.html,OVC,-10.26,W,62,52,,5,1,W 2,The Arena at Northwest Florida State College,/cbb/schools/chattanooga/men/2016.html
6,/cbb/boxscores/2015-11-30-louisiana-monroe.html,"Mon, Nov 30, 2015",8:00p,REG,@,/cbb/schools/louisiana-monroe/men/2016.html,Louisiana-Monroe,/cbb/conferences/sun-belt/men/2016.html,Sun Belt,-0.18,L,54,64,,5,2,L 1,Fant-Ewing Coliseum,/cbb/schools/chattanooga/men/2016.html
7,/cbb/boxscores/2015-12-08-chattanooga.html,"Tue, Dec 8, 2015",7:00p,REG,,,Tennessee Wesleyan,,,,W,91,63,,6,2,W 1,McKenzie Arena,/cbb/schools/chattanooga/men/2016.html
8,/cbb/boxscores/2015-12-12-dayton.html,"Sat, Dec 12, 2015",7:00p,REG,@,/cbb/schools/dayton/men/2016.html,Dayton,/cbb/conferences/atlantic-10/men/2016.html,A-10,11.34,W,61,59,,7,2,W 2,University of Dayton Arena,/cbb/schools/chattanooga/men/2016.html
9,/cbb/boxscores/2015-12-15-chattanooga.html,"Tue, Dec 15, 2015",7:00p,REG,,/cbb/schools/tennessee-tech/men/2016.html,Tennessee Tech,/cbb/conferences/ovc/men/2016.html,OVC,-3.21,W,80,69,,8,2,W 3,McKenzie Arena,/cbb/schools/chattanooga/men/2016.html
