,boxScorelink,date,time_game,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,oppLink,confLink,srs
0,/cbb/boxscores/2014-11-14-coastal-carolina.html,"Fri, Nov 14, 2014",7:30p,REG,Trinity Baptist,,W,79,36,1,0,W 1,HTC Center,/cbb/schools/coastal-carolina/men/2015.html,,,,
1,/cbb/boxscores/2014-11-16-ucla.html,"Sun, Nov 16, 2014",10:00p,REG,UCLA,Pac-12,L,71,84,1,1,L 1,Pauley Pavilion,/cbb/schools/coastal-carolina/men/2015.html,@,/cbb/schools/ucla/men/2015.html,/cbb/conferences/pac-12/men/2015.html,12.07
2,/cbb/boxscores/2014-11-18-coastal-carolina.html,"Tue, Nov 18, 2014",7:00p,REG,Columbia International,,W,82,51,2,1,W 1,HTC Center,/cbb/schools/coastal-carolina/men/2015.html,,,,
3,/cbb/boxscores/2014-11-22-coastal-carolina.html,"Sat, Nov 22, 2014",6:00p,REG,Piedmont,,W,76,33,3,1,W 2,HTC Center,/cbb/schools/coastal-carolina/men/2015.html,,,,
4,/cbb/boxscores/2014-11-26-coastal-carolina.html,"Wed, Nov 26, 2014",2:30p,REG,Louisiana-Monroe,Sun Belt,W,61,48,4,1,W 3,McKenzie Arena,/cbb/schools/coastal-carolina/men/2015.html,N,/cbb/schools/louisiana-monroe/men/2015.html,/cbb/conferences/sun-belt/men/2015.html,-1.99
5,/cbb/boxscores/2014-11-27-chattanooga.html,"Thu, Nov 27, 2014",2:30p,REG,Chattanooga,Southern,L,67,78,4,2,L 1,McKenzie Arena,/cbb/schools/coastal-carolina/men/2015.html,@,/cbb/schools/chattanooga/men/2015.html,/cbb/conferences/southern/men/2015.html,-1.63
6,/cbb/boxscores/2014-12-02-coastal-carolina.html,"Tue, Dec 2, 2014",7:00p,REG,South Carolina State,MEAC,W,66,52,5,2,W 1,HTC Center,/cbb/schools/coastal-carolina/men/2015.html,,/cbb/schools/south-carolina-state/men/2015.html,/cbb/conferences/meac/men/2015.html,-17.37
7,/cbb/boxscores/2014-12-05-auburn.html,"Fri, Dec 5, 2014",9:00p,REG,Auburn,SEC,W,58,54,6,2,W 2,Auburn Arena,/cbb/schools/coastal-carolina/men/2015.html,@,/cbb/schools/auburn/men/2015.html,/cbb/conferences/sec/men/2015.html,3.27
8,/cbb/boxscores/2014-12-11-coastal-carolina.html,"Thu, Dec 11, 2014",7:00p,REG,Warren Wilson,,W,85,40,7,2,W 3,HTC Center,/cbb/schools/coastal-carolina/men/2015.html,,,,
9,/cbb/boxscores/2014-12-14-south-carolina-state.html,"Sun, Dec 14, 2014",3:25p,REG,South Carolina State,MEAC,W,57,43,8,2,W 4,SHM Memorial Center,/cbb/schools/coastal-carolina/men/2015.html,@,/cbb/schools/south-carolina-state/men/2015.html,/cbb/conferences/meac/men/2015.html,-17.37
