,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,overtimes,wins,losses,game_streak,arena,homeLink,game_location
17,/cbb/boxscores/2015-01-20-georgia.html,"Tue, Jan 20, 2015",7:00p,REG,/cbb/schools/georgia/men/2015.html,Georgia,/cbb/conferences/sec/men/2015.html,SEC,12.42,L,64,69,,11,7,L 1,Stegeman Coliseum,/cbb/schools/mississippi/men/2015.html,@
18,/cbb/boxscores/2015-01-24-mississippi.html,"Sat, Jan 24, 2015",6:00p,REG,/cbb/schools/florida/men/2015.html,Florida,/cbb/conferences/sec/men/2015.html,SEC,13.27,W,72,71,,12,7,W 1,C.M. Tad Smith Coliseum,/cbb/schools/mississippi/men/2015.html,
19,/cbb/boxscores/2015-01-28-mississippi.html,"Wed, Jan 28, 2015",9:00p,REG,/cbb/schools/mississippi-state/men/2015.html,Mississippi State,/cbb/conferences/sec/men/2015.html,SEC,2.53,W,79,73,,13,7,W 2,C.M. Tad Smith Coliseum,/cbb/schools/mississippi/men/2015.html,
20,/cbb/boxscores/2015-01-31-missouri.html,"Sat, Jan 31, 2015",4:00p,REG,/cbb/schools/missouri/men/2015.html,Missouri,/cbb/conferences/sec/men/2015.html,SEC,1.13,W,67,47,,14,7,W 3,Mizzou Arena,/cbb/schools/mississippi/men/2015.html,@
21,/cbb/boxscores/2015-02-04-mississippi.html,"Wed, Feb 4, 2015",7:00p,REG,/cbb/schools/texas-am/men/2015.html,Texas A&M,/cbb/conferences/sec/men/2015.html,SEC,10.73,W,69,59,,15,7,W 4,C.M. Tad Smith Coliseum,/cbb/schools/mississippi/men/2015.html,
22,/cbb/boxscores/2015-02-07-auburn.html,"Sat, Feb 7, 2015",6:30p,REG,/cbb/schools/auburn/men/2015.html,Auburn,/cbb/conferences/sec/men/2015.html,SEC,3.27,W,86,79,,16,7,W 5,Auburn Arena,/cbb/schools/mississippi/men/2015.html,@
23,/cbb/boxscores/2015-02-12-florida.html,"Thu, Feb 12, 2015",7:00p,REG,/cbb/schools/florida/men/2015.html,Florida,/cbb/conferences/sec/men/2015.html,SEC,13.27,W,62,61,,17,7,W 6,Stephen C. O''Connell Center,/cbb/schools/mississippi/men/2015.html,@
24,/cbb/boxscores/2015-02-14-mississippi.html,"Sat, Feb 14, 2015",9:00p,REG,/cbb/schools/arkansas/men/2015.html,Arkansas,/cbb/conferences/sec/men/2015.html,SEC,14.07,L,70,71,,17,8,L 1,C.M. Tad Smith Coliseum,/cbb/schools/mississippi/men/2015.html,
25,/cbb/boxscores/2015-02-19-mississippi-state.html,"Thu, Feb 19, 2015",9:00p,REG,/cbb/schools/mississippi-state/men/2015.html,Mississippi State,/cbb/conferences/sec/men/2015.html,SEC,2.53,W,71,65,,18,8,W 1,Humphrey Coliseum,/cbb/schools/mississippi/men/2015.html,@
26,/cbb/boxscores/2015-02-21-mississippi.html,"Sat, Feb 21, 2015",7:30p,REG,/cbb/schools/tennessee/men/2015.html,Tennessee,/cbb/conferences/sec/men/2015.html,SEC,7.23,W,59,57,,19,8,W 2,C.M. Tad Smith Coliseum,/cbb/schools/mississippi/men/2015.html,
27,/cbb/boxscores/2015-02-25-mississippi.html,"Wed, Feb 25, 2015",9:00p,REG,/cbb/schools/georgia/men/2015.html,Georgia,/cbb/conferences/sec/men/2015.html,SEC,12.42,L,72,76,,19,9,L 1,C.M. Tad Smith Coliseum,/cbb/schools/mississippi/men/2015.html,
28,/cbb/boxscores/2015-02-28-louisiana-state.html,"Sat, Feb 28, 2015",2:00p,REG,/cbb/schools/louisiana-state/men/2015.html,Louisiana State,/cbb/conferences/sec/men/2015.html,SEC,11.39,L,63,73,,19,10,L 2,Maravich Assembly Center,/cbb/schools/mississippi/men/2015.html,@
29,/cbb/boxscores/2015-03-03-alabama.html,"Tue, Mar 3, 2015",7:00p,REG,/cbb/schools/alabama/men/2015.html,Alabama,/cbb/conferences/sec/men/2015.html,SEC,10.52,W,82,74,,20,10,W 1,Coleman Coliseum,/cbb/schools/mississippi/men/2015.html,@
30,/cbb/boxscores/2015-03-07-mississippi.html,"Sat, Mar 7, 2015",9:00p,REG,/cbb/schools/vanderbilt/men/2015.html,Vanderbilt,/cbb/conferences/sec/men/2015.html,SEC,11.89,L,77,86,,20,11,L 1,C.M. Tad Smith Coliseum,/cbb/schools/mississippi/men/2015.html,
31,/cbb/boxscores/2015-03-12-mississippi.html,"Thu, Mar 12, 2015",9:30p,CTOURN,/cbb/schools/south-carolina/men/2015.html,South Carolina,/cbb/conferences/sec/men/2015.html,SEC,10.55,L,58,60,,20,12,L 2,Bridgestone Arena,/cbb/schools/mississippi/men/2015.html,N
32,/cbb/boxscores/2015-03-17-brigham-young.html,"Tue, Mar 17, 2015",9:33p,NCAA,/cbb/schools/brigham-young/men/2015.html,Brigham Young,/cbb/conferences/wcc/men/2015.html,WCC,13.53,W,94,90,,21,12,W 1,University of Dayton Arena,/cbb/schools/mississippi/men/2015.html,N
33,/cbb/boxscores/2015-03-19-mississippi.html,"Thu, Mar 19, 2015",4:23p,NCAA,/cbb/schools/xavier/men/2015.html,Xavier,/cbb/conferences/big-east/men/2015.html,Big East,15.42,L,57,76,,21,13,L 1,Jacksonville Veteran's Memorial Arena,/cbb/schools/mississippi/men/2015.html,N
