,boxScorelink,date,game_type,opp,confLink,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,oppLink,srs,game_location,overtimes
0,/cbb/boxscores/2009-11-13-michigan-state.html,"Fri, Nov 13, 2009",REG,Florida Gulf Coast,/cbb/conferences/atlantic-sun/men/2010.html,A-Sun,W,97,58,1,0,W 1,Breslin Student Events Center,/cbb/schools/michigan-state/men/2010.html,,,,
1,/cbb/boxscores/2009-11-17-michigan-state.html,"Tue, Nov 17, 2009",REG,Gonzaga,/cbb/conferences/wcc/men/2010.html,WCC,W,75,71,2,0,W 2,Breslin Student Events Center,/cbb/schools/michigan-state/men/2010.html,/cbb/schools/gonzaga/men/2010.html,12.11,,
2,/cbb/boxscores/2009-11-20-michigan-state.html,"Fri, Nov 20, 2009",REG,Toledo,/cbb/conferences/mac/men/2010.html,MAC,W,75,62,3,0,W 3,Breslin Student Events Center,/cbb/schools/michigan-state/men/2010.html,/cbb/schools/toledo/men/2010.html,-14.39,,
3,/cbb/boxscores/2009-11-22-michigan-state.html,"Sun, Nov 22, 2009",REG,Valparaiso,/cbb/conferences/horizon/men/2010.html,Horizon,W,90,60,4,0,W 4,Breslin Student Events Center,/cbb/schools/michigan-state/men/2010.html,/cbb/schools/valparaiso/men/2010.html,-2.90,,
4,/cbb/boxscores/2009-11-27-michigan-state.html,"Fri, Nov 27, 2009",REG,Florida,/cbb/conferences/sec/men/2010.html,SEC,L,74,77,4,1,L 1,Boardwalk Hall,/cbb/schools/michigan-state/men/2010.html,/cbb/schools/florida/men/2010.html,11.89,N,
5,/cbb/boxscores/2009-11-28-massachusetts.html,"Sat, Nov 28, 2009",REG,Massachusetts,/cbb/conferences/atlantic-10/men/2010.html,A-10,W,106,68,5,1,W 1,Boardwalk Hall,/cbb/schools/michigan-state/men/2010.html,/cbb/schools/massachusetts/men/2010.html,-1.76,N,
6,/cbb/boxscores/2009-12-01-north-carolina.html,"Tue, Dec 1, 2009",REG,North Carolina,/cbb/conferences/acc/men/2010.html,ACC,L,82,89,5,2,L 1,Dean Smith Center,/cbb/schools/michigan-state/men/2010.html,/cbb/schools/north-carolina/men/2010.html,10.14,@,
7,/cbb/boxscores/2009-12-04-michigan-state.html,"Fri, Dec 4, 2009",REG,Wofford,/cbb/conferences/southern/men/2010.html,Southern,W,72,60,6,2,W 1,Breslin Student Events Center,/cbb/schools/michigan-state/men/2010.html,/cbb/schools/wofford/men/2010.html,4.43,,
8,/cbb/boxscores/2009-12-07-citadel.html,"Mon, Dec 7, 2009",REG,The Citadel,/cbb/conferences/southern/men/2010.html,Southern,W,69,56,7,2,W 2,McAlister Field House,/cbb/schools/michigan-state/men/2010.html,/cbb/schools/citadel/men/2010.html,-3.44,@,
9,/cbb/boxscores/2009-12-10-michigan-state.html,"Thu, Dec 10, 2009",REG,Oakland,/cbb/conferences/summit/men/2010.html,Summit,W,88,57,8,2,W 3,Breslin Student Events Center,/cbb/schools/michigan-state/men/2010.html,/cbb/schools/oakland/men/2010.html,-0.64,,
