,boxScorelink,date,game_type,opp,confLink,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,oppLink,srs,game_location,overtimes
18,/cbb/boxscores/2010-01-23-kansas-state.html,"Sat, Jan 23, 2010",REG,Kansas State,/cbb/conferences/big-12/men/2010.html,Big 12,W,73,69,15,4,W 2,Bramlage Coliseum,/cbb/schools/oklahoma-state/men/2010.html,/cbb/schools/kansas-state/men/2010.html,19.88,@,
19,/cbb/boxscores/2010-01-27-oklahoma-state.html,"Wed, Jan 27, 2010",REG,Texas A&M,/cbb/conferences/big-12/men/2010.html,Big 12,W,76,69,16,4,W 3,Gallagher-Iba Arena,/cbb/schools/oklahoma-state/men/2010.html,/cbb/schools/texas-am/men/2010.html,15.24,,
20,/cbb/boxscores/2010-01-30-missouri.html,"Sat, Jan 30, 2010",REG,Missouri,/cbb/conferences/big-12/men/2010.html,Big 12,L,80,95,16,5,L 1,Mizzou Arena,/cbb/schools/oklahoma-state/men/2010.html,/cbb/schools/missouri/men/2010.html,17.39,@,
21,/cbb/boxscores/2010-02-01-oklahoma-state.html,"Mon, Feb 1, 2010",REG,Texas,/cbb/conferences/big-12/men/2010.html,Big 12,L,60,72,16,6,L 2,Gallagher-Iba Arena,/cbb/schools/oklahoma-state/men/2010.html,/cbb/schools/texas/men/2010.html,18.56,,
22,/cbb/boxscores/2010-02-06-texas-tech.html,"Sat, Feb 6, 2010",REG,Texas Tech,/cbb/conferences/big-12/men/2010.html,Big 12,L,74,81,16,7,L 3,United Spirit Arena,/cbb/schools/oklahoma-state/men/2010.html,/cbb/schools/texas-tech/men/2010.html,7.97,@,
23,/cbb/boxscores/2010-02-13-oklahoma-state.html,"Sat, Feb 13, 2010",REG,Oklahoma,/cbb/conferences/big-12/men/2010.html,Big 12,W,97,76,17,7,W 1,Gallagher-Iba Arena,/cbb/schools/oklahoma-state/men/2010.html,/cbb/schools/oklahoma/men/2010.html,6.24,,
24,/cbb/boxscores/2010-02-17-iowa-state.html,"Wed, Feb 17, 2010",REG,Iowa State,/cbb/conferences/big-12/men/2010.html,Big 12,W,69,64,18,7,W 2,James H. Hilton Coliseum,/cbb/schools/oklahoma-state/men/2010.html,/cbb/schools/iowa-state/men/2010.html,9.60,@,
25,/cbb/boxscores/2010-02-20-oklahoma-state.html,"Sat, Feb 20, 2010",REG,Baylor,/cbb/conferences/big-12/men/2010.html,Big 12,W,82,75,19,7,W 3,Gallagher-Iba Arena,/cbb/schools/oklahoma-state/men/2010.html,/cbb/schools/baylor/men/2010.html,17.97,,
26,/cbb/boxscores/2010-02-24-texas.html,"Wed, Feb 24, 2010",REG,Texas,/cbb/conferences/big-12/men/2010.html,Big 12,L,59,69,19,8,L 1,Frank Erwin Center,/cbb/schools/oklahoma-state/men/2010.html,/cbb/schools/texas/men/2010.html,18.56,@,
27,/cbb/boxscores/2010-02-27-oklahoma-state.html,"Sat, Feb 27, 2010",REG,Kansas,/cbb/conferences/big-12/men/2010.html,Big 12,W,85,77,20,8,W 1,Gallagher-Iba Arena,/cbb/schools/oklahoma-state/men/2010.html,/cbb/schools/kansas/men/2010.html,24.68,,
28,/cbb/boxscores/2010-03-03-texas-am.html,"Wed, Mar 3, 2010",REG,Texas A&M,/cbb/conferences/big-12/men/2010.html,Big 12,L,61,76,20,9,L 1,Reed Arena,/cbb/schools/oklahoma-state/men/2010.html,/cbb/schools/texas-am/men/2010.html,15.24,@,
29,/cbb/boxscores/2010-03-06-oklahoma-state.html,"Sat, Mar 6, 2010",REG,Nebraska,/cbb/conferences/big-12/men/2010.html,Big 12,W,74,55,21,9,W 1,Gallagher-Iba Arena,/cbb/schools/oklahoma-state/men/2010.html,/cbb/schools/nebraska/men/2010.html,6.60,,
30,/cbb/boxscores/2010-03-10-oklahoma.html,"Wed, Mar 10, 2010",CTOURN,Oklahoma,/cbb/conferences/big-12/men/2010.html,Big 12,W,81,67,22,9,W 2,Sprint Center,/cbb/schools/oklahoma-state/men/2010.html,/cbb/schools/oklahoma/men/2010.html,6.24,N,
31,/cbb/boxscores/2010-03-11-oklahoma-state.html,"Thu, Mar 11, 2010",CTOURN,Kansas State,/cbb/conferences/big-12/men/2010.html,Big 12,L,64,83,22,10,L 1,Sprint Center,/cbb/schools/oklahoma-state/men/2010.html,/cbb/schools/kansas-state/men/2010.html,19.88,N,
32,/cbb/boxscores/2010-03-19-georgia-tech.html,"Fri, Mar 19, 2010",NCAA,Georgia Tech,/cbb/conferences/acc/men/2010.html,ACC,L,59,64,22,11,L 2,Bradley Center,/cbb/schools/oklahoma-state/men/2010.html,/cbb/schools/georgia-tech/men/2010.html,14.11,N,
