,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,homeLink,game_location,arena,overtimes
10,/cbb/boxscores/2023-12-14-20-wisconsin.html,"Thu, Dec 14, 2023",7:00p,REG,/cbb/schools/jacksonville-state/men/2024.html,Jacksonville State,/cbb/conferences/cusa/men/2024.html,CUSA,-3.29,W,75,60,8,3,W 1,/cbb/schools/wisconsin/men/2024.html,,,
11,/cbb/boxscores/2023-12-22-20-wisconsin.html,"Fri, Dec 22, 2023",8:00p,REG,/cbb/schools/chicago-state/men/2024.html,Chicago State,/cbb/conferences/independent/men/2024.html,Ind,-9.78,W,80,53,9,3,W 2,/cbb/schools/wisconsin/men/2024.html,,,
12,/cbb/boxscores/2024-01-02-19-wisconsin.html,"Tue, Jan 2, 2024",7:00p,REG,/cbb/schools/iowa/men/2024.html,Iowa,/cbb/conferences/big-ten/men/2024.html,Big Ten,13.42,W,83,72,10,3,W 3,/cbb/schools/wisconsin/men/2024.html,,,
13,/cbb/boxscores/2024-01-06-14-wisconsin.html,"Sat, Jan 6, 2024",2:15p,REG,/cbb/schools/nebraska/men/2024.html,Nebraska,/cbb/conferences/big-ten/men/2024.html,Big Ten,15.08,W,88,72,11,3,W 4,/cbb/schools/wisconsin/men/2024.html,,,
14,/cbb/boxscores/2024-01-10-00-ohio-state.html,"Wed, Jan 10, 2024",8:30p,REG,/cbb/schools/ohio-state/men/2024.html,Ohio State,/cbb/conferences/big-ten/men/2024.html,Big Ten,13.92,W,71,60,12,3,W 5,/cbb/schools/wisconsin/men/2024.html,@,Value City Arena,
15,/cbb/boxscores/2024-01-13-12-wisconsin.html,"Sat, Jan 13, 2024",12:00p,REG,/cbb/schools/northwestern/men/2024.html,Northwestern,/cbb/conferences/big-ten/men/2024.html,Big Ten,12.72,W,71,63,13,3,W 6,/cbb/schools/wisconsin/men/2024.html,,,
16,/cbb/boxscores/2024-01-16-21-penn-state.html,"Tue, Jan 16, 2024",9:00p,REG,/cbb/schools/penn-state/men/2024.html,Penn State,/cbb/conferences/big-ten/men/2024.html,Big Ten,9.42,L,83,87,13,4,L 1,/cbb/schools/wisconsin/men/2024.html,@,Bryce Jordan Center,
17,/cbb/boxscores/2024-01-19-20-wisconsin.html,"Fri, Jan 19, 2024",8:30p,REG,/cbb/schools/indiana/men/2024.html,Indiana,/cbb/conferences/big-ten/men/2024.html,Big Ten,7.98,W,91,79,14,4,W 1,/cbb/schools/wisconsin/men/2024.html,,,
18,/cbb/boxscores/2024-01-23-19-minnesota.html,"Tue, Jan 23, 2024",7:00p,REG,/cbb/schools/minnesota/men/2024.html,Minnesota,/cbb/conferences/big-ten/men/2024.html,Big Ten,9.98,W,61,59,15,4,W 2,/cbb/schools/wisconsin/men/2024.html,@,Williams Arena,
19,/cbb/boxscores/2024-01-26-20-wisconsin.html,"Fri, Jan 26, 2024",8:00p,REG,/cbb/schools/michigan-state/men/2024.html,Michigan State,/cbb/conferences/big-ten/men/2024.html,Big Ten,17.87,W,81,66,16,4,W 3,/cbb/schools/wisconsin/men/2024.html,,,
20,/cbb/boxscores/2024-02-01-20-nebraska.html,"Thu, Feb 1, 2024",8:30p,REG,/cbb/schools/nebraska/men/2024.html,Nebraska,/cbb/conferences/big-ten/men/2024.html,Big Ten,15.08,L,72,80,16,5,L 1,/cbb/schools/wisconsin/men/2024.html,@,Pinnacle Bank Arena,OT
21,/cbb/boxscores/2024-02-04-13-wisconsin.html,"Sun, Feb 4, 2024",1:00p,REG,/cbb/schools/purdue/men/2024.html,Purdue,/cbb/conferences/big-ten/men/2024.html,Big Ten,24.73,L,69,75,16,6,L 2,/cbb/schools/wisconsin/men/2024.html,,,
