,school_name,link,Tourney,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_pace,opp_off_rtg,opp_fta_per_fga_pct,opp_fg3a_per_fga_pct,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_tov_pct,opp_orb_pct,opp_ft_rate
0,Abilene Christian,/cbb/schools/abilene-christian/men/2024.html,False,33,16,17,.485,-3.47,-1.22,10,10,8,6,5,9,2393,2414,71.2,100.7,.386,.263,.523,47.7,50.2,10.9,5.5,.479,15.5,26.7,.281,71.2,101.6,.405,.317,.545,52.3,46.5,9.1,7.7,.511,18.0,29.7,.278
1,Air Force,/cbb/schools/air-force/men/2024.html,False,31,9,22,.290,-4.22,1.98,2,16,4,12,5,8,2051,2243,63.4,103.6,.296,.472,.560,46.2,62.0,10.2,11.8,.538,16.9,23.8,.202,63.4,113.2,.391,.367,.580,53.8,49.9,9.0,11.3,.542,15.3,31.5,.292
2,Akron,/cbb/schools/akron/men/2024.html,True,34,24,10,.706,3.00,-2.53,13,5,13,1,7,6,2517,2239,67.0,110.1,.326,.428,.558,53.3,50.2,8.4,8.1,.526,14.7,30.9,.237,67.0,98.0,.279,.372,.510,46.7,45.9,9.0,7.4,.482,15.1,25.3,.191
3,Alabama,/cbb/schools/alabama/men/2024.html,True,32,21,11,.656,21.06,11.38,13,5,14,2,5,5,2904,2594,74.2,121.3,.352,.467,.600,53.0,52.1,9.7,10.5,.562,13.7,35.0,.276,74.2,108.4,.396,.367,.544,47.0,45.1,9.9,12.6,.499,13.6,30.0,.294
4,Alabama A&M,/cbb/schools/alabama-am/men/2024.html,False,33,11,22,.333,-14.69,-7.59,9,9,7,5,3,14,2267,2501,71.8,95.4,.479,.270,.511,49.6,45.7,10.6,10.7,.455,19.4,31.7,.344,71.8,105.2,.464,.369,.546,50.4,54.3,13.1,8.5,.493,17.1,32.7,.347
5,Alabama State,/cbb/schools/alabama-state/men/2024.html,False,32,13,19,.406,-11.75,-6.88,8,10,7,5,3,13,2195,2221,69.7,97.0,.284,.380,.463,50.1,44.7,12.2,12.0,.423,13.2,32.4,.205,69.7,98.1,.420,.415,.529,49.9,53.4,8.7,11.7,.482,18.2,28.1,.305
6,Albany (NY),/cbb/schools/albany-ny/men/2024.html,False,32,13,19,.406,-6.48,-5.10,5,11,8,5,5,13,2517,2521,74.6,105.1,.288,.368,.538,50.0,44.8,11.1,7.4,.507,15.4,30.5,.209,74.6,105.2,.383,.296,.549,50.0,46.3,9.8,11.4,.510,15.3,29.0,.278
7,Alcorn State,/cbb/schools/alcorn-state/men/2024.html,False,32,14,18,.438,-11.62,-5.65,13,5,7,3,7,14,2300,2477,68.3,104.8,.378,.266,.527,51.4,45.4,10.0,5.7,.487,14.5,33.6,.269,68.3,112.9,.366,.455,.580,48.6,59.5,9.2,9.5,.548,15.0,30.3,.266
8,American,/cbb/schools/american/men/2024.html,False,32,16,16,.500,-8.77,-8.61,10,8,8,7,8,9,2200,2176,63.1,108.1,.283,.456,.557,51.6,57.4,9.1,5.5,.530,15.0,28.4,.204,63.1,106.9,.298,.430,.559,48.4,51.9,7.9,8.2,.535,15.1,25.2,.206
9,Appalachian State,/cbb/schools/appalachian-state/men/2024.html,False,33,27,6,.818,6.41,-2.59,16,2,15,0,8,4,2589,2196,69.2,110.9,.319,.318,.553,53.6,50.1,8.8,15.6,.529,13.2,31.0,.216,69.2,94.0,.204,.329,.462,46.4,40.6,9.9,5.6,.437,12.7,27.3,.139
10,Arizona,/cbb/schools/arizona/men/2024.html,True,33,25,8,.758,25.34,9.64,15,5,15,1,7,4,2902,2384,73.3,117.8,.367,.326,.580,57.1,59.1,11.1,9.0,.550,13.7,36.3,.264,73.3,96.7,.257,.382,.515,42.9,52.6,9.4,8.6,.487,16.2,23.1,.183
11,Arizona State,/cbb/schools/arizona-state/men/2024.html,False,32,14,18,.438,4.87,9.84,8,12,10,5,3,8,2209,2368,70.6,97.5,.331,.377,.502,45.0,48.7,11.6,10.2,.473,13.2,21.9,.217,70.6,104.5,.312,.392,.546,55.0,57.6,8.2,7.2,.517,16.8,29.8,.221
12,Arkansas,/cbb/schools/arkansas/men/2024.html,False,33,16,17,.485,6.35,8.38,6,12,12,6,2,7,2566,2633,72.2,106.1,.453,.329,.556,48.7,45.1,8.2,15.0,.505,14.6,25.2,.342,72.2,108.9,.390,.341,.545,51.3,47.1,8.8,7.5,.504,13.1,29.9,.284
13,Arkansas State,/cbb/schools/arkansas-state/men/2024.html,False,34,18,16,.529,0.51,-1.08,11,7,10,3,5,11,2677,2623,70.0,112.0,.327,.435,.547,51.9,52.7,8.0,10.1,.517,13.6,33.9,.231,70.0,109.8,.357,.271,.547,48.1,40.7,10.1,12.0,.504,12.3,28.7,.272
14,Arkansas-Pine Bluff,/cbb/schools/arkansas-pine-bluff/men/2024.html,False,31,13,18,.419,-15.64,-7.68,8,10,8,6,5,12,2483,2536,74.3,107.8,.375,.493,.579,47.5,57.4,7.9,5.4,.539,16.1,24.3,.286,74.3,110.1,.327,.382,.546,52.5,55.7,9.6,11.3,.513,13.5,31.5,.235
