,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,overtimes,wins,losses,game_streak,arena,homeLink,game_location
18,/cbb/boxscores/2022-01-18-20-houston.html,"Tue, Jan 18, 2022",8:00p,REG,/cbb/schools/south-florida/men/2022.html,South Florida,/cbb/conferences/aac/men/2022.html,AAC,-3.05,W,74,55,,16,2,W 5,Fertitta Center,/cbb/schools/houston/men/2022.html,
19,/cbb/boxscores/2022-01-22-18-houston.html,"Sat, Jan 22, 2022",6:00p,REG,/cbb/schools/east-carolina/men/2022.html,East Carolina,/cbb/conferences/aac/men/2022.html,AAC,0.49,W,79,36,,17,2,W 6,Fertitta Center,/cbb/schools/houston/men/2022.html,
20,/cbb/boxscores/2022-01-29-20-central-florida.html,"Sat, Jan 29, 2022",8:00p,REG,/cbb/schools/central-florida/men/2022.html,UCF,/cbb/conferences/aac/men/2022.html,AAC,6.23,W,63,49,,18,2,W 7,Addition Financial Arena,/cbb/schools/houston/men/2022.html,@
21,/cbb/boxscores/2022-02-02-20-houston.html,"Wed, Feb 2, 2022",8:00p,REG,/cbb/schools/tulane/men/2022.html,Tulane,/cbb/conferences/aac/men/2022.html,AAC,6.74,W,73,62,,19,2,W 8,Fertitta Center,/cbb/schools/houston/men/2022.html,
22,/cbb/boxscores/2022-02-06-18-cincinnati.html,"Sun, Feb 6, 2022",6:00p,REG,/cbb/schools/cincinnati/men/2022.html,Cincinnati,/cbb/conferences/aac/men/2022.html,AAC,7.44,W,80,58,,20,2,W 9,Fifth Third Arena,/cbb/schools/houston/men/2022.html,@
23,/cbb/boxscores/2022-02-09-19-southern-methodist.html,"Wed, Feb 9, 2022",7:00p,REG,/cbb/schools/southern-methodist/men/2022.html,Southern Methodist,/cbb/conferences/aac/men/2022.html,AAC,11.14,L,83,85,,20,3,L 1,Moody Coliseum,/cbb/schools/houston/men/2022.html,@
24,/cbb/boxscores/2022-02-12-15-houston.html,"Sat, Feb 12, 2022",3:30p,REG,/cbb/schools/memphis/men/2022.html,Memphis,/cbb/conferences/aac/men/2022.html,AAC,14.67,L,59,69,,20,4,L 2,Fertitta Center,/cbb/schools/houston/men/2022.html,
25,/cbb/boxscores/2022-02-17-21-houston.html,"Thu, Feb 17, 2022",9:00p,REG,/cbb/schools/central-florida/men/2022.html,UCF,/cbb/conferences/aac/men/2022.html,AAC,6.23,W,70,52,,21,4,W 1,Fertitta Center,/cbb/schools/houston/men/2022.html,
26,/cbb/boxscores/2022-02-20-13-wichita-state.html,"Sun, Feb 20, 2022",1:00p,REG,/cbb/schools/wichita-state/men/2022.html,Wichita State,/cbb/conferences/aac/men/2022.html,AAC,8.11,W,76,74,2OT,22,4,W 2,Charles Koch Arena,/cbb/schools/houston/men/2022.html,@
27,/cbb/boxscores/2022-02-23-20-tulane.html,"Wed, Feb 23, 2022",8:00p,REG,/cbb/schools/tulane/men/2022.html,Tulane,/cbb/conferences/aac/men/2022.html,AAC,6.74,W,81,67,,23,4,W 3,Devlin Fieldhouse,/cbb/schools/houston/men/2022.html,@
28,/cbb/boxscores/2022-02-27-12-houston.html,"Sun, Feb 27, 2022",12:30p,REG,/cbb/schools/southern-methodist/men/2022.html,Southern Methodist,/cbb/conferences/aac/men/2022.html,AAC,11.14,W,75,61,,24,4,W 4,Fertitta Center,/cbb/schools/houston/men/2022.html,
29,/cbb/boxscores/2022-03-01-21-houston.html,"Tue, Mar 1, 2022",9:00p,REG,/cbb/schools/cincinnati/men/2022.html,Cincinnati,/cbb/conferences/aac/men/2022.html,AAC,7.44,W,71,53,,25,4,W 5,Fertitta Center,/cbb/schools/houston/men/2022.html,
30,/cbb/boxscores/2022-03-03-19-houston.html,"Thu, Mar 3, 2022",7:00p,REG,/cbb/schools/temple/men/2022.html,Temple,/cbb/conferences/aac/men/2022.html,AAC,4.61,W,84,46,,26,4,W 6,Fertitta Center,/cbb/schools/houston/men/2022.html,
31,/cbb/boxscores/2022-03-06-12-memphis.html,"Sun, Mar 6, 2022",12:00p,REG,/cbb/schools/memphis/men/2022.html,Memphis,/cbb/conferences/aac/men/2022.html,AAC,14.67,L,61,75,,26,5,L 1,FedExForum,/cbb/schools/houston/men/2022.html,@
32,/cbb/boxscores/2022-03-11-13-houston.html,"Fri, Mar 11, 2022",1:00p,CTOURN,/cbb/schools/cincinnati/men/2022.html,Cincinnati,/cbb/conferences/aac/men/2022.html,AAC,7.44,W,69,56,,27,5,W 1,Dickies Arena,/cbb/schools/houston/men/2022.html,N
33,/cbb/boxscores/2022-03-12-15-houston.html,"Sat, Mar 12, 2022",3:00p,CTOURN,/cbb/schools/tulane/men/2022.html,Tulane,/cbb/conferences/aac/men/2022.html,AAC,6.74,W,86,66,,28,5,W 2,Dickies Arena,/cbb/schools/houston/men/2022.html,N
34,/cbb/boxscores/2022-03-13-15-houston.html,"Sun, Mar 13, 2022",3:15p,CTOURN,/cbb/schools/memphis/men/2022.html,Memphis,/cbb/conferences/aac/men/2022.html,AAC,14.67,W,71,53,,29,5,W 3,Dickies Arena,/cbb/schools/houston/men/2022.html,N
35,/cbb/boxscores/2022-03-18-21-houston.html,"Fri, Mar 18, 2022",9:20p,NCAA,/cbb/schools/alabama-birmingham/men/2022.html,UAB,/cbb/conferences/cusa/men/2022.html,CUSA,10.90,W,82,68,,30,5,W 4,PPG Paints Arena,/cbb/schools/houston/men/2022.html,N
36,/cbb/boxscores/2022-03-20-12-illinois.html,"Sun, Mar 20, 2022",12:10p,NCAA,/cbb/schools/illinois/men/2022.html,Illinois,/cbb/conferences/big-ten/men/2022.html,Big Ten,16.69,W,68,53,,31,5,W 5,PPG Paints Arena,/cbb/schools/houston/men/2022.html,N
37,/cbb/boxscores/2022-03-24-21-arizona.html,"Thu, Mar 24, 2022",9:59p,NCAA,/cbb/schools/arizona/men/2022.html,Arizona,/cbb/conferences/pac-12/men/2022.html,Pac-12,22.75,W,72,60,,32,5,W 6,AT&T Center,/cbb/schools/houston/men/2022.html,N
38,/cbb/boxscores/2022-03-26-18-villanova.html,"Sat, Mar 26, 2022",6:09p,NCAA,/cbb/schools/villanova/men/2022.html,Villanova,/cbb/conferences/big-east/men/2022.html,Big East,19.31,L,44,50,,32,6,L 1,AT&T Center,/cbb/schools/houston/men/2022.html,N
