,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,overtimes,wins,losses,game_streak,arena,homeLink
0,/cbb/boxscores/2021-11-09-22-colorado.html,"Tue, Nov 9, 2021",10:00p,REG,@,/cbb/schools/colorado/men/2022.html,Colorado,/cbb/conferences/pac-12/men/2022.html,Pac-12,9.82,L,90,94,OT,0,1,L 1,CU Events Center,/cbb/schools/montana-state/men/2022.html
1,/cbb/boxscores/2021-11-14-16-montana-state.html,"Sun, Nov 14, 2021",4:00p,REG,,,Rocky Mountain,,,,W,81,52,,1,1,W 1,Worthington Arena,/cbb/schools/montana-state/men/2022.html
2,/cbb/boxscores/2021-11-17-20-south-dakota-state.html,"Wed, Nov 17, 2021",8:00p,REG,@,/cbb/schools/south-dakota-state/men/2022.html,South Dakota State,/cbb/conferences/summit/men/2022.html,Summit,6.60,L,74,91,,1,2,L 1,Frost Arena,/cbb/schools/montana-state/men/2022.html
3,/cbb/boxscores/2021-11-20-16-new-mexico.html,"Sat, Nov 20, 2021",4:00p,REG,@,/cbb/schools/new-mexico/men/2022.html,New Mexico,/cbb/conferences/mwc/men/2022.html,MWC,1.25,L,78,81,,1,3,L 2,The Pit,/cbb/schools/montana-state/men/2022.html
4,/cbb/boxscores/2021-11-26-15-montana-state.html,"Fri, Nov 26, 2021",3:00p,REG,N,/cbb/schools/portland/men/2022.html,Portland,/cbb/conferences/wcc/men/2022.html,WCC,-1.71,W,69,66,,2,3,W 1,McDermott Center,/cbb/schools/montana-state/men/2022.html
5,/cbb/boxscores/2021-11-27-12-incarnate-word.html,"Sat, Nov 27, 2021",12:30p,REG,@,/cbb/schools/incarnate-word/men/2022.html,Incarnate Word,/cbb/conferences/southland/men/2022.html,Southland,-17.03,W,83,64,,3,3,W 2,McDermott Center,/cbb/schools/montana-state/men/2022.html
6,/cbb/boxscores/2021-11-28-13-montana-state.html,"Sun, Nov 28, 2021",1:00p,REG,N,/cbb/schools/southeast-missouri-state/men/2022.html,Southeast Missouri State,/cbb/conferences/ovc/men/2022.html,OVC,-7.19,W,75,68,,4,3,W 3,McDermott Center,/cbb/schools/montana-state/men/2022.html
7,/cbb/boxscores/2021-12-02-20-northern-colorado.html,"Thu, Dec 2, 2021",8:00p,REG,@,/cbb/schools/northern-colorado/men/2022.html,Northern Colorado,/cbb/conferences/big-sky/men/2022.html,Big Sky,-4.53,L,75,77,OT,4,4,L 1,Bank of Colorado Arena,/cbb/schools/montana-state/men/2022.html
8,/cbb/boxscores/2021-12-04-16-sacramento-state.html,"Sat, Dec 4, 2021",4:00p,REG,@,/cbb/schools/sacramento-state/men/2022.html,Sacramento State,/cbb/conferences/big-sky/men/2022.html,Big Sky,-12.06,W,68,66,,5,4,W 1,The Nest,/cbb/schools/montana-state/men/2022.html
9,/cbb/boxscores/2021-12-07-21-montana-state.html,"Tue, Dec 7, 2021",9:00p,REG,,/cbb/schools/north-dakota-state/men/2022.html,North Dakota State,/cbb/conferences/summit/men/2022.html,Summit,-1.60,W,68,49,,6,4,W 2,Worthington Arena,/cbb/schools/montana-state/men/2022.html
10,/cbb/boxscores/2021-12-11-20-st-thomas-mn.html,"Sat, Dec 11, 2021",8:00p,REG,@,/cbb/schools/st-thomas-mn/men/2022.html,St. Thomas,/cbb/conferences/summit/men/2022.html,Summit,-11.15,W,72,65,,7,4,W 3,Schoenecker Arena,/cbb/schools/montana-state/men/2022.html
11,/cbb/boxscores/2021-12-19-16-montana-state.html,"Sun, Dec 19, 2021",4:00p,REG,,/cbb/schools/portland/men/2022.html,Portland,/cbb/conferences/wcc/men/2022.html,WCC,-1.71,W,61,59,,8,4,W 4,Worthington Arena,/cbb/schools/montana-state/men/2022.html
12,/cbb/boxscores/2021-12-22-21-montana-state.html,"Wed, Dec 22, 2021",9:00p,REG,,,SAGU Amer. Indian Coll.,,,,W,124,73,,9,4,W 5,Worthington Arena,/cbb/schools/montana-state/men/2022.html
