,boxScorelink,date,time_game,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,oppLink,confLink,srs
0,/cbb/boxscores/2021-11-09-19-wright-state.html,"Tue, Nov 9, 2021",7:00p,REG,Lake Erie,,W,86,53,1,0,W 1,Nutter Center,/cbb/schools/wright-state/men/2022.html,,,,
1,/cbb/boxscores/2021-11-12-19-marshall.html,"Fri, Nov 12, 2021",7:00p,REG,Marshall,CUSA,L,88,96,1,1,L 1,Cam Henderson Center,/cbb/schools/wright-state/men/2022.html,@,/cbb/schools/marshall/men/2022.html,/cbb/conferences/cusa/men/2022.html,-4.57
2,/cbb/boxscores/2021-11-16-19-purdue.html,"Tue, Nov 16, 2021",7:00p,REG,Purdue,Big Ten,L,52,96,1,2,L 2,Mackey Arena,/cbb/schools/wright-state/men/2022.html,@,/cbb/schools/purdue/men/2022.html,/cbb/conferences/big-ten/men/2022.html,19.15
3,/cbb/boxscores/2021-11-22-14-george-washington.html,"Mon, Nov 22, 2021",2:30p,REG,George Washington,A-10,L,63,74,1,3,L 3,Community School of Naples Field House,/cbb/schools/wright-state/men/2022.html,N,/cbb/schools/george-washington/men/2022.html,/cbb/conferences/atlantic-10/men/2022.html,-4.07
4,/cbb/boxscores/2021-11-23-12-wright-state.html,"Tue, Nov 23, 2021",12:00p,REG,James Madison,CAA,L,76,78,1,4,L 4,Community School of Naples Field House,/cbb/schools/wright-state/men/2022.html,N,/cbb/schools/james-madison/men/2022.html,/cbb/conferences/colonial/men/2022.html,-4.13
5,/cbb/boxscores/2021-11-24-12-long-beach-state.html,"Wed, Nov 24, 2021",12:00p,REG,Long Beach State,Big West,L,76,85,1,5,L 5,Community School of Naples Field House,/cbb/schools/wright-state/men/2022.html,N,/cbb/schools/long-beach-state/men/2022.html,/cbb/conferences/big-west/men/2022.html,-0.65
6,/cbb/boxscores/2021-12-02-19-ipfw.html,"Thu, Dec 2, 2021",7:00p,REG,Purdue Fort Wayne,Horizon,W,86,73,2,5,W 1,Allen County War Memorial Coliseum,/cbb/schools/wright-state/men/2022.html,@,/cbb/schools/ipfw/men/2022.html,/cbb/conferences/horizon/men/2022.html,-5.59
7,/cbb/boxscores/2021-12-04-15-cleveland-state.html,"Sat, Dec 4, 2021",3:00p,REG,Cleveland State,Horizon,L,75,85,2,6,L 1,Wolstein Center,/cbb/schools/wright-state/men/2022.html,@,/cbb/schools/cleveland-state/men/2022.html,/cbb/conferences/horizon/men/2022.html,-1.78
8,/cbb/boxscores/2021-12-15-19-wright-state.html,"Wed, Dec 15, 2021",7:00p,REG,Akron,MAC,L,48,66,2,7,L 2,Nutter Center,/cbb/schools/wright-state/men/2022.html,,/cbb/schools/akron/men/2022.html,/cbb/conferences/mac/men/2022.html,0.91
9,/cbb/boxscores/2021-12-18-14-wright-state.html,"Sat, Dec 18, 2021",2:00p,REG,Tennessee Tech,OVC,W,72,63,3,7,W 1,Nutter Center,/cbb/schools/wright-state/men/2022.html,,/cbb/schools/tennessee-tech/men/2022.html,/cbb/conferences/ovc/men/2022.html,-7.27
10,/cbb/boxscores/2021-12-21-19-north-carolina-state.html,"Tue, Dec 21, 2021",7:00p,REG,NC State,ACC,W,84,70,4,7,W 2,PNC Arena,/cbb/schools/wright-state/men/2022.html,@,/cbb/schools/north-carolina-state/men/2022.html,/cbb/conferences/acc/men/2022.html,3.77
11,/cbb/boxscores/2021-12-30-19-wright-state.html,"Thu, Dec 30, 2021",7:00p,REG,Milwaukee,Horizon,W,80,75,5,7,W 3,Nutter Center,/cbb/schools/wright-state/men/2022.html,,/cbb/schools/milwaukee/men/2022.html,/cbb/conferences/horizon/men/2022.html,-13.19
12,/cbb/boxscores/2022-01-01-14-wright-state.html,"Sat, Jan 1, 2022",2:00p,REG,Green Bay,Horizon,W,72,69,6,7,W 4,Nutter Center,/cbb/schools/wright-state/men/2022.html,,/cbb/schools/green-bay/men/2022.html,/cbb/conferences/horizon/men/2022.html,-13.89
13,/cbb/boxscores/2022-01-06-19-wright-state.html,"Thu, Jan 6, 2022",7:00p,REG,Illinois-Chicago,Horizon,W,90,72,7,7,W 5,Nutter Center,/cbb/schools/wright-state/men/2022.html,,/cbb/schools/illinois-chicago/men/2022.html,/cbb/conferences/horizon/men/2022.html,-8.78
14,/cbb/boxscores/2022-01-08-14-wright-state.html,"Sat, Jan 8, 2022",2:00p,REG,IUPUI,Horizon,W,72,58,8,7,W 6,Nutter Center,/cbb/schools/wright-state/men/2022.html,,/cbb/schools/iupui/men/2022.html,/cbb/conferences/horizon/men/2022.html,-23.61
