,school_name,link,Tourney,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_pace,opp_off_rtg,opp_fta_per_fga_pct,opp_fg3a_per_fga_pct,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_tov_pct,opp_orb_pct,opp_ft_rate
0,Abilene Christian,/cbb/schools/abilene-christian/men/2022.html,False,36,25,11,.694,2.25,-2.09,11,7,14,3,6,6,2761,2432,71.9,105.2,.382,.358,.541,48.2,56.9,14.9,6.3,.495,15.1,29.1,.288,71.9,92.7,.485,.405,.555,51.8,51.5,7.6,9.4,.507,25.6,29.6,.351
1,Air Force,/cbb/schools/air-force/men/2022.html,False,29,11,18,.379,-5.67,1.33,4,13,7,6,2,10,1712,1915,63.4,93.1,.268,.435,.528,44.6,57.7,8.6,9.1,.509,19.6,19.6,.174,63.4,104.1,.389,.333,.559,55.4,47.4,8.5,11.9,.515,17.9,29.4,.296
2,Akron,/cbb/schools/akron/men/2022.html,True,34,24,10,.706,0.91,-3.93,14,6,12,3,8,4,2402,2130,64.1,109.8,.390,.416,.563,53.0,47.9,9.1,9.2,.533,15.4,30.6,.268,64.1,97.3,.258,.354,.511,47.0,41.0,8.5,7.3,.482,16.1,25.7,.183
3,Alabama,/cbb/schools/alabama/men/2022.html,True,33,19,14,.576,14.62,11.59,9,9,13,3,3,7,2623,2523,73.2,108.1,.329,.476,.547,52.3,53.1,9.6,11.9,.513,16.7,35.3,.239,73.2,104.0,.348,.357,.534,47.7,46.3,10.6,11.3,.498,15.5,30.5,.249
4,Alabama A&M,/cbb/schools/alabama-am/men/2022.html,False,30,12,18,.400,-14.43,-8.86,10,8,7,3,4,14,1843,2010,68.3,88.5,.335,.249,.459,48.8,43.4,10.1,8.8,.412,16.8,28.7,.239,68.3,96.5,.286,.389,.494,51.2,56.4,10.8,6.6,.463,16.7,30.9,.196
5,Alabama State,/cbb/schools/alabama-state/men/2022.html,False,31,10,21,.323,-12.05,-5.45,8,10,7,6,3,15,2160,2332,71.4,96.7,.378,.330,.520,48.3,49.7,10.5,9.6,.481,18.7,29.7,.264,71.4,104.4,.339,.377,.539,51.7,53.6,10.7,10.2,.503,16.8,33.1,.245
6,Albany (NY),/cbb/schools/albany-ny/men/2022.html,False,31,13,18,.419,-9.80,-5.77,9,9,4,8,8,9,1917,2042,65.8,93.6,.250,.323,.492,48.4,40.9,10.2,7.5,.462,16.4,26.1,.176,65.8,99.7,.318,.386,.541,51.6,53.9,8.0,11.5,.507,18.3,27.2,.230
7,Alcorn State,/cbb/schools/alcorn-state/men/2022.html,False,34,17,17,.500,-8.68,-4.12,14,4,6,3,9,13,2262,2417,69.0,95.8,.324,.292,.494,51.1,43.1,10.7,7.6,.458,17.3,31.9,.224,69.0,102.3,.367,.357,.544,48.9,55.8,9.9,9.8,.507,16.8,27.8,.263
8,American,/cbb/schools/american/men/2022.html,False,32,10,22,.313,-15.38,-7.91,5,13,6,5,4,16,2031,2270,66.8,94.3,.256,.280,.521,48.1,49.9,9.7,8.3,.496,18.0,21.6,.177,66.8,105.4,.289,.342,.556,51.9,51.0,10.0,8.2,.533,15.2,24.8,.200
9,Appalachian State,/cbb/schools/appalachian-state/men/2022.html,False,34,19,15,.559,-1.45,-1.45,12,6,11,5,6,7,2281,2146,65.5,102.0,.273,.430,.513,50.4,51.9,8.5,7.1,.490,13.6,27.3,.180,65.5,96.0,.212,.381,.507,49.6,55.6,7.9,9.4,.478,16.1,25.0,.160
