,oppLink,pts,opp_pts,homeLink,team1_srs,team1_sos,team1_pace,team1_off_rtg,team1_fta_per_fga_pct,team1_fg3a_per_fga_pct,team1_ts_pct,team1_trb_pct,team1_ast_pct,team1_stl_pct,team1_blk_pct,team1_efg_pct,team1_tov_pct,team1_orb_pct,team1_ft_rate,team1_opp_pace,team1_opp_off_rtg,team1_opp_fta_per_fga_pct,team1_opp_fg3a_per_fga_pct,team1_opp_ts_pct,team1_opp_trb_pct,team1_opp_ast_pct,team1_opp_stl_pct,team1_opp_blk_pct,team1_opp_efg_pct,team1_opp_tov_pct,team1_opp_orb_pct,team1_opp_ft_rate,team2_srs,team2_sos,team2_pace,team2_off_rtg,team2_fta_per_fga_pct,team2_fg3a_per_fga_pct,team2_ts_pct,team2_trb_pct,team2_ast_pct,team2_stl_pct,team2_blk_pct,team2_efg_pct,team2_tov_pct,team2_orb_pct,team2_ft_rate,team2_opp_pace,team2_opp_off_rtg,team2_opp_fta_per_fga_pct,team2_opp_fg3a_per_fga_pct,team2_opp_ts_pct,team2_opp_trb_pct,team2_opp_ast_pct,team2_opp_stl_pct,team2_opp_blk_pct,team2_opp_efg_pct,team2_opp_tov_pct,team2_opp_orb_pct,team2_opp_ft_rate,pts_diff
0,/cbb/schools/mount-st-marys/men/2014.html,71,64,/cbb/schools/albany-ny/men/2014.html,-3.31,-5.22,63.1,103.3,0.42,0.261,0.539,52.5,49.2,8.5,8.6,0.488,17.1,31.9,0.315,63.1,100.3,0.291,0.366,0.517,47.5,54.1,9.1,8.0,0.483,15.9,28.3,0.21,-6.32,-4.44,70.0,107.5,0.367,0.434,0.554,46.6,46.1,10.0,6.7,0.515,14.7,27.8,0.271,70.0,110.2,0.345,0.239,0.569,53.4,45.3,8.2,8.3,0.535,16.3,33.0,0.253,7
1,/cbb/schools/florida/men/2014.html,55,67,/cbb/schools/albany-ny/men/2014.html,-3.31,-5.22,63.1,103.3,0.42,0.261,0.539,52.5,49.2,8.5,8.6,0.488,17.1,31.9,0.315,63.1,100.3,0.291,0.366,0.517,47.5,54.1,9.1,8.0,0.483,15.9,28.3,0.21,20.69,8.54,62.7,111.1,0.424,0.346,0.552,53.8,53.9,11.2,8.6,0.522,14.5,34.7,0.283,62.7,91.8,0.312,0.313,0.489,46.2,47.9,8.9,8.9,0.454,18.6,28.1,0.217,-12
2,/cbb/schools/wisconsin/men/2014.html,35,75,/cbb/schools/american/men/2014.html,0.69,-3.25,60.7,103.4,0.35,0.358,0.584,50.6,65.8,9.8,9.9,0.558,20.7,26.5,0.248,60.7,97.0,0.407,0.312,0.504,49.4,50.1,11.6,8.1,0.464,17.0,29.7,0.276,19.69,10.19,63.3,115.7,0.426,0.391,0.575,51.1,50.5,7.6,8.0,0.533,11.2,28.1,0.318,63.3,100.7,0.271,0.253,0.505,48.9,39.8,6.7,8.5,0.472,13.3,27.4,0.196,-40
3,/cbb/schools/weber-state/men/2014.html,68,59,/cbb/schools/arizona/men/2014.html,23.36,9.04,64.1,112.3,0.41,0.264,0.546,55.1,57.6,9.0,11.5,0.517,13.2,36.4,0.27,64.1,90.2,0.342,0.265,0.469,44.9,44.7,7.2,7.6,0.423,16.6,27.3,0.245,-0.92,-4.23,64.3,111.3,0.498,0.367,0.592,52.5,55.6,6.5,9.0,0.547,16.7,28.9,0.369,64.3,101.8,0.34,0.229,0.503,47.5,47.1,8.0,6.5,0.465,12.4,28.0,0.239,9
4,/cbb/schools/gonzaga/men/2014.html,84,61,/cbb/schools/arizona/men/2014.html,23.36,9.04,64.1,112.3,0.41,0.264,0.546,55.1,57.6,9.0,11.5,0.517,13.2,36.4,0.27,64.1,90.2,0.342,0.265,0.469,44.9,44.7,7.2,7.6,0.423,16.6,27.3,0.245,15.56,5.36,67.2,114.1,0.404,0.328,0.59,52.3,54.0,9.7,10.2,0.56,15.2,30.6,0.286,67.2,98.1,0.387,0.315,0.494,47.7,47.1,8.7,8.5,0.448,15.0,29.6,0.275,23
5,/cbb/schools/san-diego-state/men/2014.html,70,64,/cbb/schools/arizona/men/2014.html,23.36,9.04,64.1,112.3,0.41,0.264,0.546,55.1,57.6,9.0,11.5,0.517,13.2,36.4,0.27,64.1,90.2,0.342,0.265,0.469,44.9,44.7,7.2,7.6,0.423,16.6,27.3,0.245,14.95,4.86,63.9,109.2,0.449,0.258,0.519,53.6,40.8,11.8,14.1,0.481,12.7,36.7,0.298,63.9,88.5,0.319,0.317,0.468,46.4,48.6,6.6,10.1,0.431,18.3,29.3,0.215,6
6,/cbb/schools/wisconsin/men/2014.html,63,64,/cbb/schools/arizona/men/2014.html,23.36,9.04,64.1,112.3,0.41,0.264,0.546,55.1,57.6,9.0,11.5,0.517,13.2,36.4,0.27,64.1,90.2,0.342,0.265,0.469,44.9,44.7,7.2,7.6,0.423,16.6,27.3,0.245,19.69,10.19,63.3,115.7,0.426,0.391,0.575,51.1,50.5,7.6,8.0,0.533,11.2,28.1,0.318,63.3,100.7,0.271,0.253,0.505,48.9,39.8,6.7,8.5,0.472,13.3,27.4,0.196,-1
7,/cbb/schools/texas/men/2014.html,85,87,/cbb/schools/arizona-state/men/2014.html,13.32,7.41,69.0,107.2,0.425,0.371,0.558,48.4,56.3,7.2,12.8,0.524,14.5,24.5,0.295,69.0,98.8,0.373,0.273,0.496,51.6,47.1,7.9,11.6,0.463,14.6,30.2,0.242,12.67,9.15,69.1,107.0,0.434,0.26,0.514,54.6,49.9,8.2,15.8,0.474,14.4,39.6,0.291,69.1,101.9,0.41,0.36,0.508,45.4,54.3,9.1,7.9,0.465,14.0,30.2,0.283,-2
8,/cbb/schools/nebraska/men/2014.html,74,60,/cbb/schools/baylor/men/2014.html,15.8,10.11,64.2,115.1,0.45,0.344,0.556,54.8,58.7,8.0,14.0,0.521,14.7,40.6,0.306,64.2,104.3,0.316,0.335,0.514,45.2,61.1,8.2,7.8,0.485,13.6,31.7,0.213,10.13,8.5,65.4,102.1,0.423,0.335,0.528,48.6,42.3,10.6,9.3,0.483,14.7,25.7,0.303,65.4,99.7,0.448,0.356,0.518,51.4,50.9,8.0,9.0,0.476,16.5,29.0,0.306,14
9,/cbb/schools/creighton/men/2014.html,85,55,/cbb/schools/baylor/men/2014.html,15.8,10.11,64.2,115.1,0.45,0.344,0.556,54.8,58.7,8.0,14.0,0.521,14.7,40.6,0.306,64.2,104.3,0.316,0.335,0.514,45.2,61.1,8.2,7.8,0.485,13.6,31.7,0.213,18.03,7.17,65.3,120.6,0.339,0.446,0.616,51.7,64.2,6.1,3.8,0.589,13.3,27.7,0.252,65.3,104.0,0.33,0.345,0.518,48.3,50.7,7.4,9.2,0.485,12.8,27.8,0.229,30
