,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,overtimes,wins,losses,game_streak,arena,homeLink,game_location
0,/cbb/boxscores/2013-11-08-providence.html,"Fri, Nov 8, 2013",REG,/cbb/schools/boston-college/men/2014.html,Boston College,/cbb/conferences/acc/men/2014.html,ACC,3.01,W,82,78,OT,1,0,W 1,Dunkin Donuts Center,/cbb/schools/providence/men/2014.html,
1,/cbb/boxscores/2013-11-13-providence.html,"Wed, Nov 13, 2013",REG,/cbb/schools/brown/men/2014.html,Brown,/cbb/conferences/ivy/men/2014.html,Ivy,-1.44,W,73,69,,2,0,W 2,Dunkin Donuts Center,/cbb/schools/providence/men/2014.html,
2,/cbb/boxscores/2013-11-16-providence.html,"Sat, Nov 16, 2013",REG,/cbb/schools/marist/men/2014.html,Marist,/cbb/conferences/maac/men/2014.html,MAAC,-4.94,W,93,48,,3,0,W 3,Dunkin Donuts Center,/cbb/schools/providence/men/2014.html,
3,/cbb/boxscores/2013-11-18-providence.html,"Mon, Nov 18, 2013",REG,/cbb/schools/vermont/men/2014.html,Vermont,/cbb/conferences/america-east/men/2014.html,AEC,4.52,W,70,49,,4,0,W 4,Dunkin Donuts Center,/cbb/schools/providence/men/2014.html,
4,/cbb/boxscores/2013-11-22-providence.html,"Fri, Nov 22, 2013",REG,/cbb/schools/vanderbilt/men/2014.html,Vanderbilt,/cbb/conferences/sec/men/2014.html,SEC,5.52,W,67,60,,5,0,W 5,Virgin Islands Sport & Fitness Center,/cbb/schools/providence/men/2014.html,N
5,/cbb/boxscores/2013-11-24-la-salle.html,"Sun, Nov 24, 2013",REG,/cbb/schools/la-salle/men/2014.html,La Salle,/cbb/conferences/atlantic-10/men/2014.html,A-10,4.10,W,71,63,,6,0,W 6,Virgin Islands Sport & Fitness Center,/cbb/schools/providence/men/2014.html,N
6,/cbb/boxscores/2013-11-25-maryland.html,"Mon, Nov 25, 2013",REG,/cbb/schools/maryland/men/2014.html,Maryland,/cbb/conferences/acc/men/2014.html,ACC,11.33,L,52,56,,6,1,L 1,Virgin Islands Sport & Fitness Center,/cbb/schools/providence/men/2014.html,N
7,/cbb/boxscores/2013-11-29-providence.html,"Fri, Nov 29, 2013",REG,/cbb/schools/fairfield/men/2014.html,Fairfield,/cbb/conferences/maac/men/2014.html,MAAC,-7.37,W,78,69,,7,1,W 1,Dunkin Donuts Center,/cbb/schools/providence/men/2014.html,
8,/cbb/boxscores/2013-12-01-kentucky.html,"Sun, Dec 1, 2013",REG,/cbb/schools/kentucky/men/2014.html,Kentucky,/cbb/conferences/sec/men/2014.html,SEC,18.07,L,65,79,,7,2,L 1,Barclays Center,/cbb/schools/providence/men/2014.html,N
9,/cbb/boxscores/2013-12-05-rhode-island.html,"Thu, Dec 5, 2013",REG,/cbb/schools/rhode-island/men/2014.html,Rhode Island,/cbb/conferences/atlantic-10/men/2014.html,A-10,2.87,W,50,49,,8,2,W 1,Thomas M. Ryan Center,/cbb/schools/providence/men/2014.html,@
10,/cbb/boxscores/2013-12-17-providence.html,"Tue, Dec 17, 2013",REG,/cbb/schools/yale/men/2014.html,Yale,/cbb/conferences/ivy/men/2014.html,Ivy,-1.66,W,76,74,,9,2,W 2,Dunkin Donuts Center,/cbb/schools/providence/men/2014.html,
11,/cbb/boxscores/2013-12-21-providence.html,"Sat, Dec 21, 2013",REG,/cbb/schools/maine/men/2014.html,Maine,/cbb/conferences/america-east/men/2014.html,AEC,-17.58,W,94,70,,10,2,W 3,Dunkin Donuts Center,/cbb/schools/providence/men/2014.html,
12,/cbb/boxscores/2013-12-28-massachusetts.html,"Sat, Dec 28, 2013",REG,/cbb/schools/massachusetts/men/2014.html,Massachusetts,/cbb/conferences/atlantic-10/men/2014.html,A-10,10.61,L,67,69,OT,10,3,L 1,Mullins Center,/cbb/schools/providence/men/2014.html,@
