,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,homeLink,arena,overtimes
0,/cbb/boxscores/2013-11-08-baylor.html,"Fri, Nov 8, 2013",REG,N,/cbb/schools/baylor/men/2014.html,Baylor,/cbb/conferences/big-12/men/2014.html,Big 12,15.80,L,60,72,0,1,L 1,/cbb/schools/colorado/men/2014.html,,
1,/cbb/boxscores/2013-11-10-colorado.html,"Sun, Nov 10, 2013",REG,,/cbb/schools/tennessee-martin/men/2014.html,Tennessee-Martin,/cbb/conferences/ovc/men/2014.html,OVC,-13.45,W,91,65,1,1,W 1,/cbb/schools/colorado/men/2014.html,CU Events Center,
2,/cbb/boxscores/2013-11-13-colorado.html,"Wed, Nov 13, 2013",REG,,/cbb/schools/wyoming/men/2014.html,Wyoming,/cbb/conferences/mwc/men/2014.html,MWC,4.40,W,63,58,2,1,W 2,/cbb/schools/colorado/men/2014.html,CU Events Center,
3,/cbb/boxscores/2013-11-16-colorado.html,"Sat, Nov 16, 2013",REG,,/cbb/schools/jackson-state/men/2014.html,Jackson State,/cbb/conferences/swac/men/2014.html,SWAC,-11.62,W,94,70,3,1,W 3,/cbb/schools/colorado/men/2014.html,CU Events Center,
4,/cbb/boxscores/2013-11-18-colorado.html,"Mon, Nov 18, 2013",REG,,/cbb/schools/arkansas-state/men/2014.html,Arkansas State,/cbb/conferences/sun-belt/men/2014.html,Sun Belt,-0.44,W,93,70,4,1,W 4,/cbb/schools/colorado/men/2014.html,CU Events Center,
5,/cbb/boxscores/2013-11-21-colorado.html,"Thu, Nov 21, 2013",REG,,/cbb/schools/california-santa-barbara/men/2014.html,UC Santa Barbara,/cbb/conferences/big-west/men/2014.html,Big West,4.23,W,76,68,5,1,W 5,/cbb/schools/colorado/men/2014.html,CU Events Center,
6,/cbb/boxscores/2013-11-24-colorado.html,"Sun, Nov 24, 2013",REG,,/cbb/schools/harvard/men/2014.html,Harvard,/cbb/conferences/ivy/men/2014.html,Ivy,10.79,W,70,62,6,1,W 6,/cbb/schools/colorado/men/2014.html,CU Events Center,
7,/cbb/boxscores/2013-11-30-air-force.html,"Sat, Nov 30, 2013",REG,@,/cbb/schools/air-force/men/2014.html,Air Force,/cbb/conferences/mwc/men/2014.html,MWC,-4.08,W,81,57,7,1,W 7,/cbb/schools/colorado/men/2014.html,Clune Arena,
8,/cbb/boxscores/2013-12-03-colorado-state.html,"Tue, Dec 3, 2013",REG,@,/cbb/schools/colorado-state/men/2014.html,Colorado State,/cbb/conferences/mwc/men/2014.html,MWC,3.29,W,67,62,8,1,W 8,/cbb/schools/colorado/men/2014.html,Moby Arena,
9,/cbb/boxscores/2013-12-07-colorado.html,"Sat, Dec 7, 2013",REG,,/cbb/schools/kansas/men/2014.html,Kansas,/cbb/conferences/big-12/men/2014.html,Big 12,20.25,W,75,72,9,1,W 9,/cbb/schools/colorado/men/2014.html,CU Events Center,
10,/cbb/boxscores/2013-12-13-colorado.html,"Fri, Dec 13, 2013",REG,,/cbb/schools/elon/men/2014.html,Elon,/cbb/conferences/southern/men/2014.html,Southern,-4.02,W,80,63,10,1,W 10,/cbb/schools/colorado/men/2014.html,CU Events Center,
11,/cbb/boxscores/2013-12-21-colorado.html,"Sat, Dec 21, 2013",REG,N,/cbb/schools/oklahoma-state/men/2014.html,Oklahoma State,/cbb/conferences/big-12/men/2014.html,Big 12,19.02,L,73,78,10,2,L 1,/cbb/schools/colorado/men/2014.html,South Point Arena,
12,/cbb/boxscores/2013-12-28-colorado.html,"Sat, Dec 28, 2013",REG,,/cbb/schools/georgia/men/2014.html,Georgia,/cbb/conferences/sec/men/2014.html,SEC,7.90,W,84,70,11,2,W 1,/cbb/schools/colorado/men/2014.html,CU Events Center,
13,/cbb/boxscores/2014-01-02-colorado.html,"Thu, Jan 2, 2014",REG,,/cbb/schools/oregon-state/men/2014.html,Oregon State,/cbb/conferences/pac-12/men/2014.html,Pac-12,6.03,W,64,58,12,2,W 2,/cbb/schools/colorado/men/2014.html,CU Events Center,
14,/cbb/boxscores/2014-01-05-colorado.html,"Sun, Jan 5, 2014",REG,,/cbb/schools/oregon/men/2014.html,Oregon,/cbb/conferences/pac-12/men/2014.html,Pac-12,15.75,W,100,91,13,2,W 3,/cbb/schools/colorado/men/2014.html,CU Events Center,
15,/cbb/boxscores/2014-01-08-washington-state.html,"Wed, Jan 8, 2014",REG,@,/cbb/schools/washington-state/men/2014.html,Washington State,/cbb/conferences/pac-12/men/2014.html,Pac-12,1.34,W,71,70,14,2,W 4,/cbb/schools/colorado/men/2014.html,Friel Court at Beasley Coliseum,OT
16,/cbb/boxscores/2014-01-12-washington.html,"Sun, Jan 12, 2014",REG,@,/cbb/schools/washington/men/2014.html,Washington,/cbb/conferences/pac-12/men/2014.html,Pac-12,6.26,L,54,71,14,3,L 1,/cbb/schools/colorado/men/2014.html,Alaska Airlines Arena,
17,/cbb/boxscores/2014-01-16-colorado.html,"Thu, Jan 16, 2014",REG,,/cbb/schools/ucla/men/2014.html,UCLA,/cbb/conferences/pac-12/men/2014.html,Pac-12,18.40,L,56,69,14,4,L 2,/cbb/schools/colorado/men/2014.html,CU Events Center,
18,/cbb/boxscores/2014-01-18-colorado.html,"Sat, Jan 18, 2014",REG,,/cbb/schools/southern-california/men/2014.html,Southern California,/cbb/conferences/pac-12/men/2014.html,Pac-12,2.60,W,83,62,15,4,W 1,/cbb/schools/colorado/men/2014.html,CU Events Center,
19,/cbb/boxscores/2014-01-23-arizona.html,"Thu, Jan 23, 2014",REG,@,/cbb/schools/arizona/men/2014.html,Arizona,/cbb/conferences/pac-12/men/2014.html,Pac-12,23.36,L,57,69,15,5,L 1,/cbb/schools/colorado/men/2014.html,McKale Center,
20,/cbb/boxscores/2014-01-25-arizona-state.html,"Sat, Jan 25, 2014",REG,@,/cbb/schools/arizona-state/men/2014.html,Arizona State,/cbb/conferences/pac-12/men/2014.html,Pac-12,13.32,L,51,72,15,6,L 2,/cbb/schools/colorado/men/2014.html,Wells Fargo Arena,
21,/cbb/boxscores/2014-02-01-colorado.html,"Sat, Feb 1, 2014",REG,,/cbb/schools/utah/men/2014.html,Utah,/cbb/conferences/pac-12/men/2014.html,Pac-12,12.66,W,79,75,16,6,W 1,/cbb/schools/colorado/men/2014.html,CU Events Center,OT
22,/cbb/boxscores/2014-02-05-colorado.html,"Wed, Feb 5, 2014",REG,,/cbb/schools/washington-state/men/2014.html,Washington State,/cbb/conferences/pac-12/men/2014.html,Pac-12,1.34,W,68,63,17,6,W 2,/cbb/schools/colorado/men/2014.html,CU Events Center,
23,/cbb/boxscores/2014-02-09-colorado.html,"Sun, Feb 9, 2014",REG,,/cbb/schools/washington/men/2014.html,Washington,/cbb/conferences/pac-12/men/2014.html,Pac-12,6.26,W,91,65,18,6,W 3,/cbb/schools/colorado/men/2014.html,CU Events Center,
24,/cbb/boxscores/2014-02-13-ucla.html,"Thu, Feb 13, 2014",REG,@,/cbb/schools/ucla/men/2014.html,UCLA,/cbb/conferences/pac-12/men/2014.html,Pac-12,18.40,L,74,92,18,7,L 1,/cbb/schools/colorado/men/2014.html,Pauley Pavilion,
25,/cbb/boxscores/2014-02-16-southern-california.html,"Sun, Feb 16, 2014",REG,@,/cbb/schools/southern-california/men/2014.html,Southern California,/cbb/conferences/pac-12/men/2014.html,Pac-12,2.60,W,83,74,19,7,W 1,/cbb/schools/colorado/men/2014.html,Galen Center,
26,/cbb/boxscores/2014-02-19-colorado.html,"Wed, Feb 19, 2014",REG,,/cbb/schools/arizona-state/men/2014.html,Arizona State,/cbb/conferences/pac-12/men/2014.html,Pac-12,13.32,W,61,52,20,7,W 2,/cbb/schools/colorado/men/2014.html,CU Events Center,
27,/cbb/boxscores/2014-02-22-colorado.html,"Sat, Feb 22, 2014",REG,,/cbb/schools/arizona/men/2014.html,Arizona,/cbb/conferences/pac-12/men/2014.html,Pac-12,23.36,L,61,88,20,8,L 1,/cbb/schools/colorado/men/2014.html,CU Events Center,
28,/cbb/boxscores/2014-03-01-utah.html,"Sat, Mar 1, 2014",REG,@,/cbb/schools/utah/men/2014.html,Utah,/cbb/conferences/pac-12/men/2014.html,Pac-12,12.66,L,64,75,20,9,L 2,/cbb/schools/colorado/men/2014.html,Jon M. Huntsman Center,
29,/cbb/boxscores/2014-03-05-stanford.html,"Wed, Mar 5, 2014",REG,@,/cbb/schools/stanford/men/2014.html,Stanford,/cbb/conferences/pac-12/men/2014.html,Pac-12,13.42,W,59,56,21,9,W 1,/cbb/schools/colorado/men/2014.html,Maples Pavilion,
30,/cbb/boxscores/2014-03-08-california.html,"Sat, Mar 8, 2014",REG,@,/cbb/schools/california/men/2014.html,California,/cbb/conferences/pac-12/men/2014.html,Pac-12,10.70,L,65,66,21,10,L 1,/cbb/schools/colorado/men/2014.html,Haas Pavilion,OT
31,/cbb/boxscores/2014-03-12-colorado.html,"Wed, Mar 12, 2014",CTOURN,N,/cbb/schools/southern-california/men/2014.html,Southern California,/cbb/conferences/pac-12/men/2014.html,Pac-12,2.60,W,59,56,22,10,W 1,/cbb/schools/colorado/men/2014.html,MGM Grand Garden Arena,
32,/cbb/boxscores/2014-03-13-california.html,"Thu, Mar 13, 2014",CTOURN,N,/cbb/schools/california/men/2014.html,California,/cbb/conferences/pac-12/men/2014.html,Pac-12,10.70,W,59,56,23,10,W 2,/cbb/schools/colorado/men/2014.html,MGM Grand Garden Arena,
