,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,overtimes,wins,losses,game_streak,arena,homeLink
0,/cbb/boxscores/2013-11-09-la-salle.html,"Sat, Nov 9, 2013",REG,@,/cbb/schools/la-salle/men/2014.html,La Salle,/cbb/conferences/atlantic-10/men/2014.html,A-10,4.10,W,99,90,2OT,1,0,W 1,Tom Gola Arena,/cbb/schools/manhattan/men/2014.html
1,/cbb/boxscores/2013-11-12-columbia.html,"Tue, Nov 12, 2013",REG,@,/cbb/schools/columbia/men/2014.html,Columbia,/cbb/conferences/ivy/men/2014.html,Ivy,2.21,W,71,70,,2,0,W 2,Levien Gymnasium,/cbb/schools/manhattan/men/2014.html
2,/cbb/boxscores/2013-11-16-manhattan.html,"Sat, Nov 16, 2013",REG,,/cbb/schools/george-washington/men/2014.html,George Washington,/cbb/conferences/atlantic-10/men/2014.html,A-10,10.60,L,74,80,,2,1,L 1,Draddy Gymnasium,/cbb/schools/manhattan/men/2014.html
3,/cbb/boxscores/2013-11-20-illinois-state.html,"Wed, Nov 20, 2013",REG,@,/cbb/schools/illinois-state/men/2014.html,Illinois State,/cbb/conferences/mvc/men/2014.html,MVC,1.08,W,79,70,,3,1,W 1,Redbird Arena,/cbb/schools/manhattan/men/2014.html
4,/cbb/boxscores/2013-11-26-manhattan.html,"Tue, Nov 26, 2013",REG,,/cbb/schools/fordham/men/2014.html,Fordham,/cbb/conferences/atlantic-10/men/2014.html,A-10,-3.16,L,75,79,,3,2,L 1,Draddy Gymnasium,/cbb/schools/manhattan/men/2014.html
5,/cbb/boxscores/2013-11-30-hofstra.html,"Sat, Nov 30, 2013",REG,@,/cbb/schools/hofstra/men/2014.html,Hofstra,/cbb/conferences/colonial/men/2014.html,CAA,-6.56,W,66,59,,4,2,W 1,Mack Sports Complex,/cbb/schools/manhattan/men/2014.html
6,/cbb/boxscores/2013-12-06-marist.html,"Fri, Dec 6, 2013",REG,@,/cbb/schools/marist/men/2014.html,Marist,/cbb/conferences/maac/men/2014.html,MAAC,-4.94,W,70,59,,5,2,W 2,McCann Arena,/cbb/schools/manhattan/men/2014.html
7,/cbb/boxscores/2013-12-08-manhattan.html,"Sun, Dec 8, 2013",REG,,/cbb/schools/monmouth/men/2014.html,Monmouth,/cbb/conferences/maac/men/2014.html,MAAC,-6.96,W,75,66,,6,2,W 3,Draddy Gymnasium,/cbb/schools/manhattan/men/2014.html
8,/cbb/boxscores/2013-12-15-north-carolina-wilmington.html,"Sun, Dec 15, 2013",REG,@,/cbb/schools/north-carolina-wilmington/men/2014.html,UNC Wilmington,/cbb/conferences/colonial/men/2014.html,CAA,-8.75,W,77,72,,7,2,W 4,Trask Coliseum,/cbb/schools/manhattan/men/2014.html
9,/cbb/boxscores/2013-12-17-south-carolina.html,"Tue, Dec 17, 2013",REG,@,/cbb/schools/south-carolina/men/2014.html,South Carolina,/cbb/conferences/sec/men/2014.html,SEC,5.41,W,86,68,,8,2,W 5,Colonial Life Arena,/cbb/schools/manhattan/men/2014.html
