,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,homeLink,arena,overtimes
11,/cbb/boxscores/2013-12-30-baylor.html,"Mon, Dec 30, 2013",REG,,/cbb/schools/oral-roberts/men/2014.html,Oral Roberts,/cbb/conferences/southland/men/2014.html,Southland,-2.94,W,81,55,11,1,W 5,/cbb/schools/baylor/men/2014.html,Ferrell Center,
12,/cbb/boxscores/2014-01-03-baylor.html,"Fri, Jan 3, 2014",REG,,/cbb/schools/savannah-state/men/2014.html,Savannah State,/cbb/conferences/meac/men/2014.html,MEAC,-9.57,W,80,50,12,1,W 6,/cbb/schools/baylor/men/2014.html,Ferrell Center,
13,/cbb/boxscores/2014-01-07-iowa-state.html,"Tue, Jan 7, 2014",REG,@,/cbb/schools/iowa-state/men/2014.html,Iowa State,/cbb/conferences/big-12/men/2014.html,Big 12,18.52,L,72,87,12,2,L 1,/cbb/schools/baylor/men/2014.html,James H. Hilton Coliseum,
14,/cbb/boxscores/2014-01-11-baylor.html,"Sat, Jan 11, 2014",REG,,/cbb/schools/texas-christian/men/2014.html,TCU,/cbb/conferences/big-12/men/2014.html,Big 12,-1.33,W,88,62,13,2,W 1,/cbb/schools/baylor/men/2014.html,Ferrell Center,
15,/cbb/boxscores/2014-01-15-texas-tech.html,"Wed, Jan 15, 2014",REG,@,/cbb/schools/texas-tech/men/2014.html,Texas Tech,/cbb/conferences/big-12/men/2014.html,Big 12,8.61,L,72,82,13,3,L 1,/cbb/schools/baylor/men/2014.html,United Spirit Arena,
16,/cbb/boxscores/2014-01-18-baylor.html,"Sat, Jan 18, 2014",REG,,/cbb/schools/oklahoma/men/2014.html,Oklahoma,/cbb/conferences/big-12/men/2014.html,Big 12,14.91,L,64,66,13,4,L 2,/cbb/schools/baylor/men/2014.html,Ferrell Center,
17,/cbb/boxscores/2014-01-20-kansas.html,"Mon, Jan 20, 2014",REG,@,/cbb/schools/kansas/men/2014.html,Kansas,/cbb/conferences/big-12/men/2014.html,Big 12,20.25,L,68,78,13,5,L 3,/cbb/schools/baylor/men/2014.html,Allen Fieldhouse,
18,/cbb/boxscores/2014-01-25-baylor.html,"Sat, Jan 25, 2014",REG,,/cbb/schools/texas/men/2014.html,Texas,/cbb/conferences/big-12/men/2014.html,Big 12,12.67,L,60,74,13,6,L 4,/cbb/schools/baylor/men/2014.html,Ferrell Center,
19,/cbb/boxscores/2014-01-28-baylor.html,"Tue, Jan 28, 2014",REG,,/cbb/schools/west-virginia/men/2014.html,West Virginia,/cbb/conferences/big-12/men/2014.html,Big 12,11.78,L,64,66,13,7,L 5,/cbb/schools/baylor/men/2014.html,Ferrell Center,
20,/cbb/boxscores/2014-02-01-oklahoma-state.html,"Sat, Feb 1, 2014",REG,@,/cbb/schools/oklahoma-state/men/2014.html,Oklahoma State,/cbb/conferences/big-12/men/2014.html,Big 12,19.02,W,76,70,14,7,W 1,/cbb/schools/baylor/men/2014.html,Gallagher-Iba Arena,
