,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location
18,/cbb/boxscores/2011-01-22-old-dominion.html,"Sat, Jan 22, 2011",REG,/cbb/schools/virginia-commonwealth/men/2011.html,Virginia Commonwealth,/cbb/conferences/colonial/men/2011.html,CAA,8.56,L,50,59,14,5,L 1,Ted Constant Convocaation Center,/cbb/schools/old-dominion/men/2011.html,
19,/cbb/boxscores/2011-01-24-old-dominion.html,"Mon, Jan 24, 2011",REG,/cbb/schools/north-carolina-wilmington/men/2011.html,UNC Wilmington,/cbb/conferences/colonial/men/2011.html,CAA,-3.41,W,58,43,15,5,W 1,Ted Constant Convocaation Center,/cbb/schools/old-dominion/men/2011.html,
20,/cbb/boxscores/2011-01-26-georgia-state.html,"Wed, Jan 26, 2011",REG,/cbb/schools/georgia-state/men/2011.html,Georgia State,/cbb/conferences/colonial/men/2011.html,CAA,-4.15,W,51,48,16,5,W 2,GSU Sports Arena,/cbb/schools/old-dominion/men/2011.html,@
21,/cbb/boxscores/2011-01-29-old-dominion.html,"Sat, Jan 29, 2011",REG,/cbb/schools/towson/men/2011.html,Towson,/cbb/conferences/colonial/men/2011.html,CAA,-8.06,W,80,57,17,5,W 3,Ted Constant Convocaation Center,/cbb/schools/old-dominion/men/2011.html,
22,/cbb/boxscores/2011-02-02-old-dominion.html,"Wed, Feb 2, 2011",REG,/cbb/schools/delaware/men/2011.html,Delaware,/cbb/conferences/colonial/men/2011.html,CAA,-3.79,W,67,59,18,5,W 4,Ted Constant Convocaation Center,/cbb/schools/old-dominion/men/2011.html,
23,/cbb/boxscores/2011-02-05-george-mason.html,"Sat, Feb 5, 2011",REG,/cbb/schools/george-mason/men/2011.html,George Mason,/cbb/conferences/colonial/men/2011.html,CAA,11.66,L,45,62,18,6,L 1,Patriot Center,/cbb/schools/old-dominion/men/2011.html,@
24,/cbb/boxscores/2011-02-09-william-mary.html,"Wed, Feb 9, 2011",REG,/cbb/schools/william-mary/men/2011.html,William & Mary,/cbb/conferences/colonial/men/2011.html,CAA,-4.38,W,69,53,19,6,W 1,Kaplan Arena at William and Mary Hall,/cbb/schools/old-dominion/men/2011.html,@
25,/cbb/boxscores/2011-02-12-virginia-commonwealth.html,"Sat, Feb 12, 2011",REG,/cbb/schools/virginia-commonwealth/men/2011.html,Virginia Commonwealth,/cbb/conferences/colonial/men/2011.html,CAA,8.56,W,70,59,20,6,W 2,Alltel Pavilion at the Stuart C. Siegel Center,/cbb/schools/old-dominion/men/2011.html,@
26,/cbb/boxscores/2011-02-15-old-dominion.html,"Tue, Feb 15, 2011",REG,/cbb/schools/georgia-state/men/2011.html,Georgia State,/cbb/conferences/colonial/men/2011.html,CAA,-4.15,W,60,43,21,6,W 3,Ted Constant Convocaation Center,/cbb/schools/old-dominion/men/2011.html,
27,/cbb/boxscores/2011-02-20-old-dominion.html,"Sun, Feb 20, 2011",REG,/cbb/schools/cleveland-state/men/2011.html,Cleveland State,/cbb/conferences/horizon/men/2011.html,Horizon,7.59,W,74,63,22,6,W 4,Ted Constant Convocaation Center,/cbb/schools/old-dominion/men/2011.html,
28,/cbb/boxscores/2011-02-24-james-madison.html,"Thu, Feb 24, 2011",REG,/cbb/schools/james-madison/men/2011.html,James Madison,/cbb/conferences/colonial/men/2011.html,CAA,2.94,W,75,59,23,6,W 5,JMU Convocation Center,/cbb/schools/old-dominion/men/2011.html,@
29,/cbb/boxscores/2011-02-26-old-dominion.html,"Sat, Feb 26, 2011",REG,/cbb/schools/william-mary/men/2011.html,William & Mary,/cbb/conferences/colonial/men/2011.html,CAA,-4.38,W,77,58,24,6,W 6,Ted Constant Convocaation Center,/cbb/schools/old-dominion/men/2011.html,
30,/cbb/boxscores/2011-03-05-old-dominion.html,"Sat, Mar 5, 2011",CTOURN,/cbb/schools/delaware/men/2011.html,Delaware,/cbb/conferences/colonial/men/2011.html,CAA,-3.79,W,59,50,25,6,W 7,,/cbb/schools/old-dominion/men/2011.html,N
31,/cbb/boxscores/2011-03-06-old-dominion.html,"Sun, Mar 6, 2011",CTOURN,/cbb/schools/hofstra/men/2011.html,Hofstra,/cbb/conferences/colonial/men/2011.html,CAA,-0.03,W,77,69,26,6,W 8,,/cbb/schools/old-dominion/men/2011.html,N
32,/cbb/boxscores/2011-03-07-old-dominion.html,"Mon, Mar 7, 2011",CTOURN,/cbb/schools/virginia-commonwealth/men/2011.html,Virginia Commonwealth,/cbb/conferences/colonial/men/2011.html,CAA,8.56,W,70,65,27,6,W 9,,/cbb/schools/old-dominion/men/2011.html,N
33,/cbb/boxscores/2011-03-17-butler.html,"Thu, Mar 17, 2011",NCAA,/cbb/schools/butler/men/2011.html,Butler,/cbb/conferences/horizon/men/2011.html,Horizon,11.53,L,58,60,27,7,L 1,Verizon Center,/cbb/schools/old-dominion/men/2011.html,N
