,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,overtimes,wins,losses,game_streak,arena,homeLink
0,/cbb/boxscores/2012-11-09-coastal-carolina.html,"Fri, Nov 9, 2012",REG,@,/cbb/schools/coastal-carolina/men/2013.html,Coastal Carolina,/cbb/conferences/big-south/men/2013.html,Big South,-5.56,L,70,74,OT,0,1,L 1,HTC Center,/cbb/schools/akron/men/2013.html
1,/cbb/boxscores/2012-11-12-akron.html,"Mon, Nov 12, 2012",REG,,,John Carroll,,,,W,97,53,,1,1,W 1,James A. Rhodes Arena,/cbb/schools/akron/men/2013.html
2,/cbb/boxscores/2012-11-15-akron.html,"Thu, Nov 15, 2012",REG,N,/cbb/schools/oklahoma-state/men/2013.html,Oklahoma State,/cbb/conferences/big-12/men/2013.html,Big 12,15.57,L,65,69,OT,1,2,L 1,José Miguel Agrelot Coliseum,/cbb/schools/akron/men/2013.html
3,/cbb/boxscores/2012-11-16-akron.html,"Fri, Nov 16, 2012",REG,N,/cbb/schools/north-carolina-asheville/men/2013.html,UNC Asheville,/cbb/conferences/big-south/men/2013.html,Big South,-3.63,W,82,63,,2,2,W 1,José Miguel Agrelot Coliseum,/cbb/schools/akron/men/2013.html
4,/cbb/boxscores/2012-11-18-akron.html,"Sun, Nov 18, 2012",REG,N,/cbb/schools/penn-state/men/2013.html,Penn State,/cbb/conferences/big-ten/men/2013.html,Big Ten,2.86,W,85,60,,3,2,W 2,José Miguel Agrelot Coliseum,/cbb/schools/akron/men/2013.html
5,/cbb/boxscores/2012-12-02-akron.html,"Sun, Dec 2, 2012",REG,,/cbb/schools/middle-tennessee/men/2013.html,Middle Tennessee,/cbb/conferences/sun-belt/men/2013.html,Sun Belt,11.18,W,82,77,OT,4,2,W 3,James A. Rhodes Arena,/cbb/schools/akron/men/2013.html
6,/cbb/boxscores/2012-12-09-creighton.html,"Sun, Dec 9, 2012",REG,@,/cbb/schools/creighton/men/2013.html,Creighton,/cbb/conferences/mvc/men/2013.html,MVC,16.43,L,61,77,,4,3,L 1,CenturyLink Center Omaha,/cbb/schools/akron/men/2013.html
7,/cbb/boxscores/2012-12-15-detroit-mercy.html,"Sat, Dec 15, 2012",REG,@,/cbb/schools/detroit-mercy/men/2013.html,Detroit Mercy,/cbb/conferences/horizon/men/2013.html,Horizon,6.72,L,73,80,,4,4,L 2,Calihan Hall,/cbb/schools/akron/men/2013.html
8,/cbb/boxscores/2012-12-18-akron.html,"Tue, Dec 18, 2012",REG,,/cbb/schools/arkansas-pine-bluff/men/2013.html,Arkansas-Pine Bluff,/cbb/conferences/swac/men/2013.html,SWAC,-12.21,W,76,46,,5,4,W 1,James A. Rhodes Arena,/cbb/schools/akron/men/2013.html
9,/cbb/boxscores/2012-12-23-akron.html,"Sun, Dec 23, 2012",REG,,/cbb/schools/cleveland-state/men/2013.html,Cleveland State,/cbb/conferences/horizon/men/2013.html,Horizon,-7.33,W,87,57,,6,4,W 2,James A. Rhodes Arena,/cbb/schools/akron/men/2013.html
