,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes,game_location
0,/cbb/boxscores/2012-11-09-ucla.html,"Fri, Nov 9, 2012",REG,/cbb/schools/indiana-state/men/2013.html,Indiana State,/cbb/conferences/mvc/men/2013.html,MVC,5.08,W,86,59,1,0,W 1,Pauley Pavilion,/cbb/schools/ucla/men/2013.html,,
1,/cbb/boxscores/2012-11-13-ucla.html,"Tue, Nov 13, 2012",REG,/cbb/schools/california-irvine/men/2013.html,UC Irvine,/cbb/conferences/big-west/men/2013.html,Big West,-0.15,W,80,79,2,0,W 2,Pauley Pavilion,/cbb/schools/ucla/men/2013.html,OT,
2,/cbb/boxscores/2012-11-15-ucla.html,"Thu, Nov 15, 2012",REG,/cbb/schools/james-madison/men/2013.html,James Madison,/cbb/conferences/colonial/men/2013.html,CAA,-1.67,W,100,70,3,0,W 3,Pauley Pavilion,/cbb/schools/ucla/men/2013.html,,
3,/cbb/boxscores/2012-11-19-georgetown.html,"Mon, Nov 19, 2012",REG,/cbb/schools/georgetown/men/2013.html,Georgetown,/cbb/conferences/big-east/men/2013.html,Big East,15.86,L,70,78,3,1,L 1,Barclays Center,/cbb/schools/ucla/men/2013.html,,N
4,/cbb/boxscores/2012-11-20-georgia.html,"Tue, Nov 20, 2012",REG,/cbb/schools/georgia/men/2013.html,Georgia,/cbb/conferences/sec/men/2013.html,SEC,5.39,W,60,56,4,1,W 1,Barclays Center,/cbb/schools/ucla/men/2013.html,,N
5,/cbb/boxscores/2012-11-25-ucla.html,"Sun, Nov 25, 2012",REG,/cbb/schools/cal-poly/men/2013.html,Cal Poly,/cbb/conferences/big-west/men/2013.html,Big West,-0.77,L,68,70,4,2,L 1,Pauley Pavilion,/cbb/schools/ucla/men/2013.html,,
6,/cbb/boxscores/2012-11-28-ucla.html,"Wed, Nov 28, 2012",REG,/cbb/schools/cal-state-northridge/men/2013.html,Cal State Northridge,/cbb/conferences/big-west/men/2013.html,Big West,-4.18,W,82,56,5,2,W 1,Pauley Pavilion,/cbb/schools/ucla/men/2013.html,,
7,/cbb/boxscores/2012-12-01-san-diego-state.html,"Sat, Dec 1, 2012",REG,/cbb/schools/san-diego-state/men/2013.html,San Diego State,/cbb/conferences/mwc/men/2013.html,MWC,12.95,L,69,78,5,3,L 1,,/cbb/schools/ucla/men/2013.html,,N
8,/cbb/boxscores/2012-12-08-texas.html,"Sat, Dec 8, 2012",REG,/cbb/schools/texas/men/2013.html,Texas,/cbb/conferences/big-12/men/2013.html,Big 12,6.84,W,65,63,6,3,W 1,Reliant Stadium,/cbb/schools/ucla/men/2013.html,,N
9,/cbb/boxscores/2012-12-15-ucla.html,"Sat, Dec 15, 2012",REG,/cbb/schools/prairie-view/men/2013.html,Prairie View,/cbb/conferences/swac/men/2013.html,SWAC,-15.63,W,95,53,7,3,W 2,Pauley Pavilion,/cbb/schools/ucla/men/2013.html,,
10,/cbb/boxscores/2012-12-18-ucla.html,"Tue, Dec 18, 2012",REG,/cbb/schools/long-beach-state/men/2013.html,Long Beach State,/cbb/conferences/big-west/men/2013.html,Big West,-1.48,W,89,70,8,3,W 3,Pauley Pavilion,/cbb/schools/ucla/men/2013.html,,
11,/cbb/boxscores/2012-12-22-ucla.html,"Sat, Dec 22, 2012",REG,/cbb/schools/fresno-state/men/2013.html,Fresno State,/cbb/conferences/mwc/men/2013.html,MWC,3.19,W,91,78,9,3,W 4,Pauley Pavilion,/cbb/schools/ucla/men/2013.html,,
12,/cbb/boxscores/2012-12-28-ucla.html,"Fri, Dec 28, 2012",REG,/cbb/schools/missouri/men/2013.html,Missouri,/cbb/conferences/sec/men/2013.html,SEC,15.42,W,97,94,10,3,W 5,Pauley Pavilion,/cbb/schools/ucla/men/2013.html,OT,
13,/cbb/boxscores/2013-01-03-ucla.html,"Thu, Jan 3, 2013",REG,/cbb/schools/california/men/2013.html,California,/cbb/conferences/pac-12/men/2013.html,Pac-12,10.59,W,79,65,11,3,W 6,Pauley Pavilion,/cbb/schools/ucla/men/2013.html,,
14,/cbb/boxscores/2013-01-05-ucla.html,"Sat, Jan 5, 2013",REG,/cbb/schools/stanford/men/2013.html,Stanford,/cbb/conferences/pac-12/men/2013.html,Pac-12,11.36,W,68,60,12,3,W 7,Pauley Pavilion,/cbb/schools/ucla/men/2013.html,,
15,/cbb/boxscores/2013-01-10-utah.html,"Thu, Jan 10, 2013",REG,/cbb/schools/utah/men/2013.html,Utah,/cbb/conferences/pac-12/men/2013.html,Pac-12,4.70,W,57,53,13,3,W 8,Jon M. Huntsman Center,/cbb/schools/ucla/men/2013.html,,@
16,/cbb/boxscores/2013-01-12-colorado.html,"Sat, Jan 12, 2013",REG,/cbb/schools/colorado/men/2013.html,Colorado,/cbb/conferences/pac-12/men/2013.html,Pac-12,11.91,W,78,75,14,3,W 9,CU Events Center,/cbb/schools/ucla/men/2013.html,,@
17,/cbb/boxscores/2013-01-17-ucla.html,"Thu, Jan 17, 2013",REG,/cbb/schools/oregon-state/men/2013.html,Oregon State,/cbb/conferences/pac-12/men/2013.html,Pac-12,6.01,W,74,64,15,3,W 10,Pauley Pavilion,/cbb/schools/ucla/men/2013.html,,
18,/cbb/boxscores/2013-01-19-ucla.html,"Sat, Jan 19, 2013",REG,/cbb/schools/oregon/men/2013.html,Oregon,/cbb/conferences/pac-12/men/2013.html,Pac-12,13.78,L,67,76,15,4,L 1,Pauley Pavilion,/cbb/schools/ucla/men/2013.html,,
19,/cbb/boxscores/2013-01-24-arizona.html,"Thu, Jan 24, 2013",REG,/cbb/schools/arizona/men/2013.html,Arizona,/cbb/conferences/pac-12/men/2013.html,Pac-12,17.31,W,84,73,16,4,W 1,McKale Center,/cbb/schools/ucla/men/2013.html,,@
20,/cbb/boxscores/2013-01-26-arizona-state.html,"Sat, Jan 26, 2013",REG,/cbb/schools/arizona-state/men/2013.html,Arizona State,/cbb/conferences/pac-12/men/2013.html,Pac-12,8.82,L,60,78,16,5,L 1,Wells Fargo Arena,/cbb/schools/ucla/men/2013.html,,@
21,/cbb/boxscores/2013-01-30-ucla.html,"Wed, Jan 30, 2013",REG,/cbb/schools/southern-california/men/2013.html,Southern California,/cbb/conferences/pac-12/men/2013.html,Pac-12,6.26,L,71,75,16,6,L 2,Pauley Pavilion,/cbb/schools/ucla/men/2013.html,OT,
22,/cbb/boxscores/2013-02-07-ucla.html,"Thu, Feb 7, 2013",REG,/cbb/schools/washington/men/2013.html,Washington,/cbb/conferences/pac-12/men/2013.html,Pac-12,7.88,W,59,57,17,6,W 1,Pauley Pavilion,/cbb/schools/ucla/men/2013.html,,
23,/cbb/boxscores/2013-02-09-ucla.html,"Sat, Feb 9, 2013",REG,/cbb/schools/washington-state/men/2013.html,Washington State,/cbb/conferences/pac-12/men/2013.html,Pac-12,6.65,W,76,62,18,6,W 2,Pauley Pavilion,/cbb/schools/ucla/men/2013.html,,
24,/cbb/boxscores/2013-02-14-california.html,"Thu, Feb 14, 2013",REG,/cbb/schools/california/men/2013.html,California,/cbb/conferences/pac-12/men/2013.html,Pac-12,10.59,L,63,76,18,7,L 1,Haas Pavilion,/cbb/schools/ucla/men/2013.html,,@
25,/cbb/boxscores/2013-02-16-stanford.html,"Sat, Feb 16, 2013",REG,/cbb/schools/stanford/men/2013.html,Stanford,/cbb/conferences/pac-12/men/2013.html,Pac-12,11.36,W,88,80,19,7,W 1,Maples Pavilion,/cbb/schools/ucla/men/2013.html,,@
26,/cbb/boxscores/2013-02-24-southern-california.html,"Sun, Feb 24, 2013",REG,/cbb/schools/southern-california/men/2013.html,Southern California,/cbb/conferences/pac-12/men/2013.html,Pac-12,6.26,W,75,59,20,7,W 2,Galen Center,/cbb/schools/ucla/men/2013.html,,@
27,/cbb/boxscores/2013-02-27-ucla.html,"Wed, Feb 27, 2013",REG,/cbb/schools/arizona-state/men/2013.html,Arizona State,/cbb/conferences/pac-12/men/2013.html,Pac-12,8.82,W,79,74,21,7,W 3,Pauley Pavilion,/cbb/schools/ucla/men/2013.html,OT,
28,/cbb/boxscores/2013-03-02-ucla.html,"Sat, Mar 2, 2013",REG,/cbb/schools/arizona/men/2013.html,Arizona,/cbb/conferences/pac-12/men/2013.html,Pac-12,17.31,W,74,69,22,7,W 4,Pauley Pavilion,/cbb/schools/ucla/men/2013.html,,
29,/cbb/boxscores/2013-03-06-washington-state.html,"Wed, Mar 6, 2013",REG,/cbb/schools/washington-state/men/2013.html,Washington State,/cbb/conferences/pac-12/men/2013.html,Pac-12,6.65,L,61,73,22,8,L 1,Friel Court at Beasley Coliseum,/cbb/schools/ucla/men/2013.html,,@
30,/cbb/boxscores/2013-03-09-washington.html,"Sat, Mar 9, 2013",REG,/cbb/schools/washington/men/2013.html,Washington,/cbb/conferences/pac-12/men/2013.html,Pac-12,7.88,W,61,54,23,8,W 1,Alaska Airlines Arena,/cbb/schools/ucla/men/2013.html,,@
31,/cbb/boxscores/2013-03-14-arizona-state.html,"Thu, Mar 14, 2013",CTOURN,/cbb/schools/arizona-state/men/2013.html,Arizona State,/cbb/conferences/pac-12/men/2013.html,Pac-12,8.82,W,80,75,24,8,W 2,MGM Grand Garden Arena,/cbb/schools/ucla/men/2013.html,,N
