,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,overtimes,wins,losses,game_streak,arena,homeLink
0,/cbb/boxscores/2012-11-10-southern-mississippi.html,"Sat, Nov 10, 2012",REG,@,/cbb/schools/southern-mississippi/men/2013.html,Southern Mississippi,/cbb/conferences/cusa/men/2013.html,CUSA,8.95,L,64,67,OT,0,1,L 1,Reed Green Coliseum,/cbb/schools/western-kentucky/men/2013.html
1,/cbb/boxscores/2012-11-13-western-kentucky.html,"Tue, Nov 13, 2012",REG,,/cbb/schools/austin-peay/men/2013.html,Austin Peay,/cbb/conferences/ovc/men/2013.html,OVC,-12.31,W,74,54,,1,1,W 1,E. A. Diddle Arena,/cbb/schools/western-kentucky/men/2013.html
2,/cbb/boxscores/2012-11-17-western-kentucky.html,"Sat, Nov 17, 2012",REG,,/cbb/schools/western-carolina/men/2013.html,Western Carolina,/cbb/conferences/southern/men/2013.html,Southern,-6.42,W,92,81,,2,1,W 2,E. A. Diddle Arena,/cbb/schools/western-kentucky/men/2013.html
3,/cbb/boxscores/2012-11-20-iowa.html,"Tue, Nov 20, 2012",REG,N,/cbb/schools/iowa/men/2013.html,Iowa,/cbb/conferences/big-ten/men/2013.html,Big Ten,14.22,L,55,63,,2,2,L 1,Moon Palace Resort,/cbb/schools/western-kentucky/men/2013.html
4,/cbb/boxscores/2012-11-21-depaul.html,"Wed, Nov 21, 2012",REG,N,/cbb/schools/depaul/men/2013.html,DePaul,/cbb/conferences/big-east/men/2013.html,Big East,1.71,W,70,61,,3,2,W 1,Moon Palace Resort,/cbb/schools/western-kentucky/men/2013.html
5,/cbb/boxscores/2012-11-24-western-kentucky.html,"Sat, Nov 24, 2012",REG,,,Brescia,,,,W,74,46,,4,2,W 2,E. A. Diddle Arena,/cbb/schools/western-kentucky/men/2013.html
6,/cbb/boxscores/2012-11-29-louisiana-monroe.html,"Thu, Nov 29, 2012",REG,@,/cbb/schools/louisiana-monroe/men/2013.html,Louisiana-Monroe,/cbb/conferences/sun-belt/men/2013.html,Sun Belt,-13.95,W,65,54,,5,2,W 3,Fant-Ewing Coliseum,/cbb/schools/western-kentucky/men/2013.html
7,/cbb/boxscores/2012-12-01-troy.html,"Sat, Dec 1, 2012",REG,@,/cbb/schools/troy/men/2013.html,Troy,/cbb/conferences/sun-belt/men/2013.html,Sun Belt,-8.75,W,75,71,,6,2,W 4,Trojan Arena,/cbb/schools/western-kentucky/men/2013.html
8,/cbb/boxscores/2012-12-05-western-kentucky.html,"Wed, Dec 5, 2012",REG,,/cbb/schools/southern-illinois/men/2013.html,Southern Illinois,/cbb/conferences/mvc/men/2013.html,MVC,-0.84,W,58,57,,7,2,W 5,E. A. Diddle Arena,/cbb/schools/western-kentucky/men/2013.html
9,/cbb/boxscores/2012-12-08-western-kentucky.html,"Sat, Dec 8, 2012",REG,,/cbb/schools/iupui/men/2013.html,IUPUI,/cbb/conferences/summit/men/2013.html,Summit,-15.92,W,77,57,,8,2,W 6,E. A. Diddle Arena,/cbb/schools/western-kentucky/men/2013.html
10,/cbb/boxscores/2012-12-16-murray-state.html,"Sun, Dec 16, 2012",REG,@,/cbb/schools/murray-state/men/2013.html,Murray State,/cbb/conferences/ovc/men/2013.html,OVC,1.25,L,70,75,,8,3,L 1,Regional Special Events Center,/cbb/schools/western-kentucky/men/2013.html
11,/cbb/boxscores/2012-12-18-virginia-commonwealth.html,"Tue, Dec 18, 2012",REG,@,/cbb/schools/virginia-commonwealth/men/2013.html,Virginia Commonwealth,/cbb/conferences/atlantic-10/men/2013.html,A-10,16.97,L,44,76,,8,4,L 2,Alltel Pavilion at the Stuart C. Siegel Center,/cbb/schools/western-kentucky/men/2013.html
12,/cbb/boxscores/2012-12-22-louisville.html,"Sat, Dec 22, 2012",REG,N,/cbb/schools/louisville/men/2013.html,Louisville,/cbb/conferences/big-east/men/2013.html,Big East,24.82,L,55,78,,8,5,L 3,KFC Yum! Center,/cbb/schools/western-kentucky/men/2013.html
13,/cbb/boxscores/2012-12-27-western-kentucky.html,"Thu, Dec 27, 2012",REG,,/cbb/schools/florida-international/men/2013.html,Florida International,/cbb/conferences/sun-belt/men/2013.html,Sun Belt,-2.05,W,76,63,,9,5,W 1,E. A. Diddle Arena,/cbb/schools/western-kentucky/men/2013.html
