,school_name,link,Tourney,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_pace,opp_off_rtg,opp_fta_per_fga_pct,opp_fg3a_per_fga_pct,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_tov_pct,opp_orb_pct,opp_ft_rate
0,Air Force,/cbb/schools/air-force/men/2013.html,False,32,18,14,.563,4.06,4.16,8,8,13,2,3,11,2241,2170,64.8,107.6,.314,.421,.577,45.8,63.9,9.9,5.5,.551,16.4,24.8,.224,64.8,104.2,.365,.413,.543,54.2,59.9,8.6,10.2,.515,17.1,33.4,.246
1,Akron,/cbb/schools/akron/men/2013.html,True,33,26,7,.788,8.12,0.18,14,2,15,1,7,4,2369,2071,66.4,106.5,.362,.368,.539,51.9,56.9,10.4,14.7,.516,17.3,37.7,.233,66.4,93.1,.344,.297,.486,48.1,49.5,10.3,8.1,.443,17.4,33.2,.245
2,Alabama,/cbb/schools/alabama/men/2013.html,False,36,23,13,.639,9.82,5.96,12,6,16,4,4,8,2268,2102,62.3,100.1,.343,.312,.517,46.6,47.0,13.0,12.7,.480,17.0,32.0,.241,62.3,92.8,.325,.322,.491,53.4,48.1,8.9,10.4,.454,19.6,37.0,.226
3,Alabama A&M,/cbb/schools/alabama-am/men/2013.html,False,31,11,20,.355,-18.41,-9.82,6,12,7,6,3,12,1957,2160,67.4,92.5,.373,.302,.476,46.9,52.7,8.6,7.9,.443,17.8,32.4,.235,67.4,102.1,.373,.266,.523,53.1,49.8,10.8,8.7,.493,15.7,35.4,.246
4,Alabama State,/cbb/schools/alabama-state/men/2013.html,False,32,10,22,.313,-17.90,-9.03,8,10,7,5,3,14,1979,2231,67.0,91.5,.319,.309,.477,46.7,50.5,9.3,8.7,.454,18.8,33.8,.191,67.0,103.2,.379,.342,.523,53.3,54.9,11.7,8.3,.491,16.7,38.5,.252
5,Albany (NY),/cbb/schools/albany-ny/men/2013.html,True,35,24,11,.686,-0.86,-4.51,9,7,11,4,11,5,2251,2123,62.8,102.1,.400,.329,.541,48.9,51.8,8.7,5.9,.496,18.4,31.7,.295,62.8,96.3,.278,.346,.507,51.1,46.6,9.6,10.1,.483,17.3,32.4,.182
6,Alcorn State,/cbb/schools/alcorn-state/men/2013.html,False,34,10,24,.294,-14.27,-7.11,8,10,5,8,4,14,2055,2248,69.0,87.2,.373,.298,.462,45.3,42.4,9.4,10.3,.428,18.7,29.6,.232,69.0,95.4,.468,.325,.490,54.7,49.6,9.8,9.0,.445,16.3,38.1,.309
7,American,/cbb/schools/american/men/2013.html,False,30,10,20,.333,-8.55,-2.52,5,9,7,6,3,14,1735,1916,59.4,96.1,.309,.328,.507,48.6,56.5,5.6,7.3,.473,17.6,28.5,.219,59.4,106.2,.279,.352,.537,51.4,59.9,10.8,11.1,.513,13.6,29.7,.189
8,Appalachian State,/cbb/schools/appalachian-state/men/2013.html,False,31,15,16,.484,-7.88,-5.74,10,8,10,4,4,11,2211,2221,68.3,102.0,.372,.314,.528,47.6,45.8,9.8,9.5,.493,16.7,31.6,.256,68.3,102.5,.341,.294,.537,52.4,50.1,10.6,8.6,.505,17.0,33.7,.236
9,Arizona,/cbb/schools/arizona/men/2013.html,True,35,27,8,.771,17.31,7.48,12,6,14,2,7,4,2570,2226,66.8,109.5,.374,.375,.565,52.7,54.1,10.0,10.2,.525,16.8,35.0,.280,66.8,94.9,.329,.309,.504,47.3,49.2,9.2,9.3,.466,17.4,29.2,.234
10,Arizona State,/cbb/schools/arizona-state/men/2013.html,False,35,22,13,.629,8.82,4.57,9,9,16,4,4,7,2512,2363,67.5,104.5,.359,.368,.546,48.3,55.1,9.2,14.8,.523,16.2,28.3,.233,67.5,98.3,.266,.321,.500,51.7,52.1,10.0,9.3,.464,15.5,32.3,.197
11,Arkansas,/cbb/schools/arkansas/men/2013.html,False,32,19,13,.594,9.83,4.99,10,8,17,1,1,9,2358,2203,70.6,103.6,.351,.326,.516,45.9,55.8,13.0,13.7,.484,14.0,31.7,.236,70.6,96.8,.444,.328,.527,54.1,51.5,7.4,9.5,.492,21.2,36.9,.293
12,Arkansas State,/cbb/schools/arkansas-state/men/2013.html,False,31,19,12,.613,0.79,-4.34,12,8,13,2,5,9,2127,1944,66.3,100.7,.439,.364,.507,48.7,46.0,12.1,8.3,.463,16.3,33.9,.299,66.3,92.0,.352,.313,.500,51.3,47.5,9.2,8.3,.464,20.3,33.7,.239
13,Arkansas-Pine Bluff,/cbb/schools/arkansas-pine-bluff/men/2013.html,False,30,16,14,.533,-12.21,-8.28,15,3,9,0,6,12,1880,1998,68.7,90.8,.330,.308,.476,45.3,55.9,14.3,10.0,.447,18.0,31.5,.208,68.7,96.5,.377,.407,.507,54.7,65.4,10.5,8.2,.469,19.8,38.7,.257
14,Army,/cbb/schools/army/men/2013.html,False,31,16,15,.516,-1.48,-4.51,8,6,9,4,6,10,2245,2112,67.8,105.6,.364,.392,.555,49.4,57.6,7.5,8.7,.518,17.8,31.7,.268,67.8,99.3,.366,.352,.514,50.6,54.5,9.9,10.2,.479,16.3,32.6,.249
15,Auburn,/cbb/schools/auburn/men/2013.html,False,32,9,23,.281,0.23,4.20,3,15,7,10,1,9,2074,2201,66.6,95.5,.353,.331,.500,46.5,54.5,10.2,11.8,.460,17.1,29.2,.247,66.6,101.3,.430,.388,.532,53.5,58.4,9.7,9.8,.497,17.2,33.5,.288
16,Austin Peay,/cbb/schools/austin-peay/men/2013.html,False,31,8,23,.258,-12.31,-4.28,4,12,5,8,2,12,2218,2371,69.7,100.6,.369,.344,.550,46.2,58.1,8.8,12.2,.523,19.9,30.0,.249,69.7,107.6,.285,.324,.542,53.8,56.0,12.2,8.4,.512,15.6,37.4,.205
17,Ball State,/cbb/schools/ball-state/men/2013.html,False,30,15,15,.500,-6.70,-3.14,8,8,8,8,7,6,1957,2041,65.8,99.2,.466,.351,.520,51.0,54.1,9.8,6.8,.483,19.5,35.9,.304,65.8,103.5,.362,.352,.543,49.0,58.8,11.3,8.7,.508,17.1,32.0,.257
18,Baylor,/cbb/schools/baylor/men/2013.html,False,37,23,14,.622,15.07,7.12,9,9,15,5,4,7,2811,2456,68.4,110.3,.365,.334,.550,49.7,58.5,9.5,10.8,.519,14.7,34.3,.253,68.4,96.3,.324,.296,.489,50.3,53.1,9.2,8.3,.452,16.1,34.9,.224
19,Belmont,/cbb/schools/belmont/men/2013.html,True,33,26,7,.788,10.41,-0.92,14,2,13,0,9,4,2533,2129,68.1,112.3,.328,.395,.594,46.8,57.0,14.3,8.0,.567,17.1,29.9,.240,68.1,94.4,.372,.372,.517,53.2,54.6,9.4,11.8,.477,21.8,36.8,.264
20,Bethune-Cookman,/cbb/schools/bethune-cookman/men/2013.html,False,34,14,20,.412,-9.51,-6.41,7,9,9,4,2,14,2283,2318,67.2,99.1,.379,.317,.494,46.6,53.9,10.7,10.3,.465,15.4,32.6,.237,67.2,100.7,.475,.304,.545,53.4,57.1,8.8,9.2,.506,19.7,35.1,.323
21,Binghamton,/cbb/schools/binghamton/men/2013.html,False,30,3,27,.100,-18.51,-3.68,1,15,2,12,1,14,1676,2081,66.2,84.4,.337,.346,.457,45.4,42.0,8.7,7.3,.422,20.1,27.4,.218,66.2,104.8,.315,.406,.530,54.6,60.9,11.8,6.1,.509,14.8,33.9,.200
22,Boise State,/cbb/schools/boise-state/men/2013.html,True,32,21,11,.656,9.38,5.21,9,7,14,1,5,8,2343,2095,66.3,109.9,.334,.356,.565,51.1,51.3,9.9,5.4,.530,15.7,31.5,.249,66.3,98.3,.407,.384,.541,48.9,56.6,8.7,8.1,.502,18.2,26.5,.287
23,Boston College,/cbb/schools/boston-college/men/2013.html,False,33,16,17,.485,6.11,7.04,7,11,12,6,3,7,2215,2246,64.0,104.4,.397,.389,.548,47.0,53.9,8.7,6.9,.510,15.7,28.1,.283,64.0,105.9,.291,.323,.538,53.0,48.7,8.9,9.0,.511,15.4,33.3,.203
24,Boston University,/cbb/schools/boston-university/men/2013.html,False,30,17,13,.567,-0.58,-3.92,11,5,9,3,7,9,2035,1935,65.5,102.8,.265,.393,.549,45.1,55.2,11.3,4.8,.522,16.8,25.9,.192,65.5,97.7,.332,.326,.514,54.9,50.1,8.9,9.3,.474,18.4,34.6,.241
25,Bowling Green State,/cbb/schools/bowling-green-state/men/2013.html,False,32,13,19,.406,-3.32,-1.75,7,9,11,5,1,12,2010,2033,63.9,96.7,.270,.287,.496,47.5,51.1,11.4,11.5,.464,16.8,31.1,.193,63.9,97.8,.335,.312,.513,52.5,53.5,11.4,7.4,.479,17.5,33.9,.230
26,Bradley,/cbb/schools/bradley/men/2013.html,False,35,18,17,.514,1.25,1.96,7,11,14,4,4,10,2371,2396,66.1,101.7,.299,.289,.517,46.3,50.1,13.6,7.1,.483,15.3,30.4,.216,66.1,102.8,.353,.371,.548,53.7,57.2,8.7,8.2,.510,18.8,35.0,.261
27,Brigham Young,/cbb/schools/brigham-young/men/2013.html,False,36,24,12,.667,10.63,3.72,10,6,15,3,7,5,2777,2502,71.1,108.5,.355,.288,.543,50.4,57.6,11.4,6.6,.505,14.5,32.7,.259,71.1,97.8,.369,.352,.514,49.6,57.9,8.8,8.0,.479,16.8,30.2,.249
28,Brown,/cbb/schools/brown/men/2013.html,False,28,13,15,.464,-6.32,-3.02,7,7,8,5,5,10,1748,1800,63.7,95.9,.344,.399,.504,49.9,57.2,10.2,10.5,.478,18.6,31.2,.217,63.7,98.8,.330,.345,.518,50.1,54.9,11.6,9.0,.488,16.3,29.1,.222
29,Bryant,/cbb/schools/bryant/men/2013.html,False,31,19,12,.613,-2.07,-4.71,12,6,11,5,8,7,2294,2212,67.0,110.1,.370,.360,.576,48.4,57.9,7.6,3.2,.544,16.7,30.6,.268,67.0,106.1,.302,.393,.544,51.6,55.5,10.1,11.2,.518,15.3,33.3,.209
30,Bucknell,/cbb/schools/bucknell/men/2013.html,True,34,28,6,.824,6.96,-1.95,12,2,14,1,12,4,2277,1966,62.6,106.9,.361,.242,.538,52.3,55.6,5.5,10.8,.496,13.2,29.3,.268,62.6,92.3,.291,.309,.463,47.7,48.9,7.2,5.8,.425,12.6,26.5,.205
31,Buffalo,/cbb/schools/buffalo/men/2013.html,False,34,14,20,.412,-1.94,-0.34,7,9,9,6,4,10,2275,2287,65.0,102.3,.380,.351,.545,50.6,64.2,8.5,12.0,.510,20.1,35.9,.267,65.0,102.8,.365,.314,.514,49.4,52.3,11.3,9.5,.472,14.9,34.9,.262
32,Butler,/cbb/schools/butler/men/2013.html,True,36,27,9,.750,11.01,6.09,11,5,14,2,7,4,2495,2299,64.9,106.4,.385,.356,.546,53.4,53.5,8.8,7.0,.512,17.2,36.3,.268,64.9,98.1,.355,.310,.508,46.6,49.2,10.0,9.1,.468,15.2,28.9,.250
33,Cal Poly,/cbb/schools/cal-poly/men/2013.html,False,32,18,14,.563,-0.77,-0.94,12,6,13,1,4,12,2074,2020,60.0,107.1,.333,.357,.528,48.2,61.3,9.5,5.4,.491,13.3,31.9,.241,60.0,104.3,.368,.345,.554,51.8,58.9,6.5,10.4,.523,17.3,31.2,.256
34,Cal State Bakersfield,/cbb/schools/cal-state-bakersfield/men/2013.html,False,30,14,16,.467,-6.49,-2.22,,,9,4,3,11,2041,2070,67.7,98.9,.355,.348,.515,47.2,53.5,10.7,5.6,.477,17.6,31.6,.249,67.7,100.3,.487,.346,.551,52.8,56.0,9.0,9.3,.510,19.7,32.9,.338
35,Cal State Fullerton,/cbb/schools/cal-state-fullerton/men/2013.html,False,32,14,18,.438,-3.27,-3.33,6,12,6,7,6,10,2451,2381,70.2,109.1,.345,.387,.579,42.6,55.2,11.0,4.2,.543,15.9,25.9,.261,70.2,105.9,.355,.320,.561,57.4,58.3,8.1,8.6,.533,19.5,39.8,.245
36,Cal State Northridge,/cbb/schools/cal-state-northridge/men/2013.html,False,31,14,17,.452,-4.18,-2.22,5,13,6,7,5,10,2333,2309,71.5,105.2,.389,.259,.525,50.0,57.9,11.8,8.2,.479,16.0,36.6,.285,71.5,104.1,.383,.360,.566,50.0,56.5,9.5,8.6,.535,19.4,33.5,.267
37,California,/cbb/schools/california/men/2013.html,True,33,21,12,.636,10.59,7.71,12,6,11,5,6,5,2218,2123,66.5,100.7,.312,.236,.515,50.0,56.2,8.7,11.4,.480,16.2,32.5,.223,66.5,96.4,.325,.293,.480,50.0,51.1,8.9,7.2,.443,14.3,33.2,.223
38,Campbell,/cbb/schools/campbell/men/2013.html,False,33,13,20,.394,-10.23,-5.53,7,9,8,8,4,9,2284,2395,67.7,99.9,.322,.229,.516,45.9,53.9,10.9,8.6,.480,17.1,32.9,.229,67.7,104.8,.378,.324,.539,54.1,56.7,10.4,7.4,.506,17.4,39.4,.260
39,Canisius,/cbb/schools/canisius/men/2013.html,False,34,20,14,.588,2.38,-0.98,11,7,12,4,8,9,2499,2385,66.8,109.2,.343,.422,.559,48.6,50.4,8.7,9.1,.527,16.8,34.8,.245,66.8,104.2,.324,.365,.536,51.4,59.6,9.9,10.3,.504,17.0,36.6,.230
40,Central Arkansas,/cbb/schools/central-arkansas/men/2013.html,False,30,13,17,.433,-10.89,-6.14,7,11,8,7,5,8,2294,2359,73.2,102.0,.296,.309,.511,45.9,49.4,10.5,8.9,.490,16.1,33.8,.187,73.2,104.9,.403,.272,.533,54.1,56.2,9.9,8.7,.504,16.8,40.0,.262
41,Central Connecticut State,/cbb/schools/central-connecticut-state/men/2013.html,False,30,13,17,.433,-8.23,-4.03,9,9,6,6,7,10,2186,2312,70.7,101.4,.301,.329,.522,42.6,48.2,10.4,10.7,.486,15.3,27.4,.221,70.7,107.2,.293,.352,.541,57.4,55.8,8.1,7.4,.517,16.0,40.0,.198
42,Central Michigan,/cbb/schools/central-michigan/men/2013.html,False,31,11,20,.355,-6.15,-1.22,4,12,6,6,2,13,2092,2226,65.5,102.2,.396,.453,.529,44.7,59.4,10.2,6.0,.484,16.9,30.6,.290,65.5,108.8,.339,.356,.568,55.3,57.8,9.1,13.0,.544,17.3,37.7,.230
43,Charleston Southern,/cbb/schools/charleston-southern/men/2013.html,False,32,19,13,.594,-1.92,-5.48,12,4,11,3,6,9,2361,2144,68.1,107.5,.312,.426,.531,49.9,48.3,10.7,7.4,.499,15.0,35.0,.221,68.1,97.6,.291,.365,.511,50.1,50.1,8.7,11.1,.479,17.3,32.5,.207
44,Charlotte,/cbb/schools/charlotte/men/2013.html,False,33,21,12,.636,2.72,2.78,8,8,12,3,5,7,2229,2231,68.2,98.3,.448,.236,.509,50.6,48.8,10.8,8.8,.471,18.8,36.5,.293,68.2,98.4,.393,.362,.512,49.4,51.0,10.9,9.4,.469,17.4,34.4,.277
