,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,overtimes,wins,losses,game_streak,arena,homeLink
48,/cbb/boxscores/2013-03-21-memphis.html,"Thu, Mar 21, 2013",NCAA,N,/cbb/schools/saint-marys-ca/men/2013.html,Saint Mary's (CA),/cbb/conferences/wcc/men/2013.html,WCC,14.46,W,54,52,,31,4,W 7,Palace of Auburn Hills,/cbb/schools/memphis/men/2013.html
49,/cbb/boxscores/2013-03-23-memphis.html,"Sat, Mar 23, 2013",NCAA,N,/cbb/schools/michigan-state/men/2013.html,Michigan State,/cbb/conferences/big-ten/men/2013.html,Big Ten,18.63,L,48,70,,31,5,L 1,Palace of Auburn Hills,/cbb/schools/memphis/men/2013.html
50,/cbb/boxscores/2013-03-22-miami-fl.html,"Fri, Mar 22, 2013",NCAA,N,/cbb/schools/pacific/men/2013.html,Pacific,/cbb/conferences/big-west/men/2013.html,Big West,1.67,W,78,49,,28,6,W 5,Frank Erwin Center,/cbb/schools/miami-fl/men/2013.html
51,/cbb/boxscores/2013-03-21-michigan.html,"Thu, Mar 21, 2013",NCAA,N,/cbb/schools/south-dakota-state/men/2013.html,South Dakota State,/cbb/conferences/summit/men/2013.html,Summit,2.35,W,71,56,,27,7,W 1,Palace of Auburn Hills,/cbb/schools/michigan/men/2013.html
52,/cbb/boxscores/2013-03-23-michigan.html,"Sat, Mar 23, 2013",NCAA,N,/cbb/schools/virginia-commonwealth/men/2013.html,Virginia Commonwealth,/cbb/conferences/atlantic-10/men/2013.html,A-10,16.97,W,78,53,,28,7,W 2,Palace of Auburn Hills,/cbb/schools/michigan/men/2013.html
53,/cbb/boxscores/2013-04-06-michigan.html,"Sat, Apr 6, 2013",NCAA,N,/cbb/schools/syracuse/men/2013.html,Syracuse,/cbb/conferences/big-east/men/2013.html,Big East,20.3,W,61,56,,31,7,W 5,Georgia Dome,/cbb/schools/michigan/men/2013.html
54,/cbb/boxscores/2013-03-21-michigan-state.html,"Thu, Mar 21, 2013",NCAA,N,/cbb/schools/valparaiso/men/2013.html,Valparaiso,/cbb/conferences/horizon/men/2013.html,Horizon,7.15,W,65,54,,26,8,W 1,Palace of Auburn Hills,/cbb/schools/michigan-state/men/2013.html
55,/cbb/boxscores/2013-03-19-middle-tennessee.html,"Tue, Mar 19, 2013",NCAA,N,/cbb/schools/saint-marys-ca/men/2013.html,Saint Mary's (CA),/cbb/conferences/wcc/men/2013.html,WCC,14.46,L,54,67,,28,6,L 2,University of Dayton Arena,/cbb/schools/middle-tennessee/men/2013.html
56,/cbb/boxscores/2013-03-22-minnesota.html,"Fri, Mar 22, 2013",NCAA,N,/cbb/schools/ucla/men/2013.html,UCLA,/cbb/conferences/pac-12/men/2013.html,Pac-12,12.82,W,83,63,,21,12,W 1,Frank Erwin Center,/cbb/schools/minnesota/men/2013.html
57,/cbb/boxscores/2013-03-22-mississippi.html,"Fri, Mar 22, 2013",NCAA,N,/cbb/schools/wisconsin/men/2013.html,Wisconsin,/cbb/conferences/big-ten/men/2013.html,Big Ten,18.76,W,57,46,,27,8,W 6,Sprint Center,/cbb/schools/mississippi/men/2013.html
58,/cbb/boxscores/2013-03-21-montana.html,"Thu, Mar 21, 2013",NCAA,N,/cbb/schools/syracuse/men/2013.html,Syracuse,/cbb/conferences/big-east/men/2013.html,Big East,20.3,L,34,81,,25,7,L 1,SAP Center,/cbb/schools/montana/men/2013.html
59,/cbb/boxscores/2013-03-22-north-carolina-state.html,"Fri, Mar 22, 2013",NCAA,N,/cbb/schools/temple/men/2013.html,Temple,/cbb/conferences/atlantic-10/men/2013.html,A-10,9.54,L,72,76,,24,11,L 2,University of Dayton Arena,/cbb/schools/north-carolina-state/men/2013.html
60,/cbb/boxscores/2013-03-21-new-mexico-state.html,"Thu, Mar 21, 2013",NCAA,N,/cbb/schools/saint-louis/men/2013.html,Saint Louis,/cbb/conferences/atlantic-10/men/2013.html,A-10,14.35,L,44,64,,24,11,L 1,SAP Center,/cbb/schools/new-mexico-state/men/2013.html
61,/cbb/boxscores/2013-03-22-north-carolina.html,"Fri, Mar 22, 2013",NCAA,N,/cbb/schools/villanova/men/2013.html,Villanova,/cbb/conferences/big-east/men/2013.html,Big East,10.75,W,78,71,,25,10,W 1,Sprint Center,/cbb/schools/north-carolina/men/2013.html
62,/cbb/boxscores/2013-03-30-ohio-state.html,"Sat, Mar 30, 2013",NCAA,N,/cbb/schools/wichita-state/men/2013.html,Wichita State,/cbb/conferences/mvc/men/2013.html,MVC,14.68,L,66,70,,29,8,L 1,Staples Center,/cbb/schools/ohio-state/men/2013.html
63,/cbb/boxscores/2013-03-22-oklahoma.html,"Fri, Mar 22, 2013",NCAA,N,/cbb/schools/san-diego-state/men/2013.html,San Diego State,/cbb/conferences/mwc/men/2013.html,MWC,12.95,L,55,70,,20,12,L 3,Wells Fargo Center,/cbb/schools/oklahoma/men/2013.html
64,/cbb/boxscores/2013-03-21-oklahoma-state.html,"Thu, Mar 21, 2013",NCAA,N,/cbb/schools/oregon/men/2013.html,Oregon,/cbb/conferences/pac-12/men/2013.html,Pac-12,13.78,L,55,68,,24,9,L 2,SAP Center,/cbb/schools/oklahoma-state/men/2013.html
65,/cbb/boxscores/2013-03-23-oregon.html,"Sat, Mar 23, 2013",NCAA,N,/cbb/schools/saint-louis/men/2013.html,Saint Louis,/cbb/conferences/atlantic-10/men/2013.html,A-10,14.35,W,74,57,,28,8,W 5,SAP Center,/cbb/schools/oregon/men/2013.html
66,/cbb/boxscores/2013-03-21-pittsburgh.html,"Thu, Mar 21, 2013",NCAA,N,/cbb/schools/wichita-state/men/2013.html,Wichita State,/cbb/conferences/mvc/men/2013.html,MVC,14.68,L,55,73,,24,9,L 2,EnergySolutions Arena,/cbb/schools/pittsburgh/men/2013.html
